# time   dipole_moment
0 -0
0.2 1.11266e-09
0.4 4.44991e-09
0.6 1.00104e-08
0.8 1.77927e-08
1 2.7795e-08
1.2 4.00151e-08
1.4 5.44505e-08
1.6 7.10982e-08
1.8 8.99553e-08
2 1.11018e-07
2.2 1.34283e-07
2.4 1.59746e-07
2.6 1.87403e-07
2.8 2.17249e-07
3 2.49279e-07
3.2 2.83488e-07
3.4 3.1987e-07
3.6 3.5842e-07
3.8 3.99133e-07
4 4.42e-07
4.2 4.87018e-07
4.4 5.34177e-07
4.6 5.83473e-07
4.8 6.34897e-07
5 6.88442e-07
5.2 7.44102e-07
5.4 8.01867e-07
5.6 8.61731e-07
5.8 9.23686e-07
6 9.87723e-07
6.2 1.05383e-06
6.4 1.12201e-06
6.6 1.19225e-06
6.8 1.26453e-06
7 1.33885e-06
7.2 1.4152e-06
7.4 1.49358e-06
7.6 1.57397e-06
7.8 1.65636e-06
8 1.74074e-06
8.2 1.82711e-06
8.4 1.91546e-06
8.6 2.00577e-06
8.8 2.09804e-06
9 2.19226e-06
9.2 2.28841e-06
9.4 2.3865e-06
9.6 2.4865e-06
9.8 2.58841e-06
10 2.69221e-06
10.2 2.79791e-06
10.4 2.90549e-06
10.6 3.01493e-06
10.8 3.12624e-06
11 3.23939e-06
11.2 3.35438e-06
11.4 3.4712e-06
11.6 3.58984e-06
11.8 3.71029e-06
12 3.83254e-06
12.2 3.95657e-06
12.4 4.08238e-06
12.6 4.20996e-06
12.8 4.3393e-06
13 4.47039e-06
13.2 4.60321e-06
13.4 4.73776e-06
13.6 4.87402e-06
13.8 5.01199e-06
14 5.15165e-06
14.2 5.29299e-06
14.4 5.43601e-06
14.6 5.58069e-06
14.8 5.72702e-06
15 5.87499e-06
15.2 6.02459e-06
15.4 6.17581e-06
15.6 6.32863e-06
15.8 6.48305e-06
16 6.63906e-06
16.2 6.79663e-06
16.4 6.95577e-06
16.6 7.11647e-06
16.8 7.2787e-06
17 7.44246e-06
17.2 7.60773e-06
17.4 7.77451e-06
17.6 7.94279e-06
17.8 8.11254e-06
18 8.28377e-06
18.2 8.45646e-06
18.4 8.63059e-06
18.6 8.80616e-06
18.8 8.98315e-06
19 9.16156e-06
19.2 9.34136e-06
19.4 9.52255e-06
19.6 9.70512e-06
19.8 9.88906e-06
20 1.00743e-05
20.2 1.0261e-05
20.4 1.04489e-05
20.6 1.06382e-05
20.8 1.08288e-05
21 1.10207e-05
21.2 1.12138e-05
21.4 1.14083e-05
21.6 1.1604e-05
21.8 1.18009e-05
22 1.19991e-05
22.2 1.21985e-05
22.4 1.23991e-05
22.6 1.26009e-05
22.8 1.28039e-05
23 1.30081e-05
23.2 1.32135e-05
23.4 1.342e-05
23.6 1.36277e-05
23.8 1.38365e-05
24 1.40464e-05
24.2 1.42574e-05
24.4 1.44695e-05
24.6 1.46827e-05
24.8 1.4897e-05
25 1.51124e-05
25.2 1.53288e-05
25.4 1.55463e-05
25.6 1.57648e-05
25.8 1.59843e-05
26 1.62048e-05
26.2 1.64264e-05
26.4 1.66489e-05
26.6 1.68724e-05
26.8 1.70969e-05
27 1.73223e-05
27.2 1.75487e-05
27.4 1.7776e-05
27.6 1.80043e-05
