# time   dipole_moment
0 -0
0.2 0.000787173
0.31883 0.00200029
0.340219 0.00227765
0.35947 0.00254266
0.376795 0.00279363
0.392388 0.0030296
0.406421 0.00325015
0.408948 0.00329067
0.411221 0.00332735
0.413267 0.00336054
0.413399 0.00336268
0.413405 0.00336279
0.413435 0.00336328
0.413466 0.00336377
0.413601 0.00336598
0.414211 0.0033759
0.416956 0.00342054
0.429306 0.00362144
0.484883 0.0045254
0.734981 0.00859186
1.63497 0.0232026
2.53496 0.0377679
3.43494 0.0522748
4.36862 0.0672501
5.34614 0.082833
6.32365 0.0983051
7.30117 0.113655
8.27868 0.128871
9.2562 0.143946
10.2337 0.158873
11.2112 0.173646
12.1887 0.188262
13.1663 0.202717
14.1438 0.217012
15.1213 0.231145
16.0988 0.245117
17.0763 0.258928
18.0936 0.273133
19.1108 0.287167
20.1281 0.301032
21.1453 0.314732
22.1626 0.328266
23.1799 0.341637
24.1971 0.354846
25.2683 0.368581
26.3394 0.382138
27.4106 0.395519
28.4818 0.408724
29.5529 0.421754
30.6241 0.434608
31.6952 0.447288
32.7664 0.459793
33.8376 0.472123
34.9087 0.484279
35.9799 0.496261
37.0511 0.508069
38.1222 0.519703
39.1934 0.531163
40.2645 0.54245
41.3357 0.553564
42.4069 0.564505
43.478 0.575274
44.5925 0.586296
45.707 0.597132
46.8215 0.607784
47.936 0.618251
49.0505 0.628534
50.165 0.638635
51.2795 0.648554
52.394 0.658291
53.5085 0.667847
54.6229 0.677223
55.7374 0.686419
56.8519 0.695437
57.9664 0.704276
59.137 0.713369
60.3075 0.722266
61.4781 0.730968
62.6487 0.739475
63.8192 0.747789
64.9898 0.755909
66.1603 0.763836
67.3309 0.77157
68.5014 0.779113
69.672 0.786464
70.8426 0.793624
72.0131 0.800594
73.2297 0.807637
74.4462 0.814475
75.6628 0.821109
76.8793 0.827541
78.0958 0.833769
79.3124 0.839797
80.5289 0.845623
81.7455 0.851249
82.962 0.856675
84.1786 0.861903
85.3951 0.866933
86.6587 0.871948
87.9224 0.876751
89.186 0.881343
90.4496 0.885724
91.7132 0.889894
92.9769 0.893855
94.2405 0.897608
95.5041 0.901152
96.7677 0.904489
98.0314 0.90762
99.295 0.910544
100.559 0.913262
101.822 0.915776
103.134 0.91817
104.445 0.920344
105.757 0.9223
107.068 0.924038
108.379 0.92556
109.691 0.926866
111.002 0.927957
112.314 0.928833
113.625 0.929496
114.937 0.929947
116.248 0.930185
117.56 0.930212
118.871 0.93003
120.182 0.929637
121.494 0.929036
122.805 0.928227
124.117 0.92721
125.483 0.925932
126.848 0.92443
128.214 0.922706
129.58 0.920761
130.945 0.918594
132.311 0.916208
133.677 0.913603
135.042 0.910779
136.408 0.907738
137.774 0.90448
139.14 0.901006
140.505 0.897317
141.871 0.893415
143.237 0.889298
144.602 0.88497
145.968 0.88043
147.334 0.875679
148.699 0.870718
150.065 0.865548
151.431 0.86017
152.797 0.854584
154.162 0.848792
155.528 0.842793
156.894 0.83659
158.259 0.830182
159.625 0.82357
160.991 0.816756
162.356 0.809739
163.722 0.802522
165.088 0.795104
166.454 0.787486
167.819 0.779669
169.185 0.771654
170.551 0.763442
171.916 0.755033
173.282 0.746429
174.648 0.73763
176.013 0.728636
177.379 0.719449
178.745 0.71007
180.111 0.700498
181.476 0.690736
182.842 0.680783
184.208 0.670641
185.573 0.66031
186.939 0.649791
188.305 0.639085
189.67 0.628192
191.036 0.617113
192.402 0.60585
193.768 0.594401
195.133 0.58277
196.499 0.570955
197.865 0.558959
199.23 0.546781
200.596 0.534423
201.962 0.521885
203.327 0.509168
204.693 0.496273
206.059 0.4832
207.425 0.469951
208.79 0.456527
