# time   dipole_moment
0 -0
0.2 0.00078725
0.318834 0.00200067
0.340225 0.00227811
0.359476 0.0025432
0.376802 0.00279425
0.392395 0.0030303
0.40643 0.00325093
0.408956 0.00329146
0.411229 0.00332816
0.413275 0.00336136
0.413407 0.0033635
0.413443 0.00336408
0.413479 0.00336466
0.413639 0.00336728
0.414364 0.00337907
0.417622 0.00343209
0.432287 0.00367071
0.498279 0.00474446
0.795241 0.00957564
1.69504 0.0242031
2.59484 0.0388035
3.49463 0.0533639
4.42867 0.0684227
5.40682 0.0841183
6.38497 0.0997242
7.36312 0.115228
8.34127 0.13062
9.31943 0.145891
10.2976 0.161034
11.2757 0.176043
12.2539 0.190914
13.232 0.205645
14.2102 0.220234
15.1883 0.23468
16.1665 0.248983
17.1446 0.263145
18.1605 0.277703
19.1763 0.29211
20.1921 0.306369
21.208 0.32048
22.2238 0.334445
23.2396 0.348266
24.2555 0.361942
25.324 0.376174
26.3926 0.390248
27.4611 0.404164
28.5297 0.417923
29.5982 0.431525
30.6668 0.444971
31.7353 0.458258
32.8039 0.471389
33.8724 0.484362
34.941 0.497176
36.0095 0.509833
37.0781 0.522332
38.1466 0.534672
39.2151 0.546853
40.2837 0.558875
41.3522 0.570739
42.4208 0.582443
43.4893 0.593988
44.5965 0.605783
45.7036 0.617407
46.8108 0.628861
47.9179 0.640145
49.025 0.651258
50.1322 0.662203
51.2393 0.672977
52.3464 0.683583
53.4536 0.69402
54.5607 0.704289
55.6679 0.714389
56.775 0.724322
57.8821 0.734086
59.0463 0.744172
60.2104 0.754072
61.3745 0.763787
62.5387 0.773317
63.7028 0.782661
64.8669 0.79182
66.0311 0.800794
67.1952 0.809583
68.3593 0.818186
69.5235 0.826604
70.6876 0.834837
71.8517 0.842885
73.0579 0.851029
74.2641 0.858974
75.4703 0.86672
76.6765 0.874269
77.8826 0.881619
79.0888 0.888772
80.295 0.895727
81.5012 0.902484
82.7073 0.909044
83.9135 0.915407
85.1197 0.921573
86.3259 0.927543
87.5321 0.933316
88.7382 0.938893
89.9882 0.944465
91.2382 0.949826
92.4881 0.954977
93.7381 0.959917
94.988 0.964648
96.238 0.969168
97.4879 0.973477
98.7379 0.977577
99.9879 0.981467
101.238 0.985147
102.488 0.988618
103.738 0.991879
104.988 0.99493
106.286 0.997877
107.584 1.0006
108.881 1.0031
110.179 1.00537
111.477 1.00741
112.775 1.00924
114.073 1.01083
115.371 1.01221
116.669 1.01335
117.967 1.01428
119.265 1.01498
120.563 1.01546
121.861 1.01571
123.159 1.01574
124.457 1.01555
125.755 1.01514
127.052 1.0145
128.396 1.0136
129.739 1.01247
131.082 1.0111
132.426 1.00949
133.769 1.00764
135.112 1.00555
136.456 1.00323
137.799 1.00067
139.142 0.997872
140.485 0.994837
141.829 0.991565
143.172 0.988057
144.515 0.984312
145.859 0.98033
147.202 0.976113
148.545 0.97166
149.888 0.966971
151.232 0.962046
152.575 0.956887
153.918 0.951492
155.262 0.945862
156.605 0.939997
157.948 0.933897
159.291 0.927563
160.635 0.920994
161.978 0.914192
163.321 0.907155
164.665 0.899884
166.008 0.892379
167.351 0.884641
168.694 0.87667
170.038 0.868465
171.381 0.860027
172.724 0.851357
174.068 0.842454
175.411 0.833318
176.754 0.82395
178.098 0.81435
179.441 0.804519
180.784 0.794455
182.127 0.78416
183.471 0.773634
184.814 0.762876
186.157 0.751888
187.501 0.740668
188.844 0.729218
190.187 0.717537
191.53 0.705626
192.874 0.693485
194.217 0.681113
195.56 0.668512
196.904 0.655681
198.247 0.642621
199.59 0.629331
200.933 0.615813
202.277 0.602065
203.62 0.588089
204.963 0.573885
206.307 0.559452
207.65 0.544792
208.993 0.529904
210.336 0.514789
211.68 0.499448
213.023 0.48388
214.366 0.468086
215.71 0.452067
217.053 0.435823
218.396 0.419355
219.74 0.402665
221.083 0.385752
222.426 0.368619
223.769 0.351266
225.113 0.333696
226.456 0.315911
227.799 0.297912
229.143 0.279703
230.486 0.261288
231.829 0.242669
233.221 0.22317
234.613 0.203464
236.004 0.183559
237.396 0.163461
238.788 0.143181
240.18 0.122728
241.571 0.102116
242.963 0.0813575
244.355 0.0604679
