# time   dipole_moment
0 -0
0.2 1.03779e-09
0.4 4.15085e-09
0.6 9.33825e-09
0.8 1.65992e-08
1 2.59326e-08
1.2 3.73372e-08
1.4 5.0812e-08
1.6 6.63556e-08
1.8 8.39666e-08
2 1.03643e-07
2.2 1.25385e-07
2.4 1.49188e-07
2.6 1.75053e-07
2.8 2.02976e-07
3 2.32957e-07
3.2 2.64991e-07
3.4 2.99079e-07
3.6 3.35217e-07
3.8 3.73403e-07
4 4.13635e-07
4.2 4.5591e-07
4.4 5.00225e-07
4.6 5.46578e-07
4.8 5.94966e-07
5 6.45386e-07
5.2 6.97835e-07
5.4 7.52311e-07
5.6 8.08809e-07
5.8 8.67328e-07
6 9.27863e-07
6.2 9.90412e-07
6.4 1.05497e-06
6.6 1.12154e-06
6.8 1.1901e-06
7 1.26067e-06
7.2 1.33324e-06
7.4 1.40779e-06
7.6 1.48434e-06
7.8 1.56287e-06
8 1.64338e-06
8.2 1.72587e-06
8.4 1.81033e-06
8.6 1.89676e-06
8.8 1.98515e-06
9 2.07551e-06
9.2 2.16782e-06
9.4 2.26208e-06
9.6 2.3583e-06
9.8 2.45645e-06
10 2.55655e-06
10.2 2.65858e-06
10.4 2.76255e-06
10.6 2.86844e-06
10.8 2.97625e-06
11 3.08598e-06
11.2 3.19763e-06
11.4 3.31118e-06
11.6 3.42664e-06
11.8 3.544e-06
12 3.66325e-06
12.2 3.7844e-06
12.4 3.90743e-06
12.6 4.03234e-06
12.8 4.15914e-06
13 4.2878e-06
13.2 4.41833e-06
13.4 4.55073e-06
13.6 4.68498e-06
13.8 4.82109e-06
14 4.95904e-06
14.2 5.09885e-06
14.4 5.24049e-06
14.6 5.38397e-06
14.8 5.52927e-06
15 5.67641e-06
15.2 5.82536e-06
15.4 5.97614e-06
15.6 6.12872e-06
15.8 6.28311e-06
16 6.43931e-06
16.2 6.5973e-06
16.4 6.75708e-06
16.6 6.91866e-06
16.8 7.08201e-06
17 7.24715e-06
17.2 7.41406e-06
17.4 7.58274e-06
17.6 7.75319e-06
17.8 7.92539e-06
18 8.09936e-06
18.2 8.27507e-06
18.4 8.45253e-06
18.6 8.63173e-06
18.8 8.81267e-06
19 8.99534e-06
19.2 9.17974e-06
19.4 9.36586e-06
19.6 9.5537e-06
19.8 9.74326e-06
20 9.93452e-06
20.2 1.01275e-05
20.4 1.03222e-05
20.6 1.05185e-05
20.8 1.07166e-05
21 1.09163e-05
21.2 1.11177e-05
21.4 1.13208e-05
21.6 1.15256e-05
21.8 1.1732e-05
22 1.19401e-05
22.2 1.21499e-05
22.4 1.23613e-05
22.6 1.25744e-05
22.8 1.27891e-05
23 1.30054e-05
23.2 1.32234e-05
23.4 1.3443e-05
23.6 1.36643e-05
23.8 1.38871e-05
24 1.41116e-05
24.2 1.43377e-05
24.4 1.45654e-05
24.6 1.47947e-05
24.8 1.50256e-05
25 1.5258e-05
25.2 1.54921e-05
25.4 1.57278e-05
25.6 1.5965e-05
25.8 1.62038e-05
26 1.64442e-05
26.2 1.66862e-05
26.4 1.69297e-05
26.6 1.71748e-05
26.8 1.74214e-05
27 1.76696e-05
27.2 1.79193e-05
27.4 1.81705e-05
27.6 1.84233e-05
27.8 1.86776e-05
28 1.89335e-05
28.2 1.91908e-05
28.4 1.94497e-05
28.6 1.97101e-05
28.8 1.99719e-05
29 2.02353e-05
29.2 2.05002e-05
29.4 2.07666e-05
29.6 2.10344e-05
29.8 2.13038e-05
30 2.15746e-05
30.2 2.18469e-05
30.4 2.21206e-05
30.6 2.23959e-05
30.8 2.26725e-05
31 2.29507e-05
31.2 2.32303e-05
31.4 2.35113e-05
31.6 2.37937e-05
31.8 2.40776e-05
32 2.4363e-05
32.2 2.46497e-05
32.4 2.49379e-05
32.6 2.52275e-05
32.8 2.55185e-05
33 2.58109e-05
33.2 2.61047e-05
33.4 2.63999e-05
33.6 2.66965e-05
33.8 2.69944e-05
34 2.72938e-05
34.2 2.75945e-05
34.4 2.78966e-05
34.6 2.82001e-05
34.8 2.85049e-05
35 2.88111e-05
35.2 2.91187e-05
35.4 2.94276e-05
35.6 2.97378e-05
35.8 3.00494e-05
36 3.03623e-05
36.2 3.06766e-05
36.4 3.09921e-05
36.6 3.1309e-05
36.8 3.16272e-05
37 3.19467e-05
37.2 3.22675e-05
37.4 3.25896e-05
37.6 3.2913e-05
37.8 3.32377e-05
38 3.35637e-05
38.2 3.38909e-05
38.4 3.42195e-05
38.6 3.45493e-05
38.8 3.48803e-05
39 3.52127e-05
39.2 3.55462e-05
39.4 3.58811e-05
39.6 3.62171e-05
39.8 3.65545e-05
40 3.6893e-05
40.2 3.72328e-05
40.4 3.75738e-05
40.6 3.7916e-05
40.8 3.82595e-05
41 3.86041e-05
41.2 3.895e-05
41.4 3.9297e-05
41.6 3.96453e-05
41.8 3.99948e-05
42 4.03454e-05
42.2 4.06972e-05
42.4 4.10502e-05
42.6 4.14043e-05
42.8 4.17597e-05
43 4.21162e-05
43.2 4.24738e-05
43.4 4.28326e-05
43.6 4.31925e-05
43.8 4.35536e-05
44 4.39158e-05
44.2 4.42792e-05
44.4 4.46436e-05
44.6 4.50092e-05
44.8 4.53759e-05
45 4.57437e-05
45.2 4.61127e-05
45.4 4.64827e-05
45.6 4.68538e-05
45.8 4.7226e-05
46 4.75993e-05
46.2 4.79737e-05
46.4 4.83491e-05
46.6 4.87256e-05
46.8 4.91032e-05
47 4.94819e-05
47.2 4.98616e-05
47.4 5.02423e-05
47.6 5.06241e-05
47.8 5.10069e-05
48 5.13908e-05
48.2 5.17757e-05
48.4 5.21616e-05
48.6 5.25486e-05
48.8 5.29365e-05
49 5.33255e-05
49.2 5.37155e-05
49.4 5.41064e-05
49.6 5.44984e-05
49.8 5.48914e-05
50 5.52853e-05
50.2 5.56802e-05
50.4 5.60761e-05
50.6 5.6473e-05
50.8 5.68708e-05
51 5.72696e-05
51.2 5.76693e-05
51.4 5.807e-05
51.6 5.84716e-05
51.8 5.88742e-05
52 5.92777e-05
52.2 5.96821e-05
52.4 6.00874e-05
52.6 6.04937e-05
52.8 6.09009e-05
53 6.1309e-05
53.2 6.17179e-05
53.4 6.21278e-05
53.6 6.25386e-05
53.8 6.29503e-05
54 6.33628e-05
54.2 6.37762e-05
54.4 6.41905e-05
54.6 6.46057e-05
54.8 6.50217e-05
55 6.54386e-05
55.2 6.58563e-05
55.4 6.62749e-05
55.6 6.66943e-05
55.8 6.71145e-05
56 6.75356e-05
56.2 6.79575e-05
56.4 6.83802e-05
56.6 6.88038e-05
56.8 6.92281e-05
57 6.96533e-05
57.2 7.00792e-05
57.4 7.0506e-05
57.6 7.09335e-05
57.8 7.13618e-05
58 7.17909e-05
58.2 7.22208e-05
58.4 7.26514e-05
58.6 7.30828e-05
58.8 7.3515e-05
59 7.39479e-05
59.2 7.43815e-05
59.4 7.48159e-05
59.6 7.52511e-05
59.8 7.56869e-05
60 7.61235e-05
60.2 7.65609e-05
60.4 7.69989e-05
60.6 7.74376e-05
60.8 7.78771e-05
61 7.83172e-05
61.2 7.87581e-05
61.4 7.91996e-05
61.6 7.96418e-05
61.8 8.00847e-05
62 8.05283e-05
62.2 8.09726e-05
62.4 8.14175e-05
62.6 8.1863e-05
62.8 8.23092e-05
63 8.27561e-05
63.2 8.32036e-05
63.4 8.36518e-05
63.6 8.41006e-05
63.8 8.455e-05
64 8.5e-05
64.2 8.54506e-05
64.4 8.59019e-05
64.6 8.63538e-05
64.8 8.68062e-05
65 8.72593e-05
65.2 8.77129e-05
65.4 8.81672e-05
65.6 8.8622e-05
65.8 8.90774e-05
66 8.95334e-05
66.2 8.99899e-05
66.4 9.0447e-05
66.6 9.09046e-05
66.8 9.13628e-05
67 9.18215e-05
67.2 9.22808e-05
67.4 9.27406e-05
67.6 9.32009e-05
67.8 9.36617e-05
68 9.41231e-05
68.2 9.4585e-05
68.4 9.50474e-05
68.6 9.55102e-05
68.8 9.59736e-05
69 9.64375e-05
69.2 9.69018e-05
69.4 9.73667e-05
69.6 9.7832e-05
69.8 9.82977e-05
70 9.8764e-05
70.2 9.92307e-05
70.4 9.96978e-05
70.6 0.000100165
70.8 0.000100633
71 0.000101102
71.2 0.000101571
71.4 0.00010204
71.6 0.00010251
71.8 0.00010298
72 0.000103451
72.2 0.000103922
72.4 0.000104393
72.6 0.000104865
72.8 0.000105337
73 0.000105809
73.2 0.000106282
73.4 0.000106756
73.6 0.000107229
73.8 0.000107703
74 0.000108178
74.2 0.000108652
74.4 0.000109127
74.6 0.000109603
74.8 0.000110079
75 0.000110555
75.2 0.000111031
75.4 0.000111508
75.6 0.000111985
75.8 0.000112462
76 0.00011294
76.2 0.000113418
76.4 0.000113896
76.6 0.000114375
76.8 0.000114853
77 0.000115332
77.2 0.000115812
77.4 0.000116291
77.6 0.000116771
77.8 0.000117251
78 0.000117732
78.2 0.000118212
78.4 0.000118693
78.6 0.000119174
78.8 0.000119656
79 0.000120137
79.2 0.000120619
79.4 0.000121101
79.6 0.000121583
79.8 0.000122065
80 0.000122548
80.2 0.000123031
80.4 0.000123514
80.6 0.000123997
80.8 0.00012448
81 0.000124964
81.2 0.000125447
81.4 0.000125931
81.6 0.000126415
81.8 0.000126899
82 0.000127383
82.2 0.000127867
82.4 0.000128352
82.6 0.000128837
82.8 0.000129321
83 0.000129806
83.2 0.000130291
83.4 0.000130776
83.6 0.000131261
83.8 0.000131746
84 0.000132232
84.2 0.000132717
84.4 0.000133203
84.6 0.000133688
84.8 0.000134174
85 0.00013466
85.2 0.000135145
85.4 0.000135631
85.6 0.000136117
85.8 0.000136603
86 0.000137089
86.2 0.000137575
86.4 0.00013806
86.6 0.000138546
86.8 0.000139032
87 0.000139518
87.2 0.000140004
87.4 0.00014049
87.6 0.000140976
87.8 0.000141462
88 0.000141948
88.2 0.000142434
88.4 0.00014292
88.6 0.000143406
88.8 0.000143891
89 0.000144377
89.2 0.000144863
89.4 0.000145348
89.6 0.000145834
89.8 0.000146319
90 0.000146805
90.2 0.00014729
90.4 0.000147775
90.6 0.00014826
90.8 0.000148745
91 0.00014923
91.2 0.000149715
91.4 0.0001502
91.6 0.000150685
91.8 0.000151169
92 0.000151653
92.2 0.000152138
92.4 0.000152622
92.6 0.000153105
92.8 0.000153589
93 0.000154073
93.2 0.000154556
93.4 0.000155039
93.6 0.000155523
93.8 0.000156005
94 0.000156488
94.2 0.000156971
94.4 0.000157453
94.6 0.000157935
94.8 0.000158417
95 0.000158899
95.2 0.00015938
95.4 0.000159862
95.6 0.000160343
95.8 0.000160823
96 0.000161304
96.2 0.000161784
96.4 0.000162264
96.6 0.000162744
96.8 0.000163224
97 0.000163703
97.2 0.000164182
97.4 0.000164661
97.6 0.000165139
97.8 0.000165617
98 0.000166095
98.2 0.000166573
98.4 0.00016705
98.6 0.000167527
98.8 0.000168003
99 0.00016848
99.2 0.000168956
99.4 0.000169431
99.6 0.000169907
99.8 0.000170382
100 0.000170856
100.2 0.00017133
100.4 0.000171804
100.6 0.000172278
100.8 0.000172751
101 0.000173224
101.2 0.000173696
101.4 0.000174168
101.6 0.00017464
101.8 0.000175111
102 0.000175582
102.2 0.000176052
102.4 0.000176522
102.6 0.000176992
102.8 0.000177461
103 0.00017793
103.2 0.000178398
103.4 0.000178866
103.6 0.000179333
103.8 0.0001798
104 0.000180266
104.2 0.000180732
104.4 0.000181198
104.6 0.000181663
104.8 0.000182128
105 0.000182592
105.2 0.000183055
105.4 0.000183518
105.6 0.000183981
105.8 0.000184443
106 0.000184905
106.2 0.000185366
106.4 0.000185826
106.6 0.000186286
106.8 0.000186746
107 0.000187205
107.2 0.000187663
107.4 0.000188121
107.6 0.000188578
107.8 0.000189035
108 0.000189491
108.2 0.000189946
108.4 0.000190401
108.6 0.000190856
108.8 0.00019131
109 0.000191763
109.2 0.000192215
109.4 0.000192667
109.6 0.000193119
109.8 0.00019357
110 0.00019402
110.2 0.000194469
110.4 0.000194918
110.6 0.000195366
110.8 0.000195814
111 0.000196261
111.2 0.000196707
111.4 0.000197153
111.6 0.000197598
111.8 0.000198042
112 0.000198486
112.2 0.000198929
112.4 0.000199371
112.6 0.000199812
112.8 0.000200253
113 0.000200693
113.2 0.000201133
113.4 0.000201572
113.6 0.00020201
113.8 0.000202447
114 0.000202883
114.2 0.000203319
114.4 0.000203754
114.6 0.000204188
114.8 0.000204622
115 0.000205055
115.2 0.000205487
115.4 0.000205918
115.6 0.000206349
115.8 0.000206778
116 0.000207207
116.2 0.000207635
116.4 0.000208063
116.6 0.000208489
116.8 0.000208915
117 0.00020934
117.2 0.000209764
117.4 0.000210187
117.6 0.00021061
117.8 0.000211031
118 0.000211452
118.2 0.000211872
118.4 0.000212291
118.6 0.000212709
118.8 0.000213126
119 0.000213543
119.2 0.000213958
119.4 0.000214373
119.6 0.000214787
119.8 0.0002152
120 0.000215612
120.2 0.000216023
120.4 0.000216433
120.6 0.000216843
120.8 0.000217251
121 0.000217659
121.2 0.000218065
121.4 0.000218471
121.6 0.000218875
121.8 0.000219279
122 0.000219682
122.2 0.000220084
122.4 0.000220485
122.6 0.000220885
122.8 0.000221284
123 0.000221682
123.2 0.000222079
123.4 0.000222475
123.6 0.00022287
123.8 0.000223264
124 0.000223657
124.2 0.000224049
124.4 0.00022444
124.6 0.00022483
124.8 0.000225218
125 0.000225606
125.2 0.000225993
125.4 0.000226379
125.6 0.000226764
125.8 0.000227148
126 0.00022753
126.2 0.000227912
126.4 0.000228292
126.6 0.000228672
126.8 0.00022905
127 0.000229428
127.2 0.000229804
127.4 0.000230179
127.6 0.000230553
127.8 0.000230926
128 0.000231298
128.2 0.000231669
128.4 0.000232038
128.6 0.000232407
128.8 0.000232774
129 0.00023314
129.2 0.000233505
129.4 0.000233869
129.6 0.000234232
129.8 0.000234593
130 0.000234954
130.2 0.000235313
130.4 0.000235671
130.6 0.000236028
130.8 0.000236384
131 0.000236738
131.2 0.000237092
131.4 0.000237444
131.6 0.000237795
131.8 0.000238144
132 0.000238493
132.2 0.00023884
132.4 0.000239186
132.6 0.000239531
132.8 0.000239875
133 0.000240217
133.2 0.000240558
133.4 0.000240898
133.6 0.000241236
133.8 0.000241574
134 0.00024191
134.2 0.000242245
134.4 0.000242578
134.6 0.00024291
134.8 0.000243241
135 0.000243571
135.2 0.000243899
135.4 0.000244226
135.6 0.000244552
135.8 0.000244876
136 0.000245199
136.2 0.000245521
136.4 0.000245841
136.6 0.00024616
136.8 0.000246478
