# time   dipole_moment
0 -0
0.2 9.64071e-10
0.4 3.85576e-09
0.6 8.67367e-09
0.8 1.54161e-08
1 2.40805e-08
1.2 3.46642e-08
1.4 4.71639e-08
1.6 6.15759e-08
1.8 7.7896e-08
2 9.61195e-08
2.2 1.16241e-07
2.4 1.38256e-07
2.6 1.62157e-07
2.8 1.87938e-07
3 2.15593e-07
3.2 2.45113e-07
3.4 2.76492e-07
3.6 3.09721e-07
3.8 3.44792e-07
4 3.81695e-07
4.2 4.20422e-07
4.4 4.60963e-07
4.6 5.03308e-07
4.8 5.47447e-07
5 5.93368e-07
5.2 6.41062e-07
5.4 6.90517e-07
5.6 7.41721e-07
5.8 7.94663e-07
6 8.4933e-07
6.2 9.0571e-07
6.4 9.63792e-07
6.6 1.02356e-06
6.8 1.08501e-06
7 1.14811e-06
7.2 1.21287e-06
7.4 1.27925e-06
7.6 1.34727e-06
7.8 1.41688e-06
8 1.48809e-06
8.2 1.56088e-06
8.4 1.63524e-06
8.6 1.71115e-06
8.8 1.78859e-06
9 1.86755e-06
9.2 1.94802e-06
9.4 2.02998e-06
9.6 2.11342e-06
9.8 2.19832e-06
10 2.28467e-06
10.2 2.37245e-06
10.4 2.46165e-06
10.6 2.55225e-06
10.8 2.64424e-06
11 2.7376e-06
11.2 2.83232e-06
11.4 2.92838e-06
11.6 3.02576e-06
11.8 3.12446e-06
12 3.22445e-06
12.2 3.32572e-06
12.4 3.42826e-06
12.6 3.53205e-06
12.8 3.63707e-06
13 3.74332e-06
13.2 3.85076e-06
13.4 3.9594e-06
13.6 4.06921e-06
13.8 4.18018e-06
14 4.29229e-06
14.2 4.40552e-06
14.4 4.51987e-06
14.6 4.63532e-06
14.8 4.75185e-06
15 4.86944e-06
15.2 4.98809e-06
15.4 5.10777e-06
15.6 5.22847e-06
15.8 5.35017e-06
16 5.47286e-06
16.2 5.59652e-06
16.4 5.72115e-06
16.6 5.84671e-06
16.8 5.9732e-06
17 6.1006e-06
17.2 6.2289e-06
17.4 6.35807e-06
17.6 6.48811e-06
17.8 6.61899e-06
18 6.75071e-06
18.2 6.88324e-06
18.4 7.01657e-06
18.6 7.15068e-06
18.8 7.28556e-06
19 7.42119e-06
19.2 7.55756e-06
19.4 7.69465e-06
19.6 7.83244e-06
19.8 7.97092e-06
20 8.11007e-06
20.2 8.24987e-06
20.4 8.39031e-06
20.6 8.53137e-06
20.8 8.67304e-06
21 8.8153e-06
21.2 8.95812e-06
21.4 9.10151e-06
21.6 9.24543e-06
21.8 9.38988e-06
22 9.53484e-06
22.2 9.68029e-06
22.4 9.82621e-06
22.6 9.97259e-06
22.8 1.01194e-05
23 1.02667e-05
23.2 1.04143e-05
23.4 1.05624e-05
23.6 1.07108e-05
23.8 1.08596e-05
24 1.10087e-05
24.2 1.11581e-05
24.4 1.13079e-05
24.6 1.1458e-05
24.8 1.16083e-05
25 1.17589e-05
25.2 1.19098e-05
25.4 1.20609e-05
25.6 1.22122e-05
25.8 1.23637e-05
26 1.25153e-05
26.2 1.26672e-05
26.4 1.28192e-05
26.6 1.29714e-05
26.8 1.31236e-05
27 1.3276e-05
27.2 1.34285e-05
27.4 1.3581e-05
27.6 1.37336e-05
27.8 1.38863e-05
28 1.4039e-05
28.2 1.41917e-05
28.4 1.43444e-05
28.6 1.44971e-05
28.8 1.46498e-05
29 1.48024e-05
29.2 1.4955e-05
29.4 1.51076e-05
29.6 1.526e-05
29.8 1.54123e-05
30 1.55646e-05
30.2 1.57167e-05
30.4 1.58687e-05
30.6 1.60205e-05
30.8 1.61722e-05
31 1.63236e-05
31.2 1.64749e-05
31.4 1.6626e-05
31.6 1.67769e-05
31.8 1.69275e-05
32 1.7078e-05
32.2 1.72281e-05
32.4 1.7378e-05
32.6 1.75276e-05
32.8 1.76769e-05
33 1.78259e-05
33.2 1.79746e-05
33.4 1.81229e-05
33.6 1.82709e-05
33.8 1.84185e-05
34 1.85658e-05
34.2 1.87127e-05
34.4 1.88592e-05
34.6 1.90053e-05
34.8 1.9151e-05
35 1.92962e-05
35.2 1.9441e-05
35.4 1.95854e-05
35.6 1.97292e-05
35.8 1.98726e-05
36 2.00155e-05
36.2 2.01579e-05
36.4 2.02998e-05
36.6 2.04412e-05
36.8 2.0582e-05
37 2.07223e-05
37.2 2.0862e-05
37.4 2.10011e-05
37.6 2.11397e-05
37.8 2.12777e-05
38 2.1415e-05
38.2 2.15517e-05
38.4 2.16878e-05
38.6 2.18233e-05
38.8 2.19581e-05
39 2.20923e-05
39.2 2.22257e-05
39.4 2.23585e-05
39.6 2.24906e-05
39.8 2.2622e-05
40 2.27526e-05
40.2 2.28826e-05
40.4 2.30118e-05
40.6 2.31402e-05
40.8 2.32679e-05
41 2.33948e-05
41.2 2.35209e-05
41.4 2.36463e-05
41.6 2.37708e-05
41.8 2.38946e-05
42 2.40175e-05
42.2 2.41395e-05
42.4 2.42608e-05
42.6 2.43812e-05
42.8 2.45007e-05
43 2.46194e-05
43.2 2.47372e-05
43.4 2.48541e-05
43.6 2.49701e-05
43.8 2.50852e-05
44 2.51994e-05
44.2 2.53127e-05
44.4 2.5425e-05
44.6 2.55364e-05
44.8 2.56469e-05
45 2.57564e-05
45.2 2.5865e-05
45.4 2.59726e-05
45.6 2.60792e-05
45.8 2.61848e-05
46 2.62895e-05
46.2 2.63931e-05
46.4 2.64958e-05
46.6 2.65974e-05
46.8 2.6698e-05
47 2.67976e-05
47.2 2.68962e-05
47.4 2.69937e-05
47.6 2.70902e-05
47.8 2.71856e-05
48 2.728e-05
48.2 2.73733e-05
48.4 2.74655e-05
48.6 2.75567e-05
48.8 2.76468e-05
49 2.77358e-05
49.2 2.78237e-05
49.4 2.79105e-05
49.6 2.79962e-05
49.8 2.80808e-05
50 2.81643e-05
50.2 2.82467e-05
50.4 2.8328e-05
50.6 2.84081e-05
50.8 2.84871e-05
51 2.85649e-05
51.2 2.86417e-05
51.4 2.87172e-05
51.6 2.87916e-05
51.8 2.88649e-05
52 2.8937e-05
52.2 2.9008e-05
52.4 2.90777e-05
52.6 2.91463e-05
52.8 2.92138e-05
53 2.928e-05
53.2 2.93451e-05
53.4 2.94089e-05
53.6 2.94716e-05
53.8 2.95331e-05
54 2.95934e-05
54.2 2.96525e-05
54.4 2.97104e-05
54.6 2.9767e-05
54.8 2.98225e-05
55 2.98767e-05
55.2 2.99297e-05
55.4 2.99815e-05
55.6 3.00321e-05
55.8 3.00814e-05
56 3.01295e-05
56.2 3.01764e-05
56.4 3.0222e-05
56.6 3.02664e-05
56.8 3.03096e-05
57 3.03515e-05
57.2 3.03921e-05
57.4 3.04316e-05
57.6 3.04697e-05
57.8 3.05066e-05
58 3.05423e-05
58.2 3.05766e-05
58.4 3.06098e-05
58.6 3.06416e-05
58.8 3.06722e-05
59 3.07016e-05
59.2 3.07296e-05
59.4 3.07564e-05
59.6 3.0782e-05
59.8 3.08062e-05
60 3.08292e-05
60.2 3.08509e-05
60.4 3.08714e-05
60.6 3.08906e-05
60.8 3.09085e-05
61 3.09251e-05
61.2 3.09405e-05
61.4 3.09545e-05
61.6 3.09674e-05
61.8 3.09789e-05
62 3.09892e-05
62.2 3.09981e-05
62.4 3.10059e-05
62.6 3.10123e-05
62.8 3.10175e-05
63 3.10214e-05
63.2 3.1024e-05
63.4 3.10254e-05
63.6 3.10255e-05
63.8 3.10243e-05
64 3.10218e-05
64.2 3.10181e-05
64.4 3.10132e-05
64.6 3.1007e-05
64.8 3.09995e-05
65 3.09907e-05
65.2 3.09807e-05
65.4 3.09695e-05
65.6 3.0957e-05
65.8 3.09432e-05
66 3.09282e-05
66.2 3.0912e-05
66.4 3.08945e-05
66.6 3.08757e-05
66.8 3.08558e-05
67 3.08346e-05
67.2 3.08121e-05
67.4 3.07885e-05
67.6 3.07636e-05
67.8 3.07374e-05
68 3.07101e-05
68.2 3.06815e-05
68.4 3.06518e-05
68.6 3.06208e-05
68.8 3.05885e-05
69 3.05551e-05
69.2 3.05205e-05
69.4 3.04847e-05
69.6 3.04477e-05
69.8 3.04095e-05
70 3.03701e-05
70.2 3.03295e-05
70.4 3.02877e-05
70.6 3.02447e-05
70.8 3.02006e-05
71 3.01553e-05
71.2 3.01088e-05
71.4 3.00612e-05
71.6 3.00124e-05
71.8 2.99624e-05
72 2.99113e-05
72.2 2.9859e-05
