# time   dipole_moment
0 -0
0.2 1.50774e-10
1.1 4.52579e-09
5.15 8.52558e-08
11.6142 2.2398e-07
18.4533 1.46828e-07
25.2925 9.39578e-08
32.1317 1.86088e-07
38.1822 1.8637e-07
44.2327 6.2505e-08
50.2831 1.09312e-11
56.8988 1.30544e-07
62.7863 1.91709e-07
68.6737 9.28637e-08
74.5612 6.34412e-08
80.4487 1.46771e-07
86.3361 1.45804e-07
92.2236 4.04768e-08
98.1111 -2.97731e-08
103.999 2.92935e-08
109.139 1.22301e-07
114.279 1.07588e-07
120.003 5.76733e-09
125.727 3.03629e-08
131.45 1.04813e-07
137.174 3.65946e-08
142.898 -5.94142e-08
147.81 -7.06333e-08
152.722 -4.45396e-08
157.634 2.88331e-09
162.547 3.33973e-08
167.459 -1.4573e-08
172.371 -8.21475e-08
177.283 -5.14933e-08
182.195 1.55749e-08
187.107 -3.59568e-08
192.02 -1.5843e-07
196.932 -1.86306e-07
201.844 -1.23596e-07
206.756 -7.95421e-08
210.985 -7.83572e-08
215.213 -1.04341e-07
219.821 -1.54807e-07
224.428 -1.73595e-07
229.036 -1.24619e-07
233.643 -9.50433e-08
238.251 -1.74972e-07
242.858 -2.86624e-07
247.466 -2.93774e-07
252.073 -2.11954e-07
256.681 -1.63904e-07
261.288 -1.92014e-07
265.896 -2.41349e-07
270.503 -2.68934e-07
275.111 -2.62765e-07
279.718 -2.22918e-07
283.736 -2.06888e-07
287.753 -2.67675e-07
292.143 -3.88352e-07
296.532 -4.23203e-07
300.922 -3.22646e-07
305.311 -2.31074e-07
309.7 -2.70001e-07
314.09 -3.62923e-07
318.479 -3.82468e-07
322.869 -3.34796e-07
327.258 -3.01292e-07
331.647 -3.14761e-07
336.037 -3.66164e-07
340.426 -4.37068e-07
344.816 -4.76855e-07
349.205 -4.32678e-07
353.594 -3.4254e-07
357.515 -3.16926e-07
361.435 -3.76851e-07
365.584 -4.54177e-07
369.733 -4.46594e-07
373.883 -3.72981e-07
378.032 -3.39139e-07
382.181 -3.85597e-07
386.331 -4.5441e-07
390.48 -4.91807e-07
394.629 -4.92035e-07
398.778 -4.54139e-07
402.928 -3.90127e-07
407.077 -3.60243e-07
411.226 -4.0637e-07
415.376 -4.67708e-07
419.525 -4.52487e-07
423.674 -3.76295e-07
427.824 -3.42937e-07
431.973 -3.96076e-07
436.122 -4.67757e-07
440.271 -4.81814e-07
444.421 -4.44233e-07
448.57 -4.05007e-07
452.719 -3.8012e-07
456.869 -3.59081e-07
461.018 -3.55781e-07
465.167 -3.83103e-07
469.317 -3.96493e-07
473.466 -3.48195e-07
477.615 -2.87004e-07
481.764 -3.03899e-07
485.914 -3.82478e-07
490.063 -4.13076e-07
494.212 -3.57008e-07
498.362 -2.8678e-07
502.511 -2.60141e-07
506.66 -2.5874e-07
510.341 -2.56631e-07
514.021 -2.54833e-07
517.982 -2.49311e-07
521.943 -2.21632e-07
525.904 -1.76014e-07
529.866 -1.54326e-07
533.827 -1.85265e-07
537.788 -2.34154e-07
541.749 -2.32191e-07
545.711 -1.60672e-07
549.672 -8.00311e-08
553.633 -5.43716e-08
