# time   dipole_moment
0 -0
0.2 9.52762e-06
0.38 3.43789e-05
0.402313 3.85318e-05
0.406731 3.93822e-05
0.409814 3.9981e-05
0.411494 4.03092e-05
0.419054 4.17916e-05
0.426614 4.32739e-05
0.460632 4.99426e-05
0.613717 7.99087e-05
1.3026 0.000213061
2.74125 0.000471118
4.1799 0.000680757
5.68391 0.000825742
7.18792 0.000880562
8.69193 0.000840989
10.2918 0.000702084
11.7235 0.0005073
13.1552 0.000264524
14.5869 -5.48197e-06
16.0186 -0.000281279
17.4503 -0.000542465
18.9976 -0.000787503
20.545 -0.000975733
21.8953 -0.00108282
23.2455 -0.00113067
24.5958 -0.0011172
25.9461 -0.00104395
27.3773 -0.000907003
28.8883 -0.000708088
30.3994 -0.000471058
31.9104 -0.00021805
33.4215 2.64222e-05
34.9325 0.000237894
36.4435 0.000394706
37.9546 0.000480723
39.4656 0.000487549
40.9767 0.000415868
42.4877 0.000275625
43.9988 8.49671e-05
45.5098 -0.000131915
47.0208 -0.00034774
48.5319 -0.000535421
50.0429 -0.000671203
51.554 -0.000737204
53.065 -0.000723062
54.5761 -0.000626545
56.0871 -0.000453197
57.5981 -0.000215232
59.1092 7.00277e-05
60.6202 0.000381858
62.1313 0.000697758
63.6423 0.000994885
65.1534 0.00125132
66.6644 0.00144726
68.0111 0.0015575
69.3578 0.00159812
70.7045 0.0015645
72.0511 0.00145654
73.487 0.00126534
74.9228 0.00100812
76.5091 0.000670226
77.8886 0.000354945
79.2681 4.46368e-05
80.7023 -0.000247391
82.1364 -0.000485268
83.5706 -0.000651625
85.106 -0.000740051
86.6413 -0.000736035
88.1767 -0.000651245
89.7121 -0.00050685
91.2475 -0.000330137
92.7828 -0.000150468
94.3182 4.6509e-06
95.8536 0.000112774
97.389 0.000158584
98.9243 0.000134727
100.46 4.15901e-05
101.765 -8.68467e-05
103.07 -0.000252641
104.375 -0.000445907
105.753 -0.000666918
107.266 -0.00091188
108.778 -0.00113876
110.291 -0.00132643
111.648 -0.00144512
113.004 -0.00150427
114.361 -0.00149484
115.827 -0.00140197
117.293 -0.00122368
118.759 -0.000967728
120.225 -0.000649167
121.691 -0.00028932
123.157 8.60848e-05
124.712 0.000470546
126.267 0.000809848
127.822 0.00107736
129.378 0.00125447
130.933 0.00133258
132.488 0.00131354
134.043 0.00120888
135.598 0.00103773
137.153 0.000824091
138.709 0.000593832
140.264 0.000371922
141.819 0.000180184
143.374 3.57689e-05
144.929 -4.97208e-05
146.484 -7.05988e-05
147.793 -3.81595e-05
149.102 3.64743e-05
150.455 0.000151299
151.877 0.000302013
153.298 0.000468702
154.814 0.000643978
156.33 0.000793662
157.695 0.000887275
159.059 0.000926456
160.472 0.000897796
161.885 0.00079243
163.364 0.000601251
164.979 0.00031057
166.593 -4.04445e-05
168.208 -0.000416693
169.647 -0.000741092
171.086 -0.00102656
172.525 -0.00124952
173.964 -0.00139284
175.404 -0.00144738
176.939 -0.00140705
178.475 -0.00127396
180.011 -0.00106525
181.344 -0.000840416
182.676 -0.000592141
184.008 -0.00033712
185.438 -7.39116e-05
186.989 0.000179114
188.54 0.000380306
189.86 0.00050004
191.18 0.000566297
192.5 0.000576525
193.868 0.000528861
195.347 0.000416438
196.826 0.000252166
198.305 5.28085e-05
199.783 -0.00016081
201.262 -0.000365567
202.741 -0.000538342
204.22 -0.000658575
205.698 -0.000710753
207.177 -0.000686401
208.656 -0.000585271
210.197 -0.00040705
211.738 -0.000172148
213.279 9.51159e-05
214.82 0.000367024
216.362 0.000615898
217.903 0.000817317
219.444 0.000952683
220.985 0.00101082
222.526 0.00098855
224.067 0.000890284
225.608 0.000726969
226.974 0.000540657
228.339 0.000329254
229.705 0.000107558
231.165 -0.000123471
232.625 -0.000330189
234.138 -0.000500319
235.651 -0.000609259
236.995 -0.000644652
238.339 -0.000617129
239.737 -0.000521407
241.134 -0.000362491
242.62 -0.000136829
244.232 0.000150338
245.633 0.000410684
247.035 0.000655423
248.505 0.000869247
249.976 0.0010156
251.446 0.00107731
253.034 0.00103964
254.621 0.000896561
256.209 0.000663645
257.797 0.000366663
259.385 3.75403e-05
260.767 -0.000249043
262.149 -0.000514019
263.532 -0.000740093
265.024 -0.000925739
266.583 -0.00104442
268.142 -0.00108264
269.432 -0.00105547
270.721 -0.000980081
272.011 -0.000863671
273.398 -0.000703193
274.929 -0.000499401
276.459 -0.000286909
277.989 -8.66486e-05
279.34 6.36128e-05
280.691 0.000175893
282.041 0.000240254
283.537 0.000248205
285.032 0.000187966
286.527 6.53053e-05
288.022 -0.00010642
289.517 -0.000307376
291.013 -0.000513321
292.587 -0.000707126
294.162 -0.000849318
295.737 -0.000916949
297.311 -0.000895517
298.886 -0.000780666
300.46 -0.00057844
302.035 -0.000304156
303.61 1.97895e-05
305.184 0.000366742
306.759 0.000708731
308.334 0.00101913
309.908 0.00127475
311.483 0.00145733
313.057 0.00155442
314.425 0.00156447
315.793 0.0015054
317.16 0.00138117
318.528 0.00119959
319.967 0.000959209
321.407 0.000685591
322.992 0.000370693
324.361 0.0001093
325.73 -0.000122365
327.099 -0.000307589
328.544 -0.000438743
329.989 -0.000495717
331.517 -0.000475346
333.127 -0.000375635
334.736 -0.000218675
336.346 -3.59763e-05
337.956 0.000137658
339.566 0.000269559
341.175 0.000334072
342.785 0.00031601
344.395 0.000212133
346.005 3.06306e-05
347.434 -0.000181703
348.864 -0.000425047
350.294 -0.000680812
351.723 -0.000929965
353.153 -0.00115436
354.703 -0.00135075
356.252 -0.0014817
357.57 -0.00153177
358.889 -0.00151993
360.207 -0.00144415
361.59 -0.00129747
363.099 -0.00106588
364.609 -0.000773117
366.118 -0.000438755
367.627 -8.69767e-05
369.136 0.000255499
370.646 0.000562073
372.217 0.000817778
373.788 0.000989276
375.359 0.00106612
376.93 0.00104854
378.501 0.000947279
380.073 0.000781896
381.644 0.000577976
383.215 0.000363653
384.786 0.000166058
386.357 8.24141e-06
387.928 -9.30672e-05
389.499 -0.00012865
391.071 -9.69877e-05
392.642 -3.63998e-06
394.021 0.000120228
395.401 0.000272114
396.781 0.000439271
398.235 0.000616458
399.688 0.000777962
401.142 0.000906995
402.712 0.00099217
404.052 0.00100865
405.392 0.000966121
406.785 0.000856461
408.177 0.00068225
409.641 0.00043846
411.217 0.000124807
412.794 -0.000214411
414.37 -0.000546189
415.946 -0.000836552
417.523 -0.0010552
419.099 -0.00117986
420.676 -0.00119947
422.252 -0.00111566
423.828 -0.000942186
425.405 -0.000702521
426.981 -0.00042619
428.369 -0.000177564
429.756 5.4956e-05
431.144 0.000254105
432.64 0.00041633
434.197 0.000516106
435.754 0.000540617
437.048 0.000504621
438.343 0.000421541
439.637 0.000297807
441.032 0.000128866
442.579 -8.62173e-05
444.126 -0.000310528
445.673 -0.000521902
447.021 -0.00067826
448.37 -0.000794476
449.776 -0.000861035
451.301 -0.000860828
452.825 -0.000782157
454.35 -0.000630078
455.875 -0.000417997
457.4 -0.000166405
458.924 9.9447e-05
460.449 0.000352589
461.974 0.000567636
463.499 0.000723836
465.024 0.000807406
466.548 0.000812853
468.178 0.000735831
469.622 0.000606359
471.066 0.000434092
472.588 0.000225315
474.111 1.00822e-05
475.633 -0.000190163
477.155 -0.000356058
478.677 -0.000471585
480.199 -0.000524975
481.721 -0.000509334
483.243 -0.000423123
484.765 -0.000270514
486.287 -6.15718e-05
487.809 0.000187877
489.331 0.000456889
490.967 0.000739459
492.336 0.000947591
493.705 0.00111014
495.14 0.00121448
496.576 0.00123845
498.012 0.00117633
499.608 0.00100955
501.204 0.000755174
502.801 0.000439477
504.397 9.58964e-05
505.994 -0.000239789
507.59 -0.000534484
509.187 -0.000762099
510.783 -0.000906433
512.379 -0.000962244
513.976 -0.000934578
515.363 -0.000852994
516.749 -0.000730726
518.136 -0.000581954
519.523 -0.000421505
520.986 -0.000255558
522.536 -0.000100802
524.085 1.64707e-05
525.397 7.68009e-05
526.709 9.55143e-05
528.021 6.98158e-05
529.427 -6.60809e-06
530.986 -0.00014486
532.546 -0.00032662
534.105 -0.000532499
535.665 -0.000738253
537.225 -0.000917312
538.784 -0.001044
540.344 -0.00109694
541.903 -0.00106207
543.463 -0.000934744
545.023 -0.000720535
546.582 -0.000434596
548.142 -9.97376e-05
549.701 0.00025643
551.261 0.000604794
552.82 0.000917939
554.38 0.00117282
555.94 0.00135262
557.499 0.00144771
559.059 0.00145574
560.618 0.0013812
562.013 0.001253
563.407 0.0010778
564.801 0.000868785
566.265 0.000629435
567.729 0.000387961
569.255 0.000154102
570.782 -4.17263e-05
572.308 -0.000182772
573.835 -0.000257438
575.362 -0.000261067
576.888 -0.00019719
578.415 -7.78589e-05
580.038 8.76298e-05
581.661 0.00026288
583.107 0.000400125
584.554 0.000496324
586 0.000533506
587.568 0.000494143
589.137 0.000368495
590.705 0.000164452
592.274 -9.99229e-05
593.842 -0.000399257
595.411 -0.00070457
596.792 -0.000955428
598.173 -0.00117096
599.622 -0.0013435
601.225 -0.0014569
602.828 -0.00148076
604.13 -0.00143321
605.484 -0.00132323
606.837 -0.00115758
608.19 -0.000945206
609.683 -0.000670295
611.177 -0.000370849
612.671 -6.76007e-05
614.164 0.000217687
615.658 0.000463943
617.152 0.000652822
618.646 0.000770806
620.139 0.000811004
621.633 0.0007743
623.188 0.000664068
624.742 0.000498392
626.297 0.000301584
627.851 0.00010093
629.406 -7.68566e-05
630.961 -0.000208991
632.515 -0.00027927
634.07 -0.000279666
635.71 -0.000205049
637.165 -8.22078e-05
638.621 8.13205e-05
640.145 0.000279326
641.669 0.000485185
643.194 0.000678892
644.718 0.000841772
646.242 0.000957723
647.767 0.00101418
649.291 0.00100293
650.815 0.000920735
652.34 0.000769976
653.864 0.000558986
655.388 0.000302091
656.913 1.90558e-05
658.568 -0.000289942
659.969 -0.000528825
661.369 -0.000726112
662.838 -0.000869868
664.306 -0.000935487
665.774 -0.000916733
667.414 -0.000799515
669.054 -0.00059694
670.694 -0.000336884
672.147 -8.66173e-05
673.599 0.000155378
675.12 0.000373749
676.641 0.00053456
678.161 0.000623162
679.682 0.000633486
681.202 0.000567784
682.723 0.000435394
684.075 0.000273412
685.427 8.27514e-05
686.779 -0.000122979
688.218 -0.000343045
689.78 -0.000564461
691.341 -0.000749388
692.669 -0.00086561
693.996 -0.000935634
695.324 -0.000954049
696.717 -0.000915379
698.245 -0.000806758
699.772 -0.000637259
701.299 -0.000421958
702.827 -0.000181435
704.354 6.02329e-05
705.881 0.000278199
707.409 0.000449925
708.936 0.000558088
710.463 0.000592844
711.991 0.000553054
713.518 0.000446288
715.191 0.000270593
716.644 8.84706e-05
718.098 -9.98316e-05
719.625 -0.000282279
721.153 -0.000428354
722.68 -0.00052145
724.263 -0.000550289
725.847 -0.000504952
727.43 -0.000386972
728.841 -0.000226917
730.253 -2.4774e-05
731.664 0.000207086
733.141 0.000465529
734.618 0.000721458
736.095 0.000955022
737.722 0.00116306
739.101 0.00128236
