# time   dipole_moment
0 -0
0.2 9.52669e-06
0.38 3.43725e-05
0.402314 3.85245e-05
0.406733 3.93747e-05
0.409816 3.99734e-05
0.411496 4.03015e-05
0.419056 4.17835e-05
0.426616 4.32653e-05
0.460635 4.99317e-05
0.613721 7.98836e-05
1.30261 0.00021289
2.74144 0.000470273
4.18028 0.00067882
5.68714 0.000822643
7.19401 0.000876085
8.70087 0.000835252
10.2969 0.000696327
11.8928 0.000476594
13.2249 0.000249448
14.5569 3.09951e-07
15.8889 -0.000253666
17.2846 -0.000507199
18.8214 -0.000751805
20.3582 -0.000942469
21.7351 -0.00105629
23.112 -0.00110983
24.4889 -0.00110067
25.8658 -0.00103029
27.2938 -0.000898439
28.815 -0.000703838
30.3361 -0.000470923
31.8573 -0.00022173
33.3785 1.93319e-05
34.8996 0.000227918
36.4208 0.000382521
37.942 0.00046719
39.4631 0.000473738
40.9843 0.00040306
42.5055 0.000265261
44.0266 7.85538e-05
45.5478 -0.000132964
47.069 -0.000342293
48.5901 -0.000522826
50.1113 -0.000651466
51.6325 -0.000711107
53.1536 -0.000692192
54.6748 -0.000593236
56.196 -0.000420376
57.7171 -0.000186197
59.2383 9.18665e-05
60.7595 0.000393246
62.2806 0.000695848
63.8018 0.000977464
65.323 0.001217
66.8441 0.00139567
68.1947 0.00149089
69.5452 0.00151855
70.8958 0.00147498
72.2955 0.00135554
73.7474 0.00115876
75.2494 0.000891697
76.8591 0.000558717
78.2501 0.000257004
79.6411 -3.32862e-05
81.1161 -0.000303864
82.5911 -0.000514266
84.0661 -0.000649242
85.673 -0.000703353
87.2798 -0.00066557
88.8867 -0.000553078
90.4936 -0.000392191
92.1005 -0.000213895
93.4938 -6.91721e-05
94.8871 4.77388e-05
96.2805 0.000123212
97.8401 0.000147921
99.3997 0.000105131
100.959 -2.43762e-06
102.267 -0.000136087
103.574 -0.000300913
104.935 -0.000494904
106.375 -0.000710829
107.959 -0.000941709
109.542 -0.00114392
110.916 -0.00127934
112.29 -0.00136408
113.665 -0.00138796
115.099 -0.00134082
116.666 -0.00120261
118.233 -0.000979004
119.8 -0.000684002
121.367 -0.000339552
122.934 2.65244e-05
124.501 0.0003836
126.068 0.000701839
127.635 0.000955767
129.202 0.00112726
130.769 0.00120744
132.336 0.00119732
133.903 0.00110706
135.47 0.000954074
137.037 0.00076051
138.604 0.000550375
140.171 0.0003469
141.738 0.000170417
143.305 3.68898e-05
144.872 -4.28992e-05
146.439 -6.36879e-05
147.789 -3.4379e-05
149.139 3.51147e-05
150.489 0.000138401
151.948 0.000277439
153.408 0.00043042
154.966 0.000589497
156.524 0.000721871
157.919 0.000799529
159.313 0.000824488
160.775 0.000783591
162.238 0.00066948
163.772 0.000474448
165.429 0.000192572
167.085 -0.000136353
168.741 -0.000476908
170.224 -0.000760346
171.706 -0.000997371
173.267 -0.00117473
174.828 -0.00126342
176.389 -0.00125881
178.012 -0.00116093
179.635 -0.000983579
180.995 -0.000789951
182.355 -0.000571358
183.715 -0.000343429
185.159 -0.000107913
186.757 0.000125683
188.355 0.000313147
189.721 0.000426175
191.086 0.000489682
192.452 0.000501091
193.817 0.000461158
195.336 0.000361716
196.855 0.000215068
198.374 3.71033e-05
199.893 -0.000152492
201.412 -0.00033201
202.931 -0.00048002
204.51 -0.000580513
206.089 -0.000611947
207.668 -0.00056763
209.247 -0.000450206
210.826 -0.000271405
212.462 -4.19665e-05
214.098 0.000205747
215.734 0.000442995
217.37 0.000643121
219.007 0.000784858
220.643 0.00085457
222.279 0.000847224
223.915 0.000766159
225.551 0.000621938
226.939 0.000461938
228.328 0.000280033
229.764 8.27475e-05
231.274 -0.00011813
232.784 -0.000295433
234.36 -0.00043821
235.769 -0.000517032
237.177 -0.000541623
238.585 -0.000507923
240.044 -0.000412156
241.502 -0.000260753
243.065 -5.0748e-05
244.562 0.000177032
246.06 0.000407255
247.557 0.000615042
249.054 0.000776947
250.552 0.00087397
252.109 0.000893209
253.728 0.000821217
255.347 0.000663188
256.965 0.000437459
258.584 0.000169851
260.203 -0.000110394
261.641 -0.000346815
263.079 -0.000553321
264.582 -0.000722763
266.23 -0.000842608
267.878 -0.000888579
269.217 -0.000872698
270.609 -0.000810242
272.001 -0.000708141
273.393 -0.000575799
274.99 -0.000401121
276.587 -0.000219864
278.184 -5.14417e-05
279.588 7.12031e-05
280.993 0.000158407
282.455 0.000202595
284.051 0.000190781
285.648 0.000117084
287.244 -9.71219e-06
288.84 -0.000173264
290.436 -0.000351457
292.033 -0.000519185
293.629 -0.000651703
295.225 -0.000727979
296.822 -0.000733507
298.418 -0.000662113
300.014 -0.000516527
301.611 -0.000307699
303.207 -5.31102e-05
304.803 0.000225579
306.4 0.000505073
307.996 0.000762811
309.592 0.000978875
311.188 0.00113735
312.785 0.00122714
314.381 0.0012425
315.793 0.00119376
317.204 0.00109015
318.616 0.000938684
320.124 0.000735765
321.632 0.000506351
323.311 0.000243041
324.725 3.4728e-05
326.139 -0.000144222
327.615 -0.00028501
329.09 -0.000368432
330.629 -0.00038977
332.295 -0.000341587
333.961 -0.000234441
335.626 -9.27216e-05
337.292 5.41313e-05
338.958 0.000176562
340.623 0.00024973
342.289 0.000257257
343.955 0.000193218
345.621 6.21826e-05
347.286 -0.000122423
348.674 -0.000303112
350.062 -0.000494324
351.45 -0.000682559
352.939 -0.000866579
354.575 -0.00103035
356.211 -0.00113867
357.6 -0.00117825
358.989 -0.00116494
360.377 -0.00109723
