# time   dipole_moment
0 -0
0.01 -4.47116e-11
0.055 -1.35352e-09
0.2575 -2.97976e-08
1.16875 -6.18584e-07
5.26937 -1.03529e-05
9.37 -1.86089e-05
13.7531 -1.61133e-05
17.5612 -1.44264e-05
21.3693 -2.02225e-05
25.1774 -2.91751e-05
28.4817 -3.42352e-05
31.7859 -3.63057e-05
35.2255 -3.87177e-05
38.6651 -4.4194e-05
42.1047 -5.21905e-05
45.5443 -6.03387e-05
48.9839 -6.73151e-05
52.4235 -7.39272e-05
55.8631 -8.17037e-05
59.3027 -9.10875e-05
62.7422 -0.000101373
66.1818 -0.000111814
69.6214 -0.00012242
73.061 -0.000133744
76.5006 -0.000146048
79.9402 -0.000159061
83.3798 -0.000172472
86.8194 -0.000186342
90.259 -0.000201026
93.6986 -0.000216683
96.7705 -0.000231246
99.8424 -0.000246065
102.914 -0.000261089
105.986 -0.000276522
109.058 -0.000292647
112.13 -0.000309547
115.202 -0.000327037
118.274 -0.000344864
121.346 -0.000362863
124.418 -0.000381016
127.49 -0.000399544
130.562 -0.00041881
133.633 -0.000438916
136.705 -0.000459449
139.777 -0.000479865
142.849 -0.000500183
145.921 -0.000520972
148.993 -0.000542566
152.065 -0.000564682
155.137 -0.000586896
158.209 -0.000609068
161.281 -0.000631337
164.353 -0.000654043
167.425 -0.000677376
170.496 -0.000700934
173.568 -0.000724199
176.64 -0.00074739
179.712 -0.000771091
182.784 -0.000795279
185.856 -0.00081952
188.928 -0.000843654
191.624 -0.000864753
194.319 -0.000885796
197.112 -0.000907726
199.905 -0.000929981
202.698 -0.000952383
205.491 -0.000974579
208.284 -0.000996567
211.078 -0.00101857
213.871 -0.0010406
216.664 -0.00106257
219.457 -0.0010845
222.25 -0.00110636
225.043 -0.00112802
227.836 -0.00114955
230.629 -0.00117114
233.422 -0.00119264
236.215 -0.00121379
239.008 -0.0012346
241.801 -0.00125525
244.594 -0.00127575
247.388 -0.00129614
250.181 -0.0013165
252.974 -0.00133664
255.767 -0.00135622
258.56 -0.00137524
261.353 -0.00139394
263.866 -0.00141068
266.38 -0.00142741
268.893 -0.00144406
271.407 -0.00146035
273.92 -0.00147596
276.433 -0.00149098
278.947 -0.00150577
281.46 -0.00152056
283.974 -0.00153519
286.487 -0.00154938
289.001 -0.00156302
291.514 -0.00157621
294.027 -0.00158903
296.541 -0.00160156
299.054 -0.00161376
301.568 -0.00162551
304.081 -0.00163673
306.595 -0.00164744
309.108 -0.00165775
311.621 -0.00166769
314.135 -0.00167726
316.648 -0.00168641
319.162 -0.00169505
321.675 -0.00170304
324.189 -0.0017104
326.791 -0.00171755
329.394 -0.0017243
331.997 -0.00173061
334.6 -0.00173641
337.203 -0.00174163
339.805 -0.00174619
342.408 -0.00175002
345.011 -0.00175322
347.614 -0.00175591
350.217 -0.00175813
352.819 -0.00175983
355.422 -0.00176098
358.025 -0.0017615
360.628 -0.00176128
363.231 -0.00176033
365.833 -0.00175876
368.436 -0.00175668
371.039 -0.00175408
373.642 -0.00175091
376.245 -0.00174711
378.847 -0.00174263
381.45 -0.00173742
384.053 -0.00173159
386.656 -0.0017252
389.259 -0.00171823
391.861 -0.00171057
394.464 -0.00170223
397.067 -0.00169333
399.67 -0.00168391
402.273 -0.00167392
404.876 -0.00166327
407.478 -0.00165186
