# self-consistent UHF magnetization
# U_eV=11.2 S_total=4 sum_abs_m=48.1066 gap_eV=0.030642 converged=1 iters=7488
# site  x  y  sublattice  n_up  n_dn  m_i=0.5*(n_up-n_dn)
0 -14.7692 20.9298 1 0.882761 0.149762 0.3665
1 -13.4265 18.6043 -1 0.16614 0.826799 -0.330329
2 -10.7412 18.6043 1 0.83771 0.164374 0.336668
3 -9.39855 20.9298 -1 0.16614 0.826799 -0.330329
4 -10.7412 23.2554 1 0.882761 0.149762 0.3665
5 -13.4265 23.2554 -1 0.12489 0.873594 -0.374352
6 -9.39855 16.2788 -1 0.164828 0.828441 -0.331807
7 -6.71325 16.2788 1 0.83389 0.196978 0.318456
8 -5.3706 18.6043 -1 0.166287 0.827163 -0.330438
9 -6.71325 20.9298 1 0.887221 0.145713 0.370754
10 -5.3706 13.9532 -1 0.164771 0.828899 -0.332064
11 -2.6853 13.9532 1 0.834318 0.192875 0.320722
12 -1.34265 16.2788 -1 0.166201 0.830122 -0.33196
13 -2.6853 18.6043 1 0.889907 0.115819 0.387044
14 -1.34265 11.6277 -1 0.164792 0.829956 -0.332582
15 1.34265 11.6277 1 0.837268 0.164452 0.336408
16 2.6853 13.9532 -1 0.166159 0.831705 -0.332773
17 1.34265 16.2788 1 0.889063 0.124395 0.382334
18 2.6853 9.30215 -1 0.164757 0.831402 -0.333323
19 5.3706 9.30215 1 0.835413 0.182633 0.32639
20 6.71325 11.6277 -1 0.166156 0.831299 -0.332571
21 5.3706 13.9532 1 0.888993 0.124016 0.382489
22 6.71325 6.97662 -1 0.16471 0.832004 -0.333647
23 9.39855 6.97662 1 0.835799 0.178829 0.328485
24 10.7412 9.30215 -1 0.166157 0.83118 -0.332511
25 9.39855 11.6277 1 0.889761 0.114838 0.387462
26 10.7412 4.65108 -1 0.164787 0.830882 -0.333048
27 13.4265 4.65108 1 0.837039 0.166607 0.335216
28 14.7692 6.97662 -1 0.16616 0.831346 -0.332593
29 13.4265 9.30215 1 0.88869 0.1277 0.380495
30 14.7692 2.32554 -1 0.164773 0.829314 -0.332271
31 17.4545 2.32554 1 0.833363 0.20184 0.315761
32 18.7971 4.65108 -1 0.16622 0.829177 -0.331479
33 17.4545 6.97662 1 0.889288 0.121543 0.383872
34 18.7971 -3.75887e-07 -1 0.164769 0.829525 -0.332378
35 21.4824 -3.75887e-07 1 0.836537 0.17549 0.330523
36 22.8251 2.32554 -1 0.166019 0.829531 -0.331756
37 21.4824 4.65108 1 0.88939 0.11975 0.38482
38 22.8251 -2.32554 -1 0.166228 0.825975 -0.329874
39 25.5104 -2.32554 1 0.883814 0.134841 0.374487
40 26.853 -3.75887e-07 -1 0.124416 0.875963 -0.375774
41 25.5104 2.32554 1 0.883316 0.142758 0.370279
42 -14.7692 16.2788 1 0.887221 0.145713 0.370754
43 -13.4265 13.9532 -1 0.166287 0.827163 -0.330438
44 -10.7412 13.9532 1 0.83389 0.196978 0.318456
45 -9.39855 11.6277 -1 0.164771 0.828899 -0.332064
46 -6.71325 11.6277 1 0.836167 0.165858 0.335154
47 -5.3706 9.30215 -1 0.164809 0.829984 -0.332588
48 -2.6853 9.30215 1 0.833467 0.191419 0.321024
49 -1.34265 6.97662 -1 0.164784 0.830469 -0.332842
50 1.34265 6.97662 1 0.83385 0.187797 0.323027
51 2.6853 4.65108 -1 0.164802 0.830827 -0.333013
52 5.3706 4.65108 1 0.836129 0.165785 0.335172
53 6.71325 2.32554 -1 0.164805 0.830286 -0.332741
54 9.39855 2.32554 1 0.833126 0.194645 0.31924
55 10.7412 -3.75887e-07 -1 0.1648 0.830201 -0.332701
56 13.4265 -3.75887e-07 1 0.834186 0.184882 0.324652
57 14.7692 -2.32554 -1 0.164814 0.828959 -0.332072
58 17.4545 -2.32554 1 0.836701 0.169919 0.333391
59 18.7971 -4.65108 -1 0.166351 0.825672 -0.32966
60 21.4824 -4.65108 1 0.885686 0.16082 0.362433
61 -14.7692 11.6277 1 0.889907 0.115819 0.387044
62 -13.4265 9.30215 -1 0.166201 0.830122 -0.33196
63 -10.7412 9.30215 1 0.834319 0.192875 0.320722
64 -9.39855 6.97662 -1 0.164792 0.829956 -0.332582
65 -6.71325 6.97662 1 0.833467 0.19142 0.321024
66 -5.3706 4.65108 -1 0.164784 0.830469 -0.332842
67 -2.6853 4.65108 1 0.83611 0.165751 0.335179
68 -1.34265 2.32554 -1 0.164815 0.830655 -0.33292
69 1.34265 2.32554 1 0.833705 0.189101 0.322302
70 2.6853 -3.75887e-07 -1 0.164816 0.830792 -0.332988
71 5.3706 -3.75887e-07 1 0.833892 0.18727 0.323311
72 6.71325 -2.32554 -1 0.164824 0.830322 -0.332749
73 9.39855 -2.32554 1 0.83606 0.166652 0.334704
74 10.7412 -4.65108 -1 0.164783 0.829185 -0.332201
75 13.4265 -4.65108 1 0.833445 0.201202 0.316121
76 14.7692 -6.97662 -1 0.166267 0.828247 -0.33099
77 17.4545 -6.97662 1 0.888244 0.135005 0.376619
78 -14.7692 6.97662 1 0.889063 0.124395 0.382334
79 -13.4265 4.65108 -1 0.166159 0.831705 -0.332773
80 -10.7412 4.65108 1 0.837268 0.164452 0.336408
81 -9.39855 2.32554 -1 0.164757 0.831402 -0.333323
82 -6.71325 2.32554 1 0.83385 0.187796 0.323027
83 -5.3706 -3.75887e-07 -1 0.164802 0.830827 -0.333013
84 -2.6853 -3.75887e-07 1 0.833705 0.189101 0.322302
85 -1.34265 -2.32554 -1 0.164816 0.830793 -0.332988
86 1.34265 -2.32554 1 0.836123 0.165784 0.335169
87 2.6853 -4.65108 -1 0.164817 0.829875 -0.332529
88 5.3706 -4.65108 1 0.833355 0.192666 0.320345
89 6.71325 -6.97662 -1 0.164806 0.830471 -0.332832
90 9.39855 -6.97662 1 0.834992 0.186687 0.324153
91 10.7412 -9.30216 -1 0.166201 0.830531 -0.332165
92 13.4265 -9.30216 1 0.889998 0.11508 0.387459
93 -14.7692 2.32554 1 0.888993 0.124016 0.382489
94 -13.4265 -3.75887e-07 -1 0.166156 0.831299 -0.332571
95 -10.7412 -3.75887e-07 1 0.835413 0.182633 0.32639
96 -9.39855 -2.32554 -1 0.16471 0.832004 -0.333647
97 -6.71325 -2.32554 1 0.836129 0.165785 0.335172
98 -5.3706 -4.65108 -1 0.164805 0.830286 -0.332741
99 -2.6853 -4.65108 1 0.833893 0.18727 0.323311
100 -1.34265 -6.97662 -1 0.164824 0.830322 -0.332749
101 1.34265 -6.97662 1 0.833355 0.192667 0.320344
102 2.6853 -9.30216 -1 0.164806 0.830471 -0.332832
103 5.3706 -9.30216 1 0.837292 0.164494 0.336399
104 6.71325 -11.6277 -1 0.166204 0.83112 -0.332458
105 9.39855 -11.6277 1 0.888894 0.127058 0.380918
106 -14.7692 -2.32554 1 0.889761 0.114838 0.387462
107 -13.4265 -4.65108 -1 0.166157 0.83118 -0.332511
108 -10.7412 -4.65108 1 0.835799 0.178829 0.328485
109 -9.39855 -6.97662 -1 0.164787 0.830882 -0.333048
110 -6.71325 -6.97662 1 0.833126 0.194645 0.31924
111 -5.3706 -9.30216 -1 0.1648 0.830201 -0.332701
112 -2.6853 -9.30216 1 0.83606 0.166652 0.334704
113 -1.34265 -11.6277 -1 0.164783 0.829185 -0.332201
114 1.34265 -11.6277 1 0.834992 0.186687 0.324153
115 2.6853 -13.9532 -1 0.166201 0.830531 -0.332165
116 5.3706 -13.9532 1 0.888894 0.127058 0.380918
117 -14.7692 -6.97662 1 0.88869 0.1277 0.380495
118 -13.4265 -9.30216 -1 0.16616 0.831346 -0.332593
119 -10.7412 -9.30216 1 0.837039 0.166607 0.335216
120 -9.39855 -11.6277 -1 0.164773 0.829314 -0.332271
121 -6.71325 -11.6277 1 0.834186 0.184881 0.324652
122 -5.3706 -13.9532 -1 0.164814 0.828959 -0.332072
123 -2.6853 -13.9532 1 0.833445 0.201203 0.316121
124 -1.34265 -16.2788 -1 0.166267 0.828247 -0.33099
125 1.34265 -16.2788 1 0.889998 0.11508 0.387459
126 -14.7692 -11.6277 1 0.889288 0.121543 0.383872
127 -13.4265 -13.9532 -1 0.16622 0.829177 -0.331479
128 -10.7412 -13.9532 1 0.833363 0.20184 0.315761
129 -9.39855 -16.2788 -1 0.164769 0.829525 -0.332378
130 -6.71325 -16.2788 1 0.836701 0.16992 0.333391
131 -5.3706 -18.6043 -1 0.166351 0.825672 -0.32966
132 -2.6853 -18.6043 1 0.888244 0.135005 0.376619
133 -14.7692 -16.2788 1 0.88939 0.119751 0.38482
134 -13.4265 -18.6043 -1 0.166019 0.829531 -0.331756
135 -10.7412 -18.6043 1 0.836537 0.17549 0.330524
136 -9.39855 -20.9298 -1 0.166228 0.825975 -0.329874
137 -6.71325 -20.9298 1 0.885686 0.16082 0.362433
138 -14.7692 -20.9298 1 0.883315 0.142759 0.370278
139 -13.4265 -23.2554 -1 0.124416 0.875963 -0.375774
140 -10.7412 -23.2554 1 0.883814 0.134841 0.374486
