# t  J_up_x  J_up_y  J_dn_x  J_dn_y  J_spin_x  J_spin_y
0 0 0 0 0 0 0
0.01 -4.44721e-09 -1.62838e-12 -4.49301e-09 -1.36681e-12 4.57966e-11 -2.61566e-13
0.055 -2.45e-08 -8.97198e-12 -2.47524e-08 -7.53222e-12 2.52393e-10 -1.43976e-12
0.2575 -1.15417e-07 -4.23814e-11 -1.16616e-07 -3.57211e-11 1.19875e-09 -6.66025e-12
1.16875 -5.25693e-07 -2.03755e-10 -5.32064e-07 -1.85072e-10 6.3711e-09 -1.86829e-11
5.26937 -1.43915e-06 -1.25129e-09 -1.52591e-06 -2.49356e-09 8.67616e-08 1.24227e-09
9.37 -1.94997e-07 -1.51161e-09 -4.4006e-07 -9.34658e-09 2.45064e-07 7.83497e-09
13.7531 6.97292e-07 1.157e-09 3.74969e-07 -1.90352e-08 3.22323e-07 2.01922e-08
17.5612 -9.51889e-08 3.1484e-09 -4.38637e-07 -2.50723e-08 3.43448e-07 2.82207e-08
21.3693 -9.09378e-07 2.06593e-09 -1.39043e-06 -2.99158e-08 4.81052e-07 3.19817e-08
25.1774 -6.84269e-07 -5.98011e-10 -1.42369e-06 -3.74498e-08 7.39424e-07 3.68517e-08
28.4817 -3.40951e-08 -1.10235e-09 -9.69476e-07 -4.63001e-08 9.35381e-07 4.51978e-08
31.7859 2.61622e-07 1.51477e-09 -7.63554e-07 -5.46837e-08 1.02518e-06 5.61985e-08
35.2255 -2.61488e-08 4.96493e-09 -1.09781e-06 -6.1442e-08 1.07166e-06 6.6407e-08
38.6651 -4.48741e-07 5.1051e-09 -1.65006e-06 -6.8351e-08 1.20131e-06 7.34561e-08
42.1047 -5.28384e-07 2.09521e-09 -1.97914e-06 -7.75537e-08 1.45076e-06 7.96489e-08
45.5443 -2.68496e-07 3.61208e-10 -1.99489e-06 -8.72548e-08 1.72639e-06 8.7616e-08
48.9839 -2.01121e-08 2.5371e-09 -1.93857e-06 -9.50529e-08 1.91846e-06 9.759e-08
52.4235 -3.42939e-08 5.66946e-09 -2.067e-06 -1.0176e-07 2.0327e-06 1.07429e-07
55.8631 -2.06302e-07 5.65715e-09 -2.37813e-06 -1.08962e-07 2.17183e-06 1.14619e-07
59.3027 -2.96147e-07 3.62058e-09 -2.69332e-06 -1.16562e-07 2.39717e-06 1.20182e-07
62.7422 -2.29814e-07 3.14169e-09 -2.89748e-06 -1.24627e-07 2.66766e-06 1.27768e-07
66.1818 -1.19289e-07 4.2418e-09 -3.02206e-06 -1.33592e-07 2.90277e-06 1.37833e-07
69.6214 -9.67173e-08 5.17611e-09 -3.17661e-06 -1.41389e-07 3.07989e-06 1.46566e-07
73.061 -1.51467e-07 5.63481e-09 -3.40924e-06 -1.45321e-07 3.25777e-06 1.50956e-07
76.5006 -1.73617e-07 5.45809e-09 -3.66061e-06 -1.47384e-07 3.48699e-06 1.52842e-07
79.9402 -1.2581e-07 4.23438e-09 -3.86938e-06 -1.52392e-07 3.74357e-06 1.56627e-07
83.3798 -6.98885e-08 2.9785e-09 -4.04101e-06 -1.61043e-07 3.97112e-06 1.64021e-07
86.8194 -7.51296e-08 4.05513e-09 -4.22876e-06 -1.6878e-07 4.15363e-06 1.72836e-07
90.259 -1.29367e-07 7.07178e-09 -4.47034e-06 -1.71334e-07 4.34097e-06 1.78406e-07
93.6986 -1.43803e-07 7.21911e-09 -4.72665e-06 -1.69928e-07 4.58285e-06 1.77147e-07
96.7705 -9.07216e-08 3.56354e-09 -4.91492e-06 -1.6944e-07 4.8242e-06 1.73004e-07
99.8424 -1.95107e-08 4.47834e-10 -5.05888e-06 -1.71711e-07 5.03937e-06 1.72159e-07
102.914 1.15563e-08 1.31064e-09 -5.19246e-06 -1.75764e-07 5.20402e-06 1.77074e-07
105.986 -1.94803e-08 4.70161e-09 -5.35877e-06 -1.79625e-07 5.33929e-06 1.84326e-07
109.058 -7.64155e-08 6.71877e-09 -5.57166e-06 -1.81314e-07 5.49524e-06 1.88033e-07
112.13 -9.76965e-08 5.47079e-09 -5.79854e-06 -1.79234e-07 5.70085e-06 1.84705e-07
115.202 -6.25456e-08 2.40859e-09 -5.99851e-06 -1.73947e-07 5.93596e-06 1.76355e-07
118.274 3.05464e-09 -1.77302e-10 -6.15697e-06 -1.69218e-07 6.16003e-06 1.69041e-07
121.346 6.31166e-08 -1.30462e-09 -6.27609e-06 -1.69034e-07 6.33921e-06 1.67729e-07
124.418 7.68603e-08 -3.17293e-10 -6.37852e-06 -1.72646e-07 6.45538e-06 1.72329e-07
127.49 1.99771e-08 2.70064e-09 -6.52066e-06 -1.74324e-07 6.54064e-06 1.77025e-07
130.562 -5.84799e-08 4.68828e-09 -6.74334e-06 -1.69413e-07 6.68486e-06 1.74102e-07
133.633 -5.73425e-08 2.44915e-09 -6.99451e-06 -1.59474e-07 6.93716e-06 1.61923e-07
136.705 4.84319e-08 -2.45014e-09 -7.15558e-06 -1.50917e-07 7.20401e-06 1.48466e-07
139.777 1.44699e-07 -5.69849e-09 -7.1934e-06 -1.49013e-07 7.3381e-06 1.43315e-07
142.849 1.20661e-07 -5.34302e-09 -7.23705e-06 -1.51881e-07 7.35771e-06 1.46538e-07
145.921 3.33224e-08 -2.35903e-09 -7.41095e-06 -1.50819e-07 7.44428e-06 1.4846e-07
148.993 8.52123e-09 8.85941e-10 -7.64798e-06 -1.40314e-07 7.6565e-06 1.412e-07
152.065 4.79642e-08 1.08167e-09 -7.79879e-06 -1.26638e-07 7.84675e-06 1.2772e-07
155.137 9.30991e-08 -3.7955e-09 -7.85602e-06 -1.20656e-07 7.94912e-06 1.16861e-07
158.209 1.45713e-07 -1.0415e-08 -7.9245e-06 -1.22344e-07 8.07022e-06 1.11929e-07
161.281 1.67911e-07 -1.19467e-08 -8.0475e-06 -1.20029e-07 8.21541e-06 1.08082e-07
164.353 8.85492e-08 -7.20497e-09 -8.18713e-06 -1.08033e-07 8.27568e-06 1.00828e-07
167.425 1.10764e-08 -2.56557e-09 -8.30189e-06 -9.58798e-08 8.31297e-06 9.33142e-08
170.496 9.54634e-08 -2.75712e-09 -8.3735e-06 -9.18672e-08 8.46896e-06 8.91101e-08
173.568 2.31775e-07 -7.60168e-09 -8.42447e-06 -8.88778e-08 8.65624e-06 8.12761e-08
176.64 2.12618e-07 -1.47981e-08 -8.51039e-06 -7.92221e-08 8.72301e-06 6.4424e-08
179.712 1.06797e-07 -1.77512e-08 -8.63178e-06 -6.92402e-08 8.73858e-06 5.1489e-08
182.784 8.31417e-08 -1.16659e-08 -8.71603e-06 -6.51986e-08 8.79917e-06 5.35327e-08
185.856 1.17201e-07 -4.91293e-09 -8.74314e-06 -6.16087e-08 8.86034e-06 5.66957e-08
188.928 1.61466e-07 -7.32237e-09 -8.77838e-06 -5.32111e-08 8.93985e-06 4.58887e-08
191.624 2.29871e-07 -1.38445e-08 -8.83656e-06 -4.31051e-08 9.06644e-06 2.92606e-08
194.319 2.66426e-07 -1.91757e-08 -8.8924e-06 -3.25948e-08 9.15882e-06 1.34191e-08
197.112 1.96697e-07 -2.17776e-08 -8.93736e-06 -2.5212e-08 9.13406e-06 3.43437e-09
199.905 1.04868e-07 -1.87607e-08 -8.97636e-06 -2.56494e-08 9.08122e-06 6.88878e-09
202.698 1.21346e-07 -1.02154e-08 -8.99435e-06 -2.93228e-08 9.1157e-06 1.91074e-08
205.491 1.97137e-07 -6.2265e-09 -8.98944e-06 -2.38878e-08 9.18657e-06 1.76613e-08
208.284 2.24014e-07 -1.44137e-08 -9.00476e-06 -6.36219e-09 9.22877e-06 -8.05154e-09
211.078 2.27593e-07 -2.5928e-08 -9.05349e-06 1.04302e-08 9.28108e-06 -3.63582e-08
213.871 2.47038e-07 -2.83096e-08 -9.08131e-06 1.43933e-08 9.32834e-06 -4.27029e-08
216.664 2.29878e-07 -2.20304e-08 -9.06046e-06 8.53009e-09 9.29034e-06 -3.05605e-08
219.457 1.85537e-07 -1.43238e-08 -9.02993e-06 4.81676e-09 9.21547e-06 -1.91405e-08
222.25 1.98744e-07 -1.03708e-08 -9.01174e-06 1.07973e-08 9.21049e-06 -2.1168e-08
225.043 2.38743e-07 -1.45333e-08 -8.99364e-06 2.45677e-08 9.23238e-06 -3.9101e-08
227.836 2.18852e-07 -2.55393e-08 -8.98897e-06 3.81636e-08 9.20782e-06 -6.37029e-08
230.629 1.94113e-07 -3.27162e-08 -9.00262e-06 4.46715e-08 9.19674e-06 -7.73877e-08
233.422 2.42375e-07 -2.91159e-08 -8.98326e-06 4.40084e-08 9.22563e-06 -7.31243e-08
236.215 2.93223e-07 -2.03968e-08 -8.90862e-06 4.18942e-08 9.20184e-06 -6.2291e-08
239.008 2.83582e-07 -1.43574e-08 -8.83422e-06 4.3814e-08 9.1178e-06 -5.81713e-08
241.801 2.66717e-07 -1.41182e-08 -8.78809e-06 5.113e-08 9.0548e-06 -6.52482e-08
