# t  B_z_curl_0  B_z_curl_1  B_z_curl_2  B_z_curl_3  B_z_curl_4  B_z_curl_5  B_z_curl_6  B_z_curl_7  B_z_curl_8  B_z_curl_9  B_z_curl_10  B_z_curl_11  B_z_curl_12  B_z_curl_13  B_z_curl_14  B_z_curl_15  B_z_curl_16  B_z_curl_17  B_z_curl_18  B_z_curl_19  B_z_curl_20  B_z_curl_21  B_z_curl_22  B_z_curl_23  B_z_curl_24  B_z_curl_25  B_z_curl_26  B_z_curl_27  B_z_curl_28  B_z_curl_29  B_z_curl_30  B_z_curl_31  B_z_curl_32  B_z_curl_33  B_z_curl_34  B_z_curl_35  B_z_curl_36  B_z_curl_37  B_z_curl_38  B_z_curl_39  B_z_curl_40  B_z_curl_41  B_z_curl_42  B_z_curl_43  B_z_curl_44  B_z_curl_45
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.01 -3.51267e-15 2.61248e-15 -2.86447e-15 -2.28187e-15 4.27469e-15 0 3.16595e-16 -2.5783e-15 -2.02505e-15 0 -5.09824e-17 -1.65108e-15 -1.56141e-15 0 -5.74022e-17 -3.95468e-22 -6.54831e-16 0 6.5483e-16 -3.26497e-15 3.26497e-15 0 -7.33228e-15 3.21864e-15 -1.91681e-15 9.58404e-16 2.46834e-16 8.13533e-16 3.41696e-15 1.56141e-15 0 -6.40499e-15 3.64999e-15 -2.59193e-16 1.6086e-15 3.38467e-15 2.02505e-15 0 -4.78098e-15 3.79554e-15 2.13775e-15 2.28187e-15 0 -1.00972e-15 -4.27469e-15 0
0.055 -1.93133e-14 1.4364e-14 -1.57495e-14 -1.25463e-14 2.35034e-14 0 1.74091e-15 -1.41763e-14 -1.11343e-14 0 -2.8016e-16 -9.07798e-15 -8.58511e-15 0 -3.1563e-16 -2.16142e-21 -3.60051e-15 0 3.6005e-15 -1.79517e-14 1.79517e-14 0 -4.03146e-14 1.76969e-14 -1.05391e-14 5.26956e-15 1.3567e-15 4.47318e-15 1.87872e-14 8.58512e-15 0 -3.52163e-14 2.00686e-14 -1.42528e-15 8.84458e-15 1.86098e-14 1.11343e-14 0 -2.62868e-14 2.08685e-14 1.17534e-14 1.25463e-14 0 -5.55176e-15 -2.35034e-14 0
0.2575 -9.01672e-14 6.70732e-14 -7.35486e-14 -5.85899e-14 1.09771e-13 0 8.14932e-15 -6.62136e-14 -5.20002e-14 0 -1.29279e-15 -4.23875e-14 -4.01029e-14 0 -1.47587e-15 -9.86657e-21 -1.68224e-14 0 1.68224e-14 -8.38362e-14 8.38362e-14 0 -1.88259e-13 8.26402e-14 -4.92207e-14 2.46104e-14 6.28937e-15 2.09065e-14 8.77266e-14 4.01029e-14 0 -1.64464e-13 9.37211e-14 -6.67347e-15 4.13163e-14 8.69104e-14 5.20002e-14 0 -1.22734e-13 9.74281e-14 5.48394e-14 5.85899e-14 0 -2.59344e-14 -1.09771e-13 0
0.703516 -2.42954e-13 1.80956e-13 -1.9853e-13 -1.58156e-13 2.96528e-13 0 2.23562e-14 -1.78953e-13 -1.40443e-13 0 -3.20439e-15 -1.14312e-13 -1.08459e-13 0 -4.01938e-15 -2.51665e-20 -4.55649e-14 0 4.55648e-14 -2.26372e-13 2.26372e-13 0 -5.08055e-13 2.23031e-13 -1.32938e-13 6.6469e-14 1.6126e-14 5.67516e-14 2.36662e-13 1.08459e-13 0 -4.44086e-13 2.53039e-13 -1.83369e-14 1.11766e-13 2.34686e-13 1.40443e-13 0 -3.30881e-13 2.62517e-13 1.47153e-13 1.58156e-13 0 -7.01563e-14 -2.96528e-13 0
1.14953 -3.8735e-13 2.89218e-13 -3.17637e-13 -2.53056e-13 4.75128e-13 0 3.68951e-14 -2.87015e-13 -2.24946e-13 0 -4.23703e-15 -1.82562e-13 -1.74179e-13 0 -6.54503e-15 -3.75422e-20 -7.33881e-14 0 7.3388e-14 -3.6241e-13 3.6241e-13 0 -8.12503e-13 3.56708e-13 -2.12926e-13 1.06463e-13 2.31374e-14 9.17995e-14 3.78213e-13 1.74179e-13 0 -7.1097e-13 4.05028e-13 -3.03501e-14 1.79568e-13 3.75768e-13 2.24946e-13 0 -5.28082e-13 4.18533e-13 2.32698e-13 2.53056e-13 0 -1.12718e-13 -4.75128e-13 0
1.59555 -5.18861e-13 3.88857e-13 -4.2777e-13 -3.40828e-13 6.41279e-13 0 5.19988e-14 -3.8797e-13 -3.03427e-13 0 -3.89963e-15 -2.45176e-13 -2.35888e-13 0 -9.0574e-15 -4.62729e-20 -9.9822e-14 0 9.98219e-14 -4.88528e-13 4.88528e-13 0 -1.09346e-12 4.80097e-13 -2.87206e-13 1.43603e-13 2.57221e-14 1.2568e-13 5.08466e-13 2.35888e-13 0 -9.58384e-13 5.45826e-13 -4.29415e-14 2.43347e-13 5.06657e-13 3.03427e-13 0 -7.08462e-13 5.60611e-13 3.0779e-13 3.40828e-13 0 -1.5275e-13 -6.41279e-13 0
2.04157 -6.33423e-13 4.77129e-13 -5.26112e-13 -4.19236e-13 7.91053e-13 0 6.78688e-14 -4.7961e-13 -3.73978e-13 0 -1.78063e-15 -3.00369e-13 -2.92305e-13 0 -1.1572e-14 -5.0578e-20 -1.24422e-13 0 1.24422e-13 -6.01611e-13 6.01611e-13 0 -1.34352e-12 5.89929e-13 -3.53945e-13 1.76972e-13 2.24866e-14 1.58047e-13 6.23881e-13 2.92305e-13 0 -1.18018e-12 6.7192e-13 -5.62969e-14 3.01816e-13 6.24201e-13 3.73978e-13 0 -8.66661e-13 6.84346e-13 3.69153e-13 4.19236e-13 0 -1.89442e-13 -7.91053e-13 0
2.48758 -7.27537e-13 5.5162e-13 -6.10223e-13 -4.86345e-13 9.21e-13 0 8.46649e-14 -5.60018e-13 -4.34912e-13 0 2.42784e-15 -3.46583e-13 -3.42277e-13 0 -1.41189e-14 -4.97339e-20 -1.46777e-13 0 1.46777e-13 -6.98948e-13 6.98948e-13 0 -1.55622e-12 6.83328e-13 -4.115e-13 2.0575e-13 1.23079e-14 1.88586e-13 7.21404e-13 3.42278e-13 0 -1.37095e-12 7.80259e-13 -7.05462e-14 3.53813e-13 7.25702e-13 4.34912e-13 0 -9.97991e-13 7.85938e-13 4.14037e-13 4.86345e-13 0 -2.22052e-13 -9.21e-13 0
2.9564 -8.01336e-13 6.12867e-13 -6.81111e-13 -5.42978e-13 1.03307e-12 0 1.03436e-13 -6.30717e-13 -4.87047e-13 0 9.30472e-15 -3.84082e-13 -3.86762e-13 0 -1.68836e-14 -4.27036e-20 -1.67451e-13 0 1.6745e-13 -7.81853e-13 7.81853e-13 0 -1.73371e-12 7.61165e-13 -4.60552e-13 2.30276e-13 -6.74886e-15 2.18415e-13 8.0193e-13 3.86763e-13 0 -1.53314e-12 8.72263e-13 -8.65527e-14 4.0038e-13 8.12744e-13 4.87047e-13 0 -1.10283e-12 8.65495e-13 4.41143e-13 5.42978e-13 0 -2.51218e-13 -1.03307e-12 0
