# time   dipole_moment
0 -0
0.01 -8.26447e-11
0.055 -2.49949e-09
0.2575 -5.47028e-08
0.703516 -4.05602e-07
1.14953 -1.07083e-06
1.59555 -2.03071e-06
2.04157 -3.25772e-06
2.48758 -4.71737e-06
2.9564 -6.45799e-06
3.42521 -8.35836e-06
3.89403 -1.03619e-05
4.36285 -1.24098e-05
4.83166 -1.44432e-05
5.30048 -1.64045e-05
5.7693 -1.82399e-05
6.23811 -1.99003e-05
6.70693 -2.13433e-05
7.17575 -2.25342e-05
7.64456 -2.34467e-05
8.11338 -2.40642e-05
8.5822 -2.43791e-05
9.05101 -2.43937e-05
9.51983 -2.41193e-05
9.98865 -2.35759e-05
10.4575 -2.27911e-05
10.9263 -2.17992e-05
11.3951 -2.064e-05
11.8639 -1.93571e-05
12.3327 -1.79969e-05
12.8015 -1.66069e-05
13.2704 -1.52341e-05
13.7392 -1.39241e-05
14.208 -1.27192e-05
14.6768 -1.16579e-05
15.1456 -1.07737e-05
15.6144 -1.0094e-05
16.0833 -9.64036e-06
16.5521 -9.42722e-06
17.0209 -9.46244e-06
17.4897 -9.74703e-06
17.9585 -1.02755e-05
18.4273 -1.10363e-05
18.8962 -1.20122e-05
19.365 -1.31813e-05
19.8338 -1.45175e-05
20.3026 -1.59914e-05
20.7714 -1.75715e-05
21.2402 -1.92247e-05
21.7091 -2.09176e-05
22.1258 -2.2429e-05
22.5426 -2.39232e-05
22.9594 -2.53788e-05
23.3761 -2.67762e-05
23.7929 -2.80976e-05
24.2097 -2.93276e-05
24.6265 -3.04532e-05
25.0432 -3.14639e-05
25.46 -3.23521e-05
25.8768 -3.31129e-05
26.2935 -3.37444e-05
26.7103 -3.42473e-05
27.1271 -3.4625e-05
27.5438 -3.48834e-05
27.9606 -3.50306e-05
28.3774 -3.5077e-05
28.7942 -3.50345e-05
29.2109 -3.49167e-05
29.6277 -3.47381e-05
30.0445 -3.45142e-05
30.4612 -3.4261e-05
30.878 -3.39945e-05
31.2948 -3.37306e-05
31.7116 -3.34847e-05
32.1283 -3.32714e-05
32.5451 -3.31041e-05
32.9619 -3.2995e-05
33.3786 -3.29549e-05
33.7954 -3.29926e-05
34.2122 -3.31155e-05
34.6289 -3.33287e-05
35.0457 -3.36357e-05
35.4625 -3.40379e-05
35.8793 -3.45348e-05
36.296 -3.51242e-05
36.7128 -3.58021e-05
37.1296 -3.65628e-05
37.5463 -3.73995e-05
37.9631 -3.8304e-05
38.3799 -3.9267e-05
38.7966 -4.02785e-05
39.2134 -4.13281e-05
39.6302 -4.24047e-05
40.047 -4.34974e-05
40.4637 -4.45954e-05
40.8805 -4.56879e-05
41.2542 -4.66544e-05
41.6278 -4.76017e-05
42.0015 -4.85235e-05
42.3751 -4.94141e-05
42.7488 -5.02686e-05
43.1224 -5.10827e-05
43.4961 -5.18529e-05
43.8697 -5.25767e-05
44.2434 -5.32521e-05
44.617 -5.38783e-05
44.9907 -5.44549e-05
45.3643 -5.49826e-05
45.738 -5.54627e-05
46.1116 -5.58972e-05
46.4853 -5.62888e-05
46.8589 -5.66407e-05
47.2326 -5.69566e-05
47.6062 -5.72408e-05
47.9799 -5.74976e-05
48.3535 -5.7732e-05
48.7272 -5.79488e-05
49.1008 -5.8153e-05
49.4745 -5.83497e-05
49.8481 -5.85437e-05
50.2218 -5.87398e-05
50.5955 -5.89426e-05
50.9691 -5.91563e-05
51.3428 -5.93846e-05
51.7164 -5.96311e-05
52.0901 -5.98988e-05
52.4637 -6.019e-05
52.8374 -6.05067e-05
53.211 -6.08505e-05
53.5847 -6.12221e-05
53.9583 -6.16219e-05
54.332 -6.20498e-05
54.7056 -6.2505e-05
55.0793 -6.29865e-05
55.4529 -6.34927e-05
55.8266 -6.40217e-05
56.2002 -6.45712e-05
56.5739 -6.51386e-05
56.9475 -6.5721e-05
57.3212 -6.63157e-05
57.6948 -6.69194e-05
58.0685 -6.7529e-05
58.4421 -6.81413e-05
58.8158 -6.87534e-05
59.1894 -6.9362e-05
59.5631 -6.99645e-05
59.9368 -7.0558e-05
60.3104 -7.11402e-05
60.6841 -7.17088e-05
61.0577 -7.22618e-05
61.4314 -7.27976e-05
61.805 -7.33148e-05
62.1787 -7.38123e-05
62.5523 -7.42894e-05
62.926 -7.47455e-05
63.2996 -7.51805e-05
63.6733 -7.55943e-05
64.0469 -7.59874e-05
64.4206 -7.63602e-05
64.8086 -7.67267e-05
65.1966 -7.70732e-05
65.5846 -7.74009e-05
65.9726 -7.77113e-05
66.3606 -7.80057e-05
66.7486 -7.82857e-05
67.1366 -7.8553e-05
67.5246 -7.88092e-05
67.9126 -7.9056e-05
68.3006 -7.92949e-05
68.6886 -7.95276e-05
69.0766 -7.97556e-05
69.4646 -7.99802e-05
69.8526 -8.02029e-05
70.2406 -8.04249e-05
70.6286 -8.06472e-05
71.0166 -8.08708e-05
71.4046 -8.10964e-05
71.7926 -8.13249e-05
72.1806 -8.15565e-05
72.5686 -8.17917e-05
72.9566 -8.20305e-05
73.3446 -8.2273e-05
73.7326 -8.25188e-05
74.1207 -8.27678e-05
74.5087 -8.30191e-05
74.8967 -8.32722e-05
75.2847 -8.35262e-05
75.6727 -8.37799e-05
76.0607 -8.40323e-05
76.4487 -8.42821e-05
76.8367 -8.45279e-05
77.2247 -8.47683e-05
77.6127 -8.50018e-05
78.0007 -8.52271e-05
78.3887 -8.54425e-05
78.7767 -8.56469e-05
79.1647 -8.58389e-05
79.5527 -8.60173e-05
79.9407 -8.61812e-05
80.3287 -8.63299e-05
80.7167 -8.64627e-05
81.1047 -8.65792e-05
81.4927 -8.66795e-05
81.8807 -8.67636e-05
82.2825 -8.68342e-05
82.6842 -8.68887e-05
83.086 -8.69281e-05
83.4878 -8.69537e-05
83.8895 -8.6967e-05
84.2913 -8.69695e-05
84.693 -8.69631e-05
85.0948 -8.69493e-05
85.4966 -8.69301e-05
85.8983 -8.6907e-05
86.3001 -8.68816e-05
86.7018 -8.68552e-05
87.1036 -8.68288e-05
87.5054 -8.68032e-05
87.9071 -8.67788e-05
88.3089 -8.67556e-05
88.7257 -8.67323e-05
89.1425 -8.67091e-05
89.5593 -8.66847e-05
89.9762 -8.66574e-05
90.393 -8.66252e-05
90.8098 -8.65858e-05
91.2266 -8.65368e-05
91.6434 -8.64755e-05
92.0602 -8.63995e-05
92.477 -8.63061e-05
92.8939 -8.61932e-05
93.3107 -8.60588e-05
93.7275 -8.59011e-05
94.1585 -8.57124e-05
94.5896 -8.5497e-05
95.0206 -8.52546e-05
95.4517 -8.49858e-05
95.8827 -8.46918e-05
96.3138 -8.43743e-05
96.7448 -8.40355e-05
97.1759 -8.36782e-05
97.6069 -8.33055e-05
98.038 -8.29208e-05
98.469 -8.25274e-05
98.9001 -8.21288e-05
99.3311 -8.17284e-05
99.7622 -8.13289e-05
100.193 -8.09332e-05
100.624 -8.05431e-05
101.055 -8.01603e-05
101.486 -7.97857e-05
101.917 -7.94193e-05
102.348 -7.90608e-05
102.779 -7.8709e-05
103.211 -7.83621e-05
103.642 -7.80178e-05
104.073 -7.76734e-05
104.504 -7.73258e-05
104.935 -7.69717e-05
105.366 -7.66074e-05
105.797 -7.62298e-05
106.228 -7.58353e-05
106.659 -7.54209e-05
107.09 -7.49839e-05
107.521 -7.4522e-05
107.952 -7.40333e-05
108.383 -7.35166e-05
108.814 -7.29712e-05
109.245 -7.23969e-05
109.676 -7.17941e-05
110.107 -7.11638e-05
110.538 -7.05074e-05
110.969 -6.98267e-05
111.4 -6.91238e-05
111.831 -6.84012e-05
112.263 -6.76614e-05
112.694 -6.6907e-05
113.125 -6.61409e-05
113.556 -6.53655e-05
113.987 -6.45833e-05
114.418 -6.37968e-05
114.849 -6.30078e-05
115.28 -6.22182e-05
115.711 -6.14295e-05
116.142 -6.06427e-05
116.573 -5.98587e-05
117.004 -5.9078e-05
117.435 -5.83007e-05
117.866 -5.75266e-05
118.297 -5.67553e-05
118.728 -5.5986e-05
119.159 -5.52178e-05
119.59 -5.44494e-05
120.021 -5.36795e-05
120.452 -5.29066e-05
120.883 -5.21288e-05
121.315 -5.13446e-05
121.746 -5.05519e-05
122.177 -4.97491e-05
122.559 -4.9026e-05
122.942 -4.82922e-05
123.325 -4.75465e-05
123.708 -4.67876e-05
124.091 -4.60146e-05
124.473 -4.52265e-05
124.856 -4.44226e-05
125.239 -4.36022e-05
125.622 -4.27649e-05
126.005 -4.19103e-05
126.388 -4.10383e-05
126.77 -4.01491e-05
127.153 -3.92429e-05
127.536 -3.83202e-05
127.919 -3.73817e-05
128.302 -3.64283e-05
128.684 -3.5461e-05
129.067 -3.4481e-05
129.45 -3.34897e-05
129.833 -3.24883e-05
130.216 -3.14785e-05
130.598 -3.04618e-05
130.981 -2.94396e-05
131.364 -2.84135e-05
131.747 -2.73849e-05
132.13 -2.63553e-05
132.512 -2.53258e-05
132.895 -2.42974e-05
133.278 -2.32712e-05
133.661 -2.22477e-05
134.044 -2.12274e-05
134.427 -2.02107e-05
134.809 -1.91975e-05
135.192 -1.81877e-05
135.575 -1.71808e-05
135.958 -1.61762e-05
136.341 -1.51731e-05
136.723 -1.41705e-05
137.106 -1.31673e-05
137.489 -1.21622e-05
137.872 -1.1154e-05
138.255 -1.01412e-05
138.637 -9.12254e-06
139.02 -8.0966e-06
139.403 -7.06209e-06
139.786 -6.01778e-06
140.169 -4.96256e-06
140.552 -3.89547e-06
140.934 -2.81568e-06
141.317 -1.72257e-06
141.7 -6.15691e-07
142.083 5.05198e-07
142.466 1.64013e-06
142.848 2.78895e-06
143.231 3.95128e-06
143.614 5.12656e-06
143.997 6.31405e-06
144.38 7.51287e-06
144.762 8.72196e-06
145.145 9.94016e-06
145.528 1.11662e-05
145.911 1.23988e-05
146.294 1.36366e-05
146.676 1.48782e-05
147.059 1.61223e-05
147.442 1.73675e-05
147.825 1.86127e-05
148.208 1.98567e-05
148.591 2.10985e-05
148.973 2.23374e-05
149.356 2.35725e-05
149.739 2.48035e-05
150.122 2.603e-05
150.505 2.7252e-05
150.887 2.84696e-05
151.27 2.96831e-05
151.653 3.08931e-05
152.036 3.21002e-05
152.419 3.33055e-05
152.815 3.45522e-05
153.211 3.57993e-05
153.607 3.70484e-05
154.004 3.83009e-05
154.4 3.95584e-05
154.796 4.08226e-05
155.192 4.20948e-05
155.588 4.33768e-05
155.985 4.46696e-05
156.381 4.59746e-05
156.777 4.72926e-05
157.173 4.86244e-05
157.57 4.99703e-05
157.966 5.13307e-05
158.362 5.27052e-05
158.758 5.40936e-05
159.155 5.54949e-05
159.551 5.69082e-05
159.947 5.83322e-05
160.343 5.97653e-05
160.74 6.12058e-05
161.136 6.26517e-05
161.532 6.4101e-05
161.928 6.55516e-05
162.339 6.70547e-05
162.75 6.85546e-05
163.161 7.00494e-05
163.571 7.1537e-05
163.982 7.30158e-05
164.393 7.44844e-05
164.804 7.59418e-05
165.214 7.73872e-05
165.625 7.88205e-05
166.036 8.02418e-05
166.447 8.16517e-05
166.857 8.30511e-05
167.268 8.44414e-05
167.679 8.58241e-05
168.09 8.72012e-05
168.5 8.85748e-05
168.911 8.9947e-05
169.322 9.13203e-05
169.733 9.26969e-05
170.144 9.40791e-05
170.554 9.54688e-05
170.965 9.6868e-05
171.376 9.82784e-05
171.787 9.97011e-05
172.197 0.000101137
172.608 0.000102587
173.019 0.000104051
173.43 0.00010553
173.84 0.000107021
174.251 0.000108526
174.662 0.000110041
175.073 0.000111567
175.483 0.000113101
175.894 0.000114642
