# SCF level flow: eigenvalue spectrum vs self-consistency iteration
# U_eV=11.2 hartree=1 hartree_onsite=0 homo_index=46 n_states=92 n_samples=1087 stride=2 iters=2171
# iter  state_index  energy_eV  occupation  spin(+1=up,-1=dn)
2 0 -8.19895 1 1
2 1 -8.19609 1 -1
2 2 -7.50894 1 1
2 3 -7.50894 1 1
2 4 -7.50142 1 -1
2 5 -7.50142 1 -1
2 6 -6.64457 1 1
2 7 -6.63715 1 -1
2 8 -6.54889 1 1
2 9 -6.54889 1 1
2 10 -6.53618 1 -1
2 11 -6.53618 1 -1
2 12 -5.58181 1 1
2 13 -5.58181 1 1
2 14 -5.57516 1 -1
2 15 -5.57516 1 -1
2 16 -5.50412 1 1
2 17 -5.4852 1 -1
2 18 -5.38431 1 1
2 19 -5.36613 1 -1
2 20 -4.58557 1 1
2 21 -4.58557 1 1
2 22 -4.57321 1 -1
2 23 -4.57321 1 -1
2 24 -4.55163 1 1
2 25 -4.5483 1 -1
2 26 -4.31403 1 1
2 27 -4.31403 1 1
2 28 -4.29475 1 -1
2 29 -4.29475 1 -1
2 30 -3.86157 1 1
2 31 -3.86109 1 -1
2 32 -3.86109 1 -1
2 33 -3.85843 1 1
2 34 -3.85843 1 1
2 35 -3.8481 1 -1
2 36 -3.63346 1 -1
2 37 -3.63317 1 1
2 38 -3.40596 1 1
2 39 -3.40596 1 1
2 40 -3.38547 1 -1
2 41 -3.38547 1 -1
2 42 -2.72195 1 1
2 43 -2.72195 1 1
2 44 -2.7124 1 1
2 45 -2.71129 1 1
2 46 2.9288 1 -1
2 47 2.93104 0 -1
2 48 2.93104 0 -1
2 49 2.93866 0 -1
2 50 3.62897 0 -1
2 51 3.62897 0 -1
2 52 3.63114 0 1
2 53 3.63114 0 1
2 54 3.86223 0 1
2 55 3.86403 0 -1
2 56 4.08329 0 1
2 57 4.08329 0 1
2 58 4.08341 0 -1
2 59 4.08408 0 -1
2 60 4.08408 0 -1
2 61 4.08539 0 1
2 62 4.53715 0 1
2 63 4.53715 0 1
2 64 4.54016 0 -1
2 65 4.54016 0 -1
2 66 4.77576 0 -1
2 67 4.77752 0 1
2 68 4.80387 0 -1
2 69 4.80388 0 -1
2 70 4.80407 0 1
2 71 4.80408 0 1
2 72 5.6056 0 1
2 73 5.61386 0 -1
2 74 5.71952 0 1
2 75 5.72602 0 -1
2 76 5.80491 0 -1
2 77 5.80491 0 -1
2 78 5.80591 0 1
2 79 5.80591 0 1
2 80 6.77295 0 1
2 81 6.77295 0 1
2 82 6.77825 0 -1
2 83 6.77825 0 -1
2 84 6.86885 0 1
2 85 6.87093 0 -1
2 86 7.74006 0 1
2 87 7.74007 0 1
2 88 7.7424 0 -1
2 89 7.7424 0 -1
2 90 8.44259 0 -1
2 91 8.44381 0 1
4 0 -8.08453 1 1
4 1 -8.07972 1 -1
4 2 -7.40383 1 1
4 3 -7.40382 1 1
4 4 -7.38925 1 -1
4 5 -7.38924 1 -1
4 6 -6.54339 1 1
4 7 -6.52887 1 -1
4 8 -6.4503 1 1
4 9 -6.45029 1 1
4 10 -6.42498 1 -1
4 11 -6.42497 1 -1
4 12 -5.48227 1 1
4 13 -5.48226 1 1
4 14 -5.47081 1 -1
4 15 -5.47081 1 -1
4 16 -5.41237 1 1
4 17 -5.37568 1 -1
4 18 -5.29241 1 1
4 19 -5.25356 1 -1
4 20 -4.49256 1 1
4 21 -4.49255 1 1
4 22 -4.46868 1 -1
4 23 -4.46867 1 -1
4 24 -4.4551 1 1
4 25 -4.44722 1 -1
4 26 -4.22368 1 1
4 27 -4.22368 1 1
4 28 -4.18387 1 -1
4 29 -4.18386 1 -1
4 30 -3.76589 1 -1
4 31 -3.76588 1 -1
4 32 -3.76493 1 1
4 33 -3.7594 1 1
4 34 -3.75939 1 1
4 35 -3.74178 1 -1
4 36 -3.53415 1 -1
4 37 -3.53393 1 1
4 38 -3.31864 1 1
4 39 -3.31864 1 1
4 40 -3.27555 1 -1
4 41 -3.27555 1 -1
4 42 -2.64862 1 1
4 43 -2.64861 1 1
4 44 -2.63078 1 1
4 45 -2.62415 1 1
4 46 3.05159 1 -1
4 47 3.05816 0 -1
4 48 3.05816 0 -1
4 49 3.07556 0 -1
4 50 3.75686 0 -1
4 51 3.75686 0 -1
4 52 3.76232 0 1
4 53 3.76232 0 1
4 54 3.98759 0 1
4 55 3.99029 0 -1
4 56 4.20076 0 -1
4 57 4.2031 0 1
4 58 4.20311 0 1
4 59 4.20424 0 -1
4 60 4.20424 0 -1
4 61 4.20656 0 1
4 62 4.66125 0 1
4 63 4.66125 0 1
4 64 4.66777 0 -1
4 65 4.66778 0 -1
4 66 4.8982 0 -1
4 67 4.90163 0 1
4 68 4.92162 0 -1
4 69 4.92162 0 -1
4 70 4.92431 0 1
4 71 4.92432 0 1
4 72 5.7242 0 1
4 73 5.74436 0 -1
4 74 5.83444 0 1
4 75 5.84667 0 -1
4 76 5.92115 0 -1
4 77 5.92115 0 -1
4 78 5.92563 0 1
4 79 5.92563 0 1
4 80 6.88978 0 1
4 81 6.88978 0 1
4 82 6.90055 0 -1
4 83 6.90055 0 -1
4 84 6.98692 0 1
4 85 6.99086 0 -1
4 86 7.8595 0 1
4 87 7.85951 0 1
4 88 7.86335 0 -1
4 89 7.86335 0 -1
4 90 8.56605 0 -1
4 91 8.57024 0 1
6 0 -7.97539 1 1
6 1 -7.96856 1 -1
6 2 -7.30351 1 1
6 3 -7.30351 1 1
6 4 -7.28199 1 -1
6 5 -7.28199 1 -1
6 6 -6.44663 1 1
6 7 -6.42542 1 -1
6 8 -6.35626 1 1
6 9 -6.35626 1 1
6 10 -6.31868 1 -1
6 11 -6.31868 1 -1
6 12 -5.38716 1 1
6 13 -5.38716 1 1
6 14 -5.37117 1 -1
6 15 -5.37117 1 -1
6 16 -5.32485 1 1
6 17 -5.27092 1 -1
6 18 -5.20486 1 1
6 19 -5.14608 1 -1
6 20 -4.404 1 1
6 21 -4.404 1 1
6 22 -4.36882 1 -1
6 23 -4.36882 1 -1
6 24 -4.36295 1 1
6 25 -4.35089 1 -1
6 26 -4.13729 1 1
6 27 -4.13729 1 1
6 28 -4.07811 1 -1
6 29 -4.0781 1 -1
6 30 -3.6746 1 -1
6 31 -3.6746 1 -1
6 32 -3.67292 1 1
6 33 -3.66467 1 1
6 34 -3.66467 1 1
6 35 -3.64016 1 -1
6 36 -3.43935 1 1
6 37 -3.43888 1 -1
6 38 -3.23515 1 1
6 39 -3.23515 1 1
6 40 -3.17051 1 -1
6 41 -3.17051 1 -1
6 42 -2.57871 1 1
6 43 -2.57871 1 1
6 44 -2.55284 1 1
6 45 -2.54062 1 1
6 46 3.1696 1 -1
6 47 3.18033 0 -1
6 48 3.18033 0 -1
6 49 3.20715 0 -1
6 50 3.87985 0 -1
6 51 3.87985 0 -1
6 52 3.88826 0 1
6 53 3.88826 0 1
6 54 4.10814 0 1
6 55 4.11136 0 -1
6 56 4.31344 0 -1
6 57 4.3186 0 1
6 58 4.3186 0 1
6 59 4.31961 0 -1
6 60 4.31962 0 -1
6 61 4.3232 0 1
6 62 4.7804 0 1
6 63 4.7804 0 1
6 64 4.79039 0 -1
6 65 4.79039 0 -1
6 66 5.01581 0 -1
6 67 5.02114 0 1
6 68 5.03477 0 -1
6 69 5.03477 0 -1
6 70 5.0402 0 1
6 71 5.0402 0 1
6 72 5.83814 0 1
6 73 5.86972 0 -1
6 74 5.94501 0 1
6 75 5.96257 0 -1
6 76 6.03274 0 -1
6 77 6.03274 0 -1
6 78 6.04077 0 1
6 79 6.04077 0 1
6 80 7.0021 0 1
6 81 7.0021 0 1
6 82 7.01797 0 -1
6 83 7.01797 0 -1
6 84 7.10041 0 1
6 85 7.10609 0 -1
6 86 7.9743 0 1
6 87 7.9743 0 1
6 88 7.97939 0 -1
6 89 7.97939 0 -1
6 90 8.68432 0 -1
6 91 8.69155 0 1
8 0 -7.87128 1 1
8 1 -7.86236 1 -1
8 2 -7.20775 1 1
8 3 -7.20775 1 1
8 4 -7.17945 1 -1
8 5 -7.17945 1 -1
8 6 -6.35411 1 1
8 7 -6.32656 1 -1
8 8 -6.26656 1 1
8 9 -6.26656 1 1
8 10 -6.21708 1 -1
8 11 -6.21708 1 -1
8 12 -5.29627 1 1
8 13 -5.29627 1 1
8 14 -5.27601 1 -1
8 15 -5.27601 1 -1
8 16 -5.24135 1 1
8 17 -5.1707 1 -1
8 18 -5.12144 1 1
8 19 -5.04347 1 -1
8 20 -4.31968 1 1
8 21 -4.31968 1 1
8 22 -4.27498 1 1
8 23 -4.27343 1 -1
8 24 -4.27343 1 -1
8 25 -4.25906 1 -1
8 26 -4.05469 1 1
8 27 -4.05469 1 1
8 28 -3.97723 1 -1
8 29 -3.97723 1 -1
8 30 -3.58709 1 -1
8 31 -3.58709 1 -1
8 32 -3.58533 1 1
8 33 -3.5741 1 1
8 34 -3.5741 1 1
8 35 -3.54302 1 -1
8 36 -3.34926 1 1
8 37 -3.3475 1 -1
8 38 -3.15534 1 1
8 39 -3.15534 1 1
8 40 -3.07014 1 -1
8 41 -3.07014 1 -1
8 42 -2.51208 1 1
8 43 -2.51208 1 1
8 44 -2.47839 1 1
8 45 -2.46059 1 1
8 46 3.28304 1 -1
8 47 3.29776 0 -1
8 48 3.29776 0 -1
8 49 3.33367 0 -1
8 50 3.99812 0 -1
8 51 3.99812 0 -1
8 52 4.0092 0 1
8 53 4.0092 0 1
8 54 4.22411 0 1
8 55 4.22747 0 -1
8 56 4.42166 0 -1
8 57 4.42995 0 1
8 58 4.42995 0 1
8 59 4.43042 0 -1
