# t  J_up_x  J_up_y  J_dn_x  J_dn_y  J_spin_x  J_spin_y
0 0 0 0 0 0 0
0.01 -8.13966e-09 5.26523e-17 -8.38921e-09 5.98447e-17 2.49556e-10 -7.19244e-18
0.055 -4.47535e-08 3.72419e-16 -4.61261e-08 2.46887e-16 1.3726e-09 1.25532e-16
0.2575 -2.08963e-07 3.45556e-15 -2.15422e-07 -6.19659e-16 6.45825e-09 4.07522e-15
0.703516 -5.63491e-07 1.95591e-14 -5.81814e-07 -1.22162e-14 1.83231e-08 3.17753e-14
1.14953 -8.99776e-07 4.76668e-14 -9.31884e-07 -3.64785e-14 3.21083e-08 8.41453e-14
1.59555 -1.20807e-06 8.62403e-14 -1.25703e-06 -7.21589e-14 4.89604e-08 1.58399e-13
2.04157 -1.47952e-06 1.33198e-13 -1.5494e-06 -1.17388e-13 6.98832e-08 2.50587e-13
2.48758 -1.70641e-06 1.85958e-13 -1.8021e-06 -1.69856e-13 9.56932e-08 3.55813e-13
2.9564 -1.88995e-06 2.44441e-13 -2.01869e-06 -2.29863e-13 1.28739e-07 4.74304e-13
3.42521 -2.01183e-06 3.02375e-13 -2.18006e-06 -2.91445e-13 1.68229e-07 5.9382e-13
3.89403 -2.06867e-06 3.55903e-13 -2.2829e-06 -3.50993e-13 2.1423e-07 7.06897e-13
4.36285 -2.05927e-06 4.01313e-13 -2.32574e-06 -4.04906e-13 2.66477e-07 8.0622e-13
4.83166 -1.98462e-06 4.35084e-13 -2.309e-06 -4.49673e-13 3.24379e-07 8.84757e-13
5.30048 -1.84784e-06 4.5415e-13 -2.23489e-06 -4.82191e-13 3.87048e-07 9.36341e-13
5.7693 -1.65402e-06 4.56015e-13 -2.10735e-06 -4.9972e-13 4.53329e-07 9.55735e-13
6.23811 -1.41003e-06 4.38956e-13 -1.93188e-06 -5.00165e-13 5.21854e-07 9.39121e-13
6.70693 -1.12422e-06 4.02009e-13 -1.71532e-06 -4.82152e-13 5.91092e-07 8.8416e-13
7.17575 -8.06165e-07 3.4511e-13 -1.46558e-06 -4.45108e-13 6.59417e-07 7.90218e-13
7.64456 -4.66245e-07 2.69192e-13 -1.19142e-06 -3.89237e-13 7.25172e-07 6.58429e-13
8.11338 -1.15333e-07 1.76041e-13 -9.02073e-07 -3.15611e-13 7.8674e-07 4.91652e-13
8.5822 2.35603e-07 6.83015e-14 -6.07007e-07 -2.26107e-13 8.4261e-07 2.94409e-13
9.05101 5.7586e-07 -5.05635e-14 -3.15575e-07 -1.23359e-13 8.91436e-07 7.27952e-14
9.51983 8.95343e-07 -1.76446e-13 -3.67488e-08 -1.06947e-14 9.32092e-07 -1.65752e-13
9.98865 1.18488e-06 -3.04764e-13 2.21156e-07 1.08021e-13 9.63719e-07 -4.12786e-13
10.4575 1.43647e-06 -4.30568e-13 4.5071e-07 2.28558e-13 9.85761e-07 -6.59126e-13
10.9263 1.64355e-06 -5.48863e-13 6.45565e-07 3.46319e-13 9.97982e-07 -8.95182e-13
11.3951 1.80109e-06 -6.54701e-13 8.00608e-07 4.56698e-13 1.00048e-06 -1.1114e-12
11.8639 1.90577e-06 -7.43355e-13 9.12067e-07 5.55271e-13 9.937e-07 -1.29863e-12
12.3327 1.95595e-06 -8.10654e-13 9.77566e-07 6.37751e-13 9.78385e-07 -1.44841e-12
12.8015 1.95172e-06 -8.53134e-13 9.96138e-07 7.00312e-13 9.55586e-07 -1.55345e-12
13.2704 1.89481e-06 -8.68072e-13 9.68196e-07 7.39758e-13 9.26612e-07 -1.60783e-12
13.7392 1.78844e-06 -8.53714e-13 8.9545e-07 7.53616e-13 8.92991e-07 -1.60733e-12
14.208 1.63722e-06 -8.09403e-13 7.80803e-07 7.40153e-13 8.56416e-07 -1.54956e-12
14.6768 1.44691e-06 -7.35481e-13 6.28211e-07 6.98673e-13 8.18697e-07 -1.43415e-12
15.1456 1.22421e-06 -6.33403e-13 4.42515e-07 6.29386e-13 7.81699e-07 -1.26279e-12
15.6144 9.7655e-07 -5.05686e-13 2.29261e-07 5.33465e-13 7.47288e-07 -1.03915e-12
16.0833 7.11785e-07 -3.55879e-13 -5.48698e-09 4.12988e-13 7.17272e-07 -7.68867e-13
16.5521 4.37995e-07 -1.88327e-13 -2.55348e-07 2.70933e-13 6.93343e-07 -4.5926e-13
17.0209 1.63222e-07 -8.17383e-15 -5.13812e-07 1.10999e-13 6.77034e-07 -1.19173e-13
17.4897 -1.04759e-07 1.78927e-13 -7.74426e-07 -6.23694e-14 6.69667e-07 2.41297e-13
17.9585 -3.58645e-07 3.67057e-13 -1.03096e-06 -2.44222e-13 6.72319e-07 6.1128e-13
18.4273 -5.91794e-07 5.5003e-13 -1.27758e-06 -4.29349e-13 6.85785e-07 9.79379e-13
