# t  B_z_curl_0  B_z_curl_1  B_z_curl_2  B_z_curl_3  B_z_curl_4  B_z_curl_5  B_z_curl_6  B_z_curl_7  B_z_curl_8  B_z_curl_9  B_z_curl_10  B_z_curl_11  B_z_curl_12  B_z_curl_13  B_z_curl_14  B_z_curl_15  B_z_curl_16  B_z_curl_17  B_z_curl_18  B_z_curl_19  B_z_curl_20  B_z_curl_21  B_z_curl_22  B_z_curl_23  B_z_curl_24  B_z_curl_25  B_z_curl_26  B_z_curl_27  B_z_curl_28  B_z_curl_29  B_z_curl_30  B_z_curl_31  B_z_curl_32  B_z_curl_33  B_z_curl_34  B_z_curl_35  B_z_curl_36  B_z_curl_37  B_z_curl_38  B_z_curl_39  B_z_curl_40  B_z_curl_41  B_z_curl_42  B_z_curl_43  B_z_curl_44  B_z_curl_45
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.01 -3.51267e-15 2.61248e-15 -2.86447e-15 -2.28187e-15 4.27469e-15 0 3.16595e-16 -2.5783e-15 -2.02505e-15 0 -5.09825e-17 -1.65108e-15 -1.56141e-15 0 -5.74022e-17 -4.01601e-22 -6.54831e-16 0 6.5483e-16 -3.26497e-15 3.26497e-15 0 -7.33228e-15 3.21864e-15 -1.91681e-15 9.58404e-16 2.46834e-16 8.13533e-16 3.41696e-15 1.56141e-15 0 -6.40499e-15 3.64999e-15 -2.59193e-16 1.6086e-15 3.38467e-15 2.02505e-15 0 -4.78098e-15 3.79554e-15 2.13775e-15 2.28187e-15 0 -1.00972e-15 -4.27469e-15 0
0.055 -1.93133e-14 1.4364e-14 -1.57495e-14 -1.25463e-14 2.35034e-14 0 1.74091e-15 -1.41763e-14 -1.11343e-14 0 -2.80161e-16 -9.07798e-15 -8.58511e-15 0 -3.1563e-16 -2.19714e-21 -3.60051e-15 0 3.6005e-15 -1.79517e-14 1.79517e-14 0 -4.03146e-14 1.76969e-14 -1.05391e-14 5.26956e-15 1.3567e-15 4.47318e-15 1.87872e-14 8.58512e-15 0 -3.52163e-14 2.00686e-14 -1.42528e-15 8.84458e-15 1.86098e-14 1.11343e-14 0 -2.62868e-14 2.08685e-14 1.17534e-14 1.25463e-14 0 -5.55176e-15 -2.35034e-14 0
0.2575 -9.01672e-14 6.70732e-14 -7.35486e-14 -5.85899e-14 1.09771e-13 0 8.14932e-15 -6.62136e-14 -5.20002e-14 0 -1.29279e-15 -4.23875e-14 -4.01029e-14 0 -1.47587e-15 -1.00485e-20 -1.68224e-14 0 1.68224e-14 -8.38362e-14 8.38362e-14 0 -1.88259e-13 8.26402e-14 -4.92207e-14 2.46104e-14 6.28937e-15 2.09065e-14 8.77266e-14 4.01029e-14 0 -1.64464e-13 9.37211e-14 -6.67347e-15 4.13163e-14 8.69104e-14 5.20002e-14 0 -1.22734e-13 9.74281e-14 5.48394e-14 5.85899e-14 0 -2.59344e-14 -1.09771e-13 0
1.16875 -3.93313e-13 2.93709e-13 -3.22589e-13 -2.57002e-13 4.82573e-13 0 3.75326e-14 -2.91528e-13 -2.28466e-13 0 -4.25402e-15 -1.85389e-13 -1.7693e-13 0 -6.65349e-15 -3.8714e-20 -7.4559e-14 0 7.45588e-14 -3.68072e-13 3.68072e-13 0 -8.25149e-13 3.62261e-13 -2.16258e-13 1.08129e-13 2.33509e-14 9.3286e-14 3.84085e-13 1.7693e-13 0 -7.22078e-13 4.11352e-13 -3.08792e-14 1.82409e-13 3.81642e-13 2.28466e-13 0 -5.36241e-13 4.24975e-13 2.36174e-13 2.57002e-13 0 -1.14501e-13 -4.82573e-13 0
3.98051 -8.63185e-13 6.78228e-13 -7.66286e-13 -6.11449e-13 1.17957e-12 0 1.48556e-13 -7.30186e-13 -5.52957e-13 0 3.30455e-14 -4.21756e-13 -4.51062e-13 0 -2.36643e-14 -4.78999e-21 -2.00873e-13 0 2.00873e-13 -8.85649e-13 8.85649e-13 0 -1.93771e-12 8.49583e-13 -5.21012e-13 2.60506e-13 -7.98584e-14 2.74273e-13 8.9084e-13 4.51063e-13 0 -1.73392e-12 9.86231e-13 -1.24892e-13 4.68915e-13 9.25595e-13 5.52957e-13 0 -1.19914e-12 9.31484e-13 4.22521e-13 6.11449e-13 0 -2.93917e-13 -1.17957e-12 0
6.79228 -3.6702e-13 3.7247e-13 -5.19488e-13 -4.20588e-13 8.86706e-13 0 2.87781e-13 -6.22262e-13 -3.87462e-13 0 1.28961e-13 -2.14815e-13 -3.77099e-13 0 -5.9199e-14 2.59887e-19 -1.98458e-13 0 1.98458e-13 -6.36413e-13 6.36413e-13 0 -1.22633e-12 5.13995e-13 -3.29867e-13 1.64933e-13 -4.4694e-13 3.5395e-13 5.48029e-13 3.771e-13 0 -1.2056e-12 7.0197e-13 -2.28582e-13 3.99306e-13 7.25641e-13 3.87462e-13 0 -5.40071e-13 3.89731e-13 -1.06617e-13 4.20588e-13 0 -2.50293e-13 -8.86706e-13 0
9.60404 5.25968e-13 -3.10382e-13 7.37021e-14 3.21812e-14 6.83582e-14 0 3.75655e-13 -2.28258e-13 7.61175e-14 0 1.43343e-13 2.37316e-13 -4.67664e-14 0 -1.55284e-13 5.18328e-19 -8.8058e-14 0 8.80579e-14 -1.41967e-14 1.4197e-14 0 3.66551e-13 -2.6503e-13 2.57444e-13 -1.28722e-13 -7.55432e-13 3.40024e-13 -1.64063e-13 4.67662e-14 0 1.20782e-13 2.13641e-14 -2.20371e-13 4.3144e-14 2.45214e-13 -7.61174e-14 0 7.57298e-13 -5.67154e-13 -7.64634e-13 -3.21807e-14 0 -5.41614e-14 -6.83589e-14 0
12.4158 9.27867e-13 -7.47639e-13 4.17327e-13 2.69192e-13 -3.58703e-13 0 3.31384e-13 -2.39904e-15 4.24115e-13 0 -1.04105e-14 5.69501e-13 2.53617e-13 0 -3.3072e-13 3.68614e-19 2.09379e-14 0 -2.0938e-14 2.89936e-13 -2.89936e-13 0 1.15732e-12 -7.32878e-13 9.05776e-13 -4.52888e-13 -7.17887e-13 2.8582e-13 -4.77559e-13 -2.53618e-13 0 8.16329e-13 -2.53948e-13 -6.63606e-16 -3.25386e-13 1.71865e-13 -4.24115e-13 0 1.42799e-12 -9.28606e-13 -8.45991e-13 -2.69192e-13 0 6.87664e-14 3.58703e-13 0
15.3897 5.67359e-13 -6.04471e-13 2.23014e-13 8.92944e-14 7.0737e-14 0 2.27675e-13 -1.74494e-13 3.94034e-13 0 -1.97897e-13 5.75374e-13 2.7317e-13 0 -5.19931e-13 -2.2968e-19 1.43955e-14 0 -1.43954e-14 -7.05684e-15 7.05574e-15 0 4.22033e-13 -4.99729e-13 1.25367e-12 -6.26837e-13 -4.98596e-13 2.67554e-13 -1.10883e-13 -2.73171e-13 0 1.80303e-13 1.98561e-13 2.92257e-13 -4.03771e-13 7.0827e-13 -3.94035e-13 0 9.21236e-13 -3.91664e-13 -3.86094e-13 -8.92941e-14 0 -6.36808e-14 -7.07357e-14 0
