# t  B_z_sc_0  B_z_sc_1  B_z_sc_2  B_z_sc_3  B_z_sc_4  B_z_sc_5  B_z_sc_6  B_z_sc_7  B_z_sc_8  B_z_sc_9  B_z_sc_10  B_z_sc_11  B_z_sc_12  B_z_sc_13  B_z_sc_14  B_z_sc_15  B_z_sc_16  B_z_sc_17  B_z_sc_18  B_z_sc_19  B_z_sc_20  B_z_sc_21  B_z_sc_22  B_z_sc_23  B_z_sc_24  B_z_sc_25  B_z_sc_26  B_z_sc_27  B_z_sc_28  B_z_sc_29  B_z_sc_30  B_z_sc_31  B_z_sc_32  B_z_sc_33  B_z_sc_34  B_z_sc_35  B_z_sc_36  B_z_sc_37  B_z_sc_38  B_z_sc_39  B_z_sc_40  B_z_sc_41  B_z_sc_42  B_z_sc_43  B_z_sc_44  B_z_sc_45
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.01 -3.41982e-15 -2.34547e-15 -2.98233e-15 -5.39892e-15 -6.82824e-15 -4.99026e-15 -2.17749e-15 -2.7841e-15 -5.61101e-15 -7.89146e-15 -1.46034e-15 -1.85146e-15 -4.87108e-15 -7.66763e-15 -6.42049e-22 -4.97273e-22 -3.05345e-15 -6.52582e-15 3.05345e-15 3.40842e-15 -2.65049e-23 -3.40842e-15 -1.36564e-15 -7.39928e-16 -9.32642e-16 -7.44375e-22 -7.23538e-22 1.46034e-15 1.85146e-15 4.87108e-15 6.52582e-15 -2.68006e-22 7.39927e-16 9.32641e-16 2.17749e-15 2.7841e-15 5.61101e-15 7.66763e-15 1.36564e-15 2.34547e-15 2.98232e-15 5.39892e-15 7.89146e-15 3.41982e-15 4.99026e-15 6.82824e-15
0.055 -1.88028e-14 -1.28958e-14 -1.63975e-14 -2.96844e-14 -3.75432e-14 -2.74374e-14 -1.19724e-14 -1.53077e-14 -3.08508e-14 -4.33892e-14 -8.0293e-15 -1.01798e-14 -2.67825e-14 -4.21587e-14 -3.53205e-21 -2.72913e-21 -1.67886e-14 -3.58806e-14 1.67886e-14 1.87404e-14 -1.38153e-22 -1.87404e-14 -7.50859e-15 -4.06831e-15 -5.12788e-15 -4.09004e-21 -3.9787e-21 8.02929e-15 1.01798e-14 2.67825e-14 3.58806e-14 -1.46857e-21 4.0683e-15 5.12788e-15 1.19724e-14 1.53077e-14 3.08508e-14 4.21587e-14 7.50859e-15 1.28958e-14 1.63975e-14 2.96844e-14 4.33892e-14 1.88028e-14 2.74374e-14 3.75432e-14
0.2575 -8.77813e-14 -6.02075e-14 -7.65646e-14 -1.38607e-13 -1.75304e-13 -1.28105e-13 -5.59093e-14 -7.14863e-14 -1.44079e-13 -2.02625e-13 -3.74951e-14 -4.75406e-14 -1.2508e-13 -1.96892e-13 -1.655e-20 -1.26702e-20 -7.83991e-14 -1.67565e-13 7.83991e-14 8.75229e-14 -4.95355e-22 -8.75229e-14 -3.50604e-14 -1.89988e-14 -2.39457e-14 -1.9041e-20 -1.85755e-20 3.7495e-14 4.75406e-14 1.2508e-13 1.67565e-13 -6.72725e-21 1.89988e-14 2.39457e-14 5.59094e-14 7.14864e-14 1.44079e-13 1.96892e-13 3.50604e-14 6.02075e-14 7.65646e-14 1.38607e-13 2.02625e-13 8.77813e-14 1.28105e-13 1.75304e-13
1.16875 -3.82679e-13 -2.62741e-13 -3.34929e-13 -6.06447e-13 -7.67211e-13 -5.59649e-13 -2.45198e-13 -3.13647e-13 -6.32746e-13 -8.8892e-13 -1.64379e-13 -2.08706e-13 -5.49388e-13 -8.65007e-13 -7.3016e-20 -5.28038e-20 -3.43706e-13 -7.35494e-13 3.43706e-13 3.84532e-13 9.37425e-22 -3.84532e-13 -1.53425e-13 -8.33573e-14 -1.04941e-13 -8.26334e-20 -8.14626e-20 1.64379e-13 2.08706e-13 5.49388e-13 7.35494e-13 -2.71606e-20 8.33573e-14 1.04941e-13 2.45198e-13 3.13647e-13 6.32746e-13 8.65007e-13 1.53425e-13 2.62741e-13 3.34929e-13 6.06447e-13 8.8892e-13 3.82679e-13 5.59649e-13 7.67211e-13
3.98051 -8.34078e-13 -5.82279e-13 -7.6712e-13 -1.3905e-12 -1.76384e-12 -1.2555e-12 -5.80419e-13 -7.47986e-13 -1.52638e-12 -2.11148e-12 -3.88495e-13 -5.01729e-13 -1.32639e-12 -2.0946e-12 -1.53418e-19 -6.93073e-20 -8.08216e-13 -1.75717e-12 8.08216e-13 9.29758e-13 4.55187e-20 -9.29758e-13 -3.5431e-13 -1.99988e-13 -2.46258e-13 -1.91449e-19 -1.91931e-19 3.88495e-13 5.01729e-13 1.32639e-12 1.75717e-12 -3.85165e-20 1.99988e-13 2.46257e-13 5.8042e-13 7.47987e-13 1.52638e-12 2.0946e-12 3.5431e-13 5.82279e-13 7.67119e-13 1.3905e-12 2.11148e-12 8.34078e-13 1.2555e-12 1.76384e-12
6.79228 -3.51009e-13 -2.82926e-13 -4.39978e-13 -7.83833e-13 -9.975e-13 -6.2421e-13 -3.79108e-13 -5.13844e-13 -1.08779e-12 -1.38981e-12 -2.61679e-13 -3.56808e-13 -9.36327e-13 -1.49724e-12 2.3503e-20 1.28622e-19 -5.00907e-13 -1.16806e-12 5.00907e-13 6.46492e-13 1.53321e-19 -6.46492e-13 -2.21754e-13 -1.51461e-13 -1.57036e-13 -1.34901e-19 -1.17253e-19 2.61679e-13 3.56808e-13 9.36327e-13 1.16806e-12 4.14033e-20 1.51461e-13 1.57036e-13 3.79108e-13 5.13844e-13 1.08779e-12 1.49724e-12 2.21754e-13 2.82926e-13 4.39977e-13 7.83833e-13 1.38981e-12 3.51008e-13 6.24209e-13 9.975e-13
9.60404 4.63494e-13 2.30269e-13 2.07316e-13 4.53915e-13 5.88833e-13 5.5656e-13 9.99787e-14 5.96675e-14 6.43282e-14 3.6261e-13 2.92857e-14 1.73121e-14 1.10302e-13 1.27635e-13 4.17936e-19 3.87305e-19 2.23645e-13 3.33285e-13 -2.23645e-13 -1.25338e-13 2.11972e-19 1.25338e-13 2.93253e-14 -4.59738e-14 4.23554e-14 -2.55283e-20 6.47847e-20 -2.92854e-14 -1.73115e-14 -1.10302e-13 -3.33285e-13 1.32017e-19 4.59741e-14 -4.23554e-14 -9.99793e-14 -5.96681e-14 -6.43284e-14 -1.27635e-13 -2.93254e-14 -2.30269e-13 -2.07317e-13 -4.53915e-13 -3.6261e-13 -4.63494e-13 -5.56561e-13 -5.88832e-13
12.4158 7.21326e-13 3.71915e-13 4.76192e-13 1.05184e-12 1.35931e-12 1.02796e-12 3.783e-13 3.93337e-13 7.54688e-13 1.40005e-12 1.85434e-13 2.483e-13 7.93041e-13 1.16882e-12 7.80413e-19 4.47325e-19 6.79928e-13 1.31442e-12 -6.79928e-13 -6.37979e-13 4.1228e-20 6.37979e-13 8.56253e-14 -3.83532e-14 1.45038e-13 -2.02458e-20 1.94893e-19 -1.85434e-13 -2.48299e-13 -7.93041e-13 -1.31442e-12 1.01284e-19 3.83534e-14 -1.45038e-13 -3.78301e-13 -3.93339e-13 -7.54688e-13 -1.16882e-12 -8.56256e-14 -3.71915e-13 -4.76192e-13 -1.05184e-12 -1.40005e-12 -7.21326e-13 -1.02796e-12 -1.3593e-12
15.3897 2.21741e-13 1.49437e-14 1.28428e-13 5.22044e-13 6.46744e-13 3.78803e-13 2.18691e-13 2.17585e-13 3.69779e-13 8.27543e-13 9.62838e-14 1.51273e-13 5.34001e-13 7.17748e-13 8.04777e-19 2.35072e-19 5.07101e-13 9.55654e-13 -5.07101e-13 -4.25004e-13 -3.27492e-19 4.25003e-13 -1.28111e-13 -1.64222e-13 6.63129e-14 -1.48398e-19 1.67094e-19 -9.62836e-14 -1.51272e-13 -5.34001e-13 -9.55654e-13 -7.10148e-20 1.64222e-13 -6.63131e-14 -2.18692e-13 -2.17586e-13 -3.6978e-13 -7.17748e-13 1.2811e-13 -1.49432e-14 -1.28427e-13 -5.22044e-13 -8.27543e-13 -2.2174e-13 -3.78802e-13 -6.46744e-13
18.3636 -3.73971e-13 -4.00982e-13 -4.25061e-13 -4.67896e-13 -6.74227e-13 -5.68655e-13 -1.88408e-13 -2.59292e-13 -6.89835e-13 -6.95996e-13 -1.13354e-13 -1.70286e-13 -3.84826e-13 -7.4291e-13 3.69879e-19 4.2619e-20 -6.69131e-14 -3.14585e-13 6.6913e-14 3.00256e-13 -4.40033e-19 -3.00256e-13 -3.8141e-13 -3.05008e-13 -8.90051e-14 -2.82793e-19 -2.60436e-20 1.13353e-13 1.70286e-13 3.84826e-13 3.14585e-13 -2.08168e-19 3.05008e-13 8.90048e-14 1.88408e-13 2.59291e-13 6.89835e-13 7.42909e-13 3.8141e-13 4.00983e-13 4.25061e-13 4.67896e-13 6.95995e-13 3.73972e-13 5.68656e-13 6.74228e-13
