# t  J_bond_sc_0  J_bond_sc_1  J_bond_sc_2  J_bond_sc_3  J_bond_sc_4  J_bond_sc_5  J_bond_sc_6  J_bond_sc_7  J_bond_sc_8  J_bond_sc_9  J_bond_sc_10  J_bond_sc_11  J_bond_sc_12  J_bond_sc_13  J_bond_sc_14  J_bond_sc_15  J_bond_sc_16  J_bond_sc_17  J_bond_sc_18  J_bond_sc_19  J_bond_sc_20  J_bond_sc_21  J_bond_sc_22  J_bond_sc_23  J_bond_sc_24  J_bond_sc_25  J_bond_sc_26  J_bond_sc_27  J_bond_sc_28  J_bond_sc_29  J_bond_sc_30  J_bond_sc_31  J_bond_sc_32  J_bond_sc_33  J_bond_sc_34  J_bond_sc_35  J_bond_sc_36  J_bond_sc_37  J_bond_sc_38  J_bond_sc_39  J_bond_sc_40  J_bond_sc_41  J_bond_sc_42  J_bond_sc_43  J_bond_sc_44  J_bond_sc_45  J_bond_sc_46  J_bond_sc_47  J_bond_sc_48  J_bond_sc_49  J_bond_sc_50  J_bond_sc_51  J_bond_sc_52  J_bond_sc_53  J_bond_sc_54  J_bond_sc_55  J_bond_sc_56  J_bond_sc_57  J_bond_sc_58  J_bond_sc_59
0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0
0.01 1.04038e-10 1.11981e-10 1.95677e-10 -1.04795e-10 9.78383e-11 9.86446e-11 -1.04038e-10 2.0959e-10 -2.23962e-10 2.0241e-10 -1.01205e-10 9.94783e-11 1.01287e-10 -1.04974e-10 2.03457e-10 2.02574e-10 -9.84752e-11 9.94783e-11 1.01205e-10 -1.01729e-10 2.09948e-10 1.97289e-10 -1.01205e-10 9.78383e-11 9.78383e-11 -1.04795e-10 2.08076e-10 2.08076e-10 -1.04795e-10 1.11981e-10 -1.11981e-10 1.04974e-10 1.98957e-10 -1.01729e-10 1.01287e-10 1.9695e-10 -1.01287e-10 9.84752e-11 2.02574e-10 -1.01287e-10 9.94783e-11 2.09948e-10 -1.01729e-10 1.01729e-10 1.98957e-10 -1.04974e-10 1.01205e-10 2.0241e-10 -9.86446e-11 9.94783e-11 2.03457e-10 -1.04974e-10 1.04795e-10 1.95677e-10 -1.04038e-10 9.78383e-11 2.0959e-10 -1.04038e-10 1.11981e-10 2.23962e-10
0.055 5.72024e-10 6.15696e-10 1.07587e-09 -5.76182e-10 5.3793e-10 5.4237e-10 -5.72034e-10 1.15238e-09 -1.2314e-09 1.1129e-09 -5.5645e-10 5.46952e-10 5.56905e-10 -5.77178e-10 1.11865e-09 1.1138e-09 -5.41438e-10 5.46957e-10 5.56451e-10 -5.59332e-10 1.15435e-09 1.08474e-09 -5.56451e-10 5.37936e-10 5.37936e-10 -5.76195e-10 1.14406e-09 1.14406e-09 -5.76195e-10 6.157e-10 -6.157e-10 5.77172e-10 1.09391e-09 -5.59322e-10 5.569e-10 1.08288e-09 -5.569e-10 5.41438e-10 1.1138e-09 -5.56905e-10 5.46957e-10 1.15435e-09 -5.59332e-10 5.59322e-10 1.09391e-09 -5.77172e-10 5.5645e-10 1.1129e-09 -5.4237e-10 5.46952e-10 1.11865e-09 -5.77178e-10 5.76182e-10 1.07587e-09 -5.72024e-10 5.3793e-10 1.15238e-09 -5.72034e-10 6.15696e-10 1.2314e-09
0.2575 2.67102e-09 2.87492e-09 5.02298e-09 -2.69005e-09 2.51116e-09 2.53262e-09 -2.67197e-09 5.38141e-09 -5.75017e-09 5.19726e-09 -2.59857e-09 2.55379e-09 2.60118e-09 -2.69585e-09 5.22348e-09 5.20175e-09 -2.52815e-09 2.55431e-09 2.59869e-09 -2.61226e-09 5.39109e-09 5.06523e-09 -2.59869e-09 2.51182e-09 2.51182e-09 -2.69136e-09 5.34299e-09 5.34299e-09 -2.69136e-09 2.87525e-09 -2.87525e-09 2.69524e-09 5.10809e-09 -2.61122e-09 2.60057e-09 5.0563e-09 -2.60057e-09 2.52815e-09 5.20175e-09 -2.60118e-09 2.55431e-09 5.39109e-09 -2.61226e-09 2.61122e-09 5.10809e-09 -2.69524e-09 2.59857e-09 5.19726e-09 -2.53262e-09 2.55379e-09 5.22348e-09 -2.69585e-09 2.69005e-09 5.02298e-09 -2.67102e-09 2.51116e-09 5.38141e-09 -2.67197e-09 2.87492e-09 5.75017e-09
1.16875 1.16904e-08 1.25806e-08 2.19215e-08 -1.17387e-08 1.09306e-08 1.10904e-08 -1.17778e-08 2.35976e-08 -2.51908e-08 2.28081e-08 -1.1399e-08 1.11624e-08 1.14542e-08 -1.18682e-08 2.28638e-08 2.28522e-08 -1.10608e-08 1.12104e-08 1.14092e-08 -1.14789e-08 2.36817e-08 2.21808e-08 -1.14092e-08 1.09909e-08 1.09909e-08 -1.18589e-08 2.34681e-08 2.34681e-08 -1.18589e-08 1.26102e-08 -1.26102e-08 1.18134e-08 2.23728e-08 -1.13848e-08 1.1398e-08 2.21216e-08 -1.1398e-08 1.10608e-08 2.28522e-08 -1.14542e-08 1.12104e-08 2.36817e-08 -1.14789e-08 1.13848e-08 2.23728e-08 -1.18134e-08 1.1399e-08 2.28081e-08 -1.10904e-08 1.11624e-08 2.28638e-08 -1.18683e-08 1.17387e-08 2.19215e-08 -1.16904e-08 1.09306e-08 2.35976e-08 -1.17778e-08 1.25806e-08 2.51908e-08
3.98051 2.6863e-08 2.8972e-08 4.84292e-08 -2.59384e-08 2.32589e-08 2.57105e-08 -2.9727e-08 5.57385e-08 -5.86606e-08 5.44735e-08 -2.71659e-08 2.51313e-08 2.86596e-08 -2.93618e-08 5.26553e-08 5.5351e-08 -2.5324e-08 2.6842e-08 2.73076e-08 -2.77601e-08 5.72441e-08 5.14209e-08 -2.73076e-08 2.51703e-08 2.51703e-08 -2.98001e-08 5.659e-08 5.659e-08 -2.98001e-08 2.96886e-08 -2.96886e-08 2.78823e-08 5.19732e-08 -2.48952e-08 2.66915e-08 5.0648e-08 -2.66915e-08 2.5324e-08 5.5351e-08 -2.86595e-08 2.6842e-08 5.72441e-08 -2.77601e-08 2.48952e-08 5.19732e-08 -2.78823e-08 2.71659e-08 5.44735e-08 -2.57105e-08 2.51313e-08 5.26553e-08 -2.93619e-08 2.59384e-08 4.84292e-08 -2.6863e-08 2.32589e-08 5.57385e-08 -2.9727e-08 2.8972e-08 5.86606e-08
6.79228 1.48891e-08 1.74112e-08 2.15442e-08 -1.18841e-08 7.86936e-09 1.51006e-08 -2.4484e-08 3.60816e-08 -3.50433e-08 3.71199e-08 -1.91477e-08 1.20672e-08 2.37875e-08 -2.14761e-08 2.97994e-08 3.98971e-08 -1.3997e-08 1.89545e-08 1.79722e-08 -1.88278e-08 4.06181e-08 3.02012e-08 -1.79722e-08 1.36748e-08 1.36748e-08 -2.41976e-08 3.93731e-08 3.93731e-08 -2.41976e-08 1.76321e-08 -1.76321e-08 1.9142e-08 3.10217e-08 -1.09716e-08 1.61097e-08 2.7994e-08 -1.61097e-08 1.3997e-08 3.98972e-08 -2.37875e-08 1.89545e-08 4.06181e-08 -1.88278e-08 1.09716e-08 3.10217e-08 -1.9142e-08 1.91477e-08 3.71199e-08 -1.51006e-08 1.20672e-08 2.97994e-08 -2.14761e-08 1.18841e-08 2.15442e-08 -1.48891e-08 7.86936e-09 3.60816e-08 -2.44841e-08 1.74112e-08 3.50433e-08
9.60404 -1.00905e-08 -4.4916e-09 -2.67733e-08 1.30127e-08 -1.65747e-08 -8.26666e-09 -4.15646e-09 -9.61093e-09 1.61444e-08 -5.79495e-09 -8.31333e-10 -1.36392e-08 6.61731e-09 4.50826e-09 -1.87479e-08 -1.90453e-09 9.49474e-09 3.61753e-10 -6.62624e-09 6.18493e-09 -4.04769e-09 -1.65333e-08 6.62626e-09 -1.01985e-08 -1.01985e-08 -3.40184e-09 -5.93397e-09 -5.934e-09 -3.40183e-09 -1.16527e-08 1.16527e-08 4.60578e-10 -1.32775e-08 1.2563e-08 -8.5218e-09 -1.89895e-08 8.5218e-09 -9.49473e-09 -1.90452e-09 -6.61729e-09 3.61733e-10 -4.04773e-09 6.18493e-09 -1.2563e-08 -1.32775e-08 -4.60564e-10 8.31342e-10 -5.79494e-09 8.26668e-09 -1.36392e-08 -1.87479e-08 4.50822e-09 -1.30127e-08 -2.67733e-08 1.00905e-08 -1.65747e-08 -9.61091e-09 -4.15651e-09 -4.49162e-09 -1.61444e-08
12.4158 -2.24304e-08 -9.18464e-09 -4.53262e-08 2.20306e-08 -2.25589e-08 -2.22592e-08 1.07269e-08 -3.39789e-08 4.01418e-08 -3.01822e-08 5.58176e-09 -2.57169e-08 -3.59323e-09 2.66414e-08 -4.5454e-08 -2.75107e-08 2.22788e-08 -6.68914e-09 -2.46004e-08 2.50256e-08 -3.23208e-08 -4.45184e-08 2.46004e-08 -2.27673e-08 -2.27673e-08 1.19483e-08 -3.31572e-08 -3.31572e-08 1.19483e-08 -3.09571e-08 3.09572e-08 -5.67941e-09 -3.24062e-08 2.04285e-08 -2.39174e-08 -4.45575e-08 2.39174e-08 -2.22788e-08 -2.75107e-08 3.59324e-09 -6.68917e-09 -3.23208e-08 2.50256e-08 -2.04285e-08 -3.24062e-08 5.67942e-09 -5.58174e-09 -3.01822e-08 2.22592e-08 -2.5717e-08 -4.5454e-08 2.66414e-08 -2.20306e-08 -4.53262e-08 2.24304e-08 -2.25589e-08 -3.39788e-08 1.07269e-08 -9.18465e-09 -4.01418e-08
15.3897 -1.10387e-08 1.04692e-08 -1.88479e-08 7.58548e-09 -4.59454e-09 -1.64588e-08 5.48168e-09 -1.4561e-08 1.23359e-08 -1.3421e-08 -8.71739e-09 -1.30606e-08 3.91447e-09 2.66544e-08 -2.97167e-08 -1.33384e-08 1.49019e-08 6.05376e-09 -2.21384e-08 2.2327e-08 -1.94765e-08 -3.29175e-08 2.21384e-08 -1.42533e-08 -1.42533e-08 6.97547e-09 -1.65203e-08 -1.65203e-08 6.97549e-09 -2.2805e-08 2.28051e-08 7.17788e-09 -7.00696e-09 7.38969e-09 -1.72529e-08 -2.98038e-08 1.72529e-08 -1.49019e-08 -1.33385e-08 -3.91447e-09 6.05372e-09 -1.94765e-08 2.23271e-08 -7.38968e-09 -7.00696e-09 -7.17788e-09 8.71741e-09 -1.3421e-08 1.64588e-08 -1.30607e-08 -2.97166e-08 2.66544e-08 -7.5855e-09 -1.88479e-08 1.10386e-08 -4.59452e-09 -1.45609e-08 5.48174e-09 1.04692e-08 -1.23359e-08
