# time   dipole_moment
0 -0
0.01 -1.52404e-10
0.055 -4.60982e-09
0.2575 -1.00948e-07
0.652158 -6.44574e-07
1.04682 -1.64738e-06
1.44147 -3.0875e-06
1.83613 -4.93394e-06
2.23079 -7.1473e-06
2.64124 -9.788e-06
3.05169 -1.27149e-05
3.46214 -1.5862e-05
3.87259 -1.91594e-05
4.28304 -2.25345e-05
4.69349 -2.59142e-05
5.10394 -2.92264e-05
5.51439 -3.24019e-05
5.92483 -3.53763e-05
6.33528 -3.80909e-05
6.74573 -4.04944e-05
7.15618 -4.2544e-05
7.56663 -4.42062e-05
7.97708 -4.54574e-05
8.38753 -4.62842e-05
8.79798 -4.66837e-05
9.20843 -4.6663e-05
9.61888 -4.62392e-05
10.0502 -4.5388e-05
10.4815 -4.41606e-05
10.9128 -4.26057e-05
11.3441 -4.07795e-05
11.7754 -3.87436e-05
12.2068 -3.65636e-05
12.6381 -3.43072e-05
13.0694 -3.20424e-05
13.5007 -2.98358e-05
13.932 -2.77513e-05
14.3633 -2.58479e-05
14.7946 -2.41792e-05
15.2259 -2.2792e-05
15.6573 -2.17252e-05
16.0886 -2.10096e-05
16.5199 -2.0667e-05
16.9512 -2.07103e-05
17.3825 -2.11436e-05
17.8138 -2.19619e-05
18.2003 -2.3012e-05
18.5868 -2.43463e-05
18.9733 -2.59459e-05
19.3597 -2.77876e-05
19.7462 -2.98448e-05
20.1327 -3.20882e-05
20.5192 -3.44861e-05
20.9057 -3.70053e-05
21.2922 -3.96115e-05
21.6786 -4.22703e-05
22.0651 -4.49475e-05
22.4516 -4.76098e-05
22.8381 -5.02255e-05
23.2246 -5.27646e-05
23.611 -5.51996e-05
23.9975 -5.75061e-05
24.384 -5.96625e-05
24.7705 -6.16507e-05
25.157 -6.34564e-05
25.5434 -6.50689e-05
25.9299 -6.64813e-05
26.3164 -6.76907e-05
26.7029 -6.86978e-05
27.0894 -6.9507e-05
27.4759 -7.01261e-05
27.8623 -7.05661e-05
28.2488 -7.08409e-05
28.6353 -7.0967e-05
29.0218 -7.0963e-05
29.4083 -7.08496e-05
29.7947 -7.06485e-05
30.1812 -7.03827e-05
30.5677 -7.00755e-05
30.9542 -6.97505e-05
31.3407 -6.94309e-05
31.7272 -6.91393e-05
32.1136 -6.88972e-05
32.5001 -6.87245e-05
32.8866 -6.86397e-05
33.2731 -6.86592e-05
33.6596 -6.87971e-05
34.046 -6.90652e-05
34.4325 -6.94727e-05
34.819 -7.00263e-05
35.2055 -7.07301e-05
35.592 -7.15854e-05
35.9387 -7.24809e-05
36.2854 -7.3495e-05
36.6322 -7.46237e-05
36.9789 -7.58616e-05
37.3256 -7.72019e-05
37.6724 -7.86367e-05
38.0191 -8.01572e-05
38.3658 -8.17536e-05
38.7126 -8.34153e-05
39.0593 -8.51315e-05
39.406 -8.68906e-05
39.7528 -8.8681e-05
40.0995 -9.04912e-05
40.4462 -9.23095e-05
40.793 -9.41247e-05
41.1397 -9.5926e-05
41.4864 -9.7703e-05
41.8332 -9.9446e-05
42.1799 -0.000101146
42.5266 -0.000102796
42.8734 -0.000104387
43.2201 -0.000105915
43.5668 -0.000107374
43.9136 -0.00010876
44.2603 -0.00011007
44.607 -0.000111303
44.9538 -0.000112459
45.3005 -0.000113538
45.6472 -0.000114541
45.994 -0.00011547
46.3407 -0.000116331
46.6874 -0.000117125
47.0342 -0.00011786
47.3809 -0.00011854
47.7276 -0.000119171
48.0744 -0.000119761
48.4211 -0.000120315
48.7678 -0.000120842
49.1146 -0.000121349
49.4613 -0.000121843
49.808 -0.000122331
50.1547 -0.00012282
50.5015 -0.000123318
50.8482 -0.000123829
51.1949 -0.000124361
51.5417 -0.000124919
51.8884 -0.000125507
52.2351 -0.000126129
52.5819 -0.000126789
52.9286 -0.00012749
53.2753 -0.000128234
53.6221 -0.000129021
53.9688 -0.000129853
54.3155 -0.000130729
54.6623 -0.000131649
55.009 -0.00013261
55.3557 -0.000133612
55.7025 -0.00013465
56.0492 -0.000135723
56.3959 -0.000136826
56.7427 -0.000137956
57.0894 -0.000139108
57.4361 -0.000140278
57.7829 -0.000141462
58.1296 -0.000142654
58.4763 -0.00014385
58.8231 -0.000145046
59.1698 -0.000146237
59.5165 -0.000147419
59.8633 -0.000148588
60.21 -0.00014974
60.5567 -0.000150871
60.9035 -0.000151979
61.2502 -0.000153061
61.5969 -0.000154114
61.9437 -0.000155137
62.2904 -0.000156128
62.6371 -0.000157085
62.9839 -0.00015801
63.3306 -0.000158899
63.6773 -0.000159755
64.0241 -0.000160577
64.3708 -0.000161366
64.7175 -0.000162123
65.0643 -0.00016285
