# converged UHF spin-resolved spectrum
# index  energy_eV  spin(+1=up,-1=dn)  occupation
0 -5.63727 1 1
1 -5.54274 -1 1
2 -5.18676 1 1
3 -5.18676 1 1
4 -4.97807 -1 1
5 -4.97807 -1 1
6 -4.42586 1 1
7 -4.42586 1 1
8 -4.39132 1 1
9 -4.26747 -1 1
10 -4.08512 -1 1
11 -4.08512 -1 1
12 -3.57098 1 1
13 -3.47422 1 1
14 -3.41633 1 1
15 -3.41633 1 1
16 -3.34541 -1 1
17 -3.34541 -1 1
18 -3.07525 -1 1
19 -2.94709 -1 1
20 -2.74239 1 1
21 -2.74239 1 1
22 -2.55985 1 1
23 -2.43472 -1 1
24 -2.3712 1 1
25 -2.3712 1 1
26 -2.36622 -1 1
27 -2.36622 -1 1
28 -1.99049 1 1
29 -1.97754 -1 1
30 -1.97754 -1 1
31 -1.83123 1 1
32 -1.83123 1 1
33 -1.74392 -1 1
34 -1.74392 -1 1
35 -1.70583 1 1
36 -1.60831 -1 1
37 -1.56794 1 1
38 -1.56794 1 1
39 -1.42117 -1 1
40 -1.31547 1 1
41 -1.31547 1 1
42 -1.03331 1 1
43 -1.01861 -1 1
44 -1.01861 -1 1
45 -0.824473 1 1
46 6.36963 -1 1
47 6.4972 -1 0
48 6.4972 -1 0
49 6.76311 -1 0
50 7.16142 -1 0
51 7.16142 -1 0
52 7.25991 -1 0
53 7.28314 -1 0
54 7.35282 1 0
55 7.35283 1 0
56 7.39439 -1 0
57 7.39439 -1 0
58 7.48934 1 0
59 7.59826 1 0
60 7.61798 1 0
61 7.61798 1 0
62 7.91847 -1 0
63 7.91847 -1 0
64 8.0332 1 0
65 8.0332 1 0
66 8.09178 -1 0
67 8.09178 -1 0
68 8.11277 -1 0
69 8.27949 1 0
70 8.27949 1 0
71 8.31412 1 0
72 8.88731 -1 0
73 8.88731 -1 0
74 8.94959 1 0
75 8.95701 -1 0
76 8.99412 1 0
77 9.14687 -1 0
78 9.17218 1 0
79 9.17218 1 0
80 10.0217 -1 0
81 10.0217 -1 0
82 10.0344 1 0
83 10.0344 1 0
84 10.0926 -1 0
85 10.1296 1 0
86 10.8967 -1 0
87 10.8967 -1 0
88 11.0131 1 0
89 11.0131 1 0
90 11.6088 -1 0
91 11.826 1 0
