# t  J_up_x  J_up_y  J_dn_x  J_dn_y  J_spin_x  J_spin_y
0 0 0 0 0 0 0
0.01 -1.50103e-08 9.99197e-17 -1.54705e-08 1.0819e-16 4.60206e-10 -8.2701e-18
0.055 -8.25458e-08 7.01368e-16 -8.50775e-08 4.42068e-16 2.5317e-09 2.59301e-16
0.2575 -3.85761e-07 6.45644e-15 -3.97684e-07 -1.18909e-15 1.19223e-08 7.64553e-15
0.652158 -9.679e-07 3.17302e-14 -9.99116e-07 -1.89727e-14 3.12164e-08 5.07029e-14
1.04682 -1.52729e-06 7.46328e-14 -1.58044e-06 -5.53458e-14 5.31535e-08 1.29979e-13
1.44147 -2.05118e-06 1.33422e-13 -2.13042e-06 -1.0884e-13 7.92363e-08 2.42263e-13
1.83613 -2.52773e-06 2.05645e-13 -2.63856e-06 -1.77355e-13 1.10823e-07 3.83e-13
2.23079 -2.94625e-06 2.88281e-13 -3.09533e-06 -2.58186e-13 1.4908e-07 5.46467e-13
2.64124 -3.31e-06 3.81476e-13 -3.50695e-06 -3.51916e-13 1.96947e-07 7.33392e-13
3.05169 -3.59244e-06 4.77746e-13 -3.84622e-06 -4.51525e-13 2.53787e-07 9.29271e-13
3.46214 -3.78714e-06 5.72433e-13 -4.10715e-06 -5.52699e-13 3.20011e-07 1.12513e-12
3.87259 -3.88998e-06 6.60823e-13 -4.28565e-06 -6.5086e-13 3.95674e-07 1.31168e-12
4.28304 -3.89919e-06 7.38178e-13 -4.37965e-06 -7.41579e-13 4.80468e-07 1.47976e-12
4.69349 -3.81537e-06 8.00126e-13 -4.3891e-06 -8.20437e-13 5.73736e-07 1.62056e-12
5.10394 -3.64145e-06 8.4262e-13 -4.31594e-06 -8.83377e-13 6.74482e-07 1.726e-12
5.51439 -3.38261e-06 8.62247e-13 -4.16402e-06 -9.26769e-13 7.81408e-07 1.78902e-12
5.92483 -3.04604e-06 8.56268e-13 -3.93899e-06 -9.4761e-13 8.92953e-07 1.80388e-12
6.33528 -2.64077e-06 8.22816e-13 -3.64812e-06 -9.43504e-13 1.00734e-06 1.76632e-12
6.74573 -2.17741e-06 7.6092e-13 -3.30005e-06 -9.12934e-13 1.12264e-06 1.67385e-12
7.15618 -1.66779e-06 6.70624e-13 -2.9046e-06 -8.55169e-13 1.23682e-06 1.52579e-12
7.56663 -1.12468e-06 5.52901e-13 -2.47249e-06 -7.7049e-13 1.34781e-06 1.32339e-12
7.97708 -5.61454e-07 4.09814e-13 -2.01504e-06 -6.59968e-13 1.45358e-06 1.06978e-12
8.38753 8.33346e-09 2.44334e-13 -1.54387e-06 -5.25667e-13 1.5522e-06 7.7e-13
8.79798 5.71228e-07 6.03498e-14 -1.07066e-06 -3.70422e-13 1.64189e-06 4.30771e-13
9.20843 1.11424e-06 -1.3747e-13 -6.06828e-07 -1.97899e-13 1.72107e-06 6.0429e-14
9.61888 1.62517e-06 -3.43842e-13 -1.63266e-07 -1.24821e-14 1.78844e-06 -3.31359e-13
10.0502 2.1153e-06 -5.63504e-13 2.69906e-07 1.90898e-13 1.84539e-06 -7.54402e-13
10.4815 2.54632e-06 -7.79049e-13 6.5892e-07 3.96879e-13 1.8874e-06 -1.17593e-12
10.9128 2.90873e-06 -9.83174e-13 9.9461e-07 5.98948e-13 1.91412e-06 -1.58212e-12
11.3441 3.19506e-06 -1.16871e-12 1.26942e-06 7.90427e-13 1.92563e-06 -1.95913e-12
11.7754 3.40004e-06 -1.32884e-12 1.47755e-06 9.64773e-13 1.92248e-06 -2.29361e-12
12.2068 3.52065e-06 -1.45731e-12 1.61502e-06 1.11571e-12 1.90563e-06 -2.57302e-12
12.6381 3.55614e-06 -1.54869e-12 1.67971e-06 1.23752e-12 1.87643e-06 -2.78621e-12
13.0694 3.50795e-06 -1.59856e-12 1.67132e-06 1.32518e-12 1.83663e-06 -2.92374e-12
13.5007 3.37961e-06 -1.6037e-12 1.59134e-06 1.37458e-12 1.78827e-06 -2.97828e-12
13.932 3.17656e-06 -1.56224e-12 1.44291e-06 1.38262e-12 1.73365e-06 -2.94486e-12
14.3633 2.90595e-06 -1.47367e-12 1.23067e-06 1.34733e-12 1.67528e-06 -2.821e-12
14.7946 2.57637e-06 -1.33896e-12 9.60576e-07 1.26797e-12 1.61579e-06 -2.60693e-12
15.2259 2.1976e-06 -1.1605e-12 6.39726e-07 1.14508e-12 1.55787e-06 -2.30558e-12
15.6573 1.78032e-06 -9.42061e-13 2.7611e-07 9.80472e-13 1.50421e-06 -1.92253e-12
16.0886 1.3358e-06 -6.88791e-13 -1.21615e-07 7.77181e-13 1.45741e-06 -1.46597e-12
16.5199 8.75575e-07 -4.06902e-13 -5.44355e-07 5.39403e-13 1.41993e-06 -9.46304e-13
16.9512 4.11195e-07 -1.03651e-13 -9.82816e-07 2.72325e-13 1.39401e-06 -3.75976e-13
17.3825 -4.60853e-08 2.13053e-13 -1.42773e-06 -1.78159e-14 1.38164e-06 2.30869e-13
17.8138 -4.85558e-07 5.3459e-13 -1.87005e-06 -3.24238e-13 1.38449e-06 8.58827e-13
18.2003 -8.56063e-07 8.19674e-13 -2.25713e-06 -6.06482e-13 1.40106e-06 1.42616e-12
18.5868 -1.19781e-06 1.09531e-12 -2.62941e-06 -8.9016e-13 1.4316e-06 1.98547e-12
18.9733 -1.50507e-06 1.35533e-12 -2.98159e-06 -1.16958e-12 1.47652e-06 2.52491e-12
19.3597 -1.77292e-06 1.59384e-12 -3.3089e-06 -1.43907e-12 1.53598e-06 3.03291e-12
19.7462 -1.99732e-06 1.80542e-12 -3.60716e-06 -1.69308e-12 1.60984e-06 3.4985e-12
20.1327 -2.17518e-06 1.98514e-12 -3.87288e-06 -1.92638e-12 1.6977e-06 3.91152e-12
20.5192 -2.30433e-06 2.12883e-12 -4.10322e-06 -2.13412e-12 1.79888e-06 4.26295e-12
20.9057 -2.3836e-06 2.23306e-12 -4.29606e-06 -2.31196e-12 1.91246e-06 4.54502e-12
21.2922 -2.41274e-06 2.29525e-12 -4.45e-06 -2.45611e-12 2.03725e-06 4.75136e-12
21.6786 -2.39245e-06 2.31379e-12 -4.56432e-06 -2.56351e-12 2.17187e-06 4.87729e-12
22.0651 -2.32429e-06 2.2879e-12 -4.63899e-06 -2.63184e-12 2.3147e-06 4.91974e-12
22.4516 -2.21068e-06 2.21788e-12 -4.67467e-06 -2.65956e-12 2.46399e-06 4.87744e-12
22.8381 -2.05476e-06 2.10497e-12 -4.67258e-06 -2.64589e-12 2.61782e-06 4.75086e-12
23.2246 -1.86039e-06 1.95131e-12 -4.63456e-06 -2.59093e-12 2.77418e-06 4.54224e-12
23.611 -1.63199e-06 1.75988e-12 -4.56296e-06 -2.49565e-12 2.93097e-06 4.25552e-12
23.9975 -1.3745e-06 1.53446e-12 -4.46056e-06 -2.36178e-12 3.08606e-06 3.89623e-12
24.384 -1.09324e-06 1.27958e-12 -4.33058e-06 -2.1918e-12 3.23734e-06 3.47138e-12
24.7705 -7.93814e-07 1.00037e-12 -4.17653e-06 -1.98892e-12 3.38272e-06 2.98929e-12
25.157 -4.82021e-07 7.02437e-13 -4.0022e-06 -1.75697e-12 3.52018e-06 2.45941e-12
25.5434 -1.63725e-07 3.91738e-13 -3.81157e-06 -1.50044e-12 3.64785e-06 1.89217e-12
25.9299 1.55242e-07 7.44506e-14 -3.60872e-06 -1.22414e-12 3.76397e-06 1.29859e-12
26.3164 4.69184e-07 -2.43113e-13 -3.39779e-06 -9.33392e-13 3.86698e-06 6.90279e-13
26.7029 7.72636e-07 -5.5469e-13 -3.18289e-06 -6.33646e-13 3.95553e-06 7.89565e-14
27.0894 1.06046e-06 -8.54173e-13 -2.96804e-06 -3.30555e-13 4.0285e-06 -5.23618e-13
27.4759 1.32792e-06 -1.13576e-12 -2.75711e-06 -2.98148e-14 4.08503e-06 -1.10594e-12
27.8623 1.57077e-06 -1.39404e-12 -2.55377e-06 2.62949e-13 4.12454e-06 -1.65699e-12
28.2488 1.78531e-06 -1.62414e-12 -2.36143e-06 5.42329e-13 4.14674e-06 -2.16647e-12
28.6353 1.96842e-06 -1.82176e-12 -2.18319e-06 8.0317e-13 4.15161e-06 -2.62493e-12
29.0218 2.11764e-06 -1.98332e-12 -2.02181e-06 1.04069e-12 4.13945e-06 -3.02401e-12
29.4083 2.23118e-06 -2.10589e-12 -1.87966e-06 1.25064e-12 4.11084e-06 -3.35653e-12
29.7947 2.30791e-06 -2.18749e-12 -1.75874e-06 1.42918e-12 4.06665e-06 -3.61667e-12
30.1812 2.34742e-06 -2.22687e-12 -1.66058e-06 1.57316e-12 4.008e-06 -3.80003e-12
30.5677 2.34995e-06 -2.2236e-12 -1.58634e-06 1.68008e-12 3.93629e-06 -3.90368e-12
30.9542 2.31641e-06 -2.17811e-12 -1.53669e-06 1.74811e-12 3.8531e-06 -3.92622e-12
31.3407 2.24834e-06 -2.09163e-12 -1.51191e-06 1.77614e-12 3.76025e-06 -3.86777e-12
31.7272 2.14785e-06 -1.96617e-12 -1.51184e-06 1.76375e-12 3.65969e-06 -3.72992e-12
32.1136 2.01759e-06 -1.80454e-12 -1.53594e-06 1.71124e-12 3.55353e-06 -3.51578e-12
32.5001 1.86066e-06 -1.61007e-12 -1.58327e-06 1.61965e-12 3.44394e-06 -3.22972e-12
32.8866 1.68059e-06 -1.38677e-12 -1.65257e-06 1.49067e-12 3.33316e-06 -2.87744e-12
33.2731 1.48121e-06 -1.13911e-12 -1.74224e-06 1.32661e-12 3.22345e-06 -2.46572e-12
33.6596 1.2666e-06 -8.71986e-13 -1.85043e-06 1.13034e-12 3.11703e-06 -2.00233e-12
34.046 1.04103e-06 -5.90605e-13 -1.97504e-06 9.05299e-13 3.01607e-06 -1.4959e-12
34.4325 8.08828e-07 -3.00304e-13 -2.11379e-06 6.55368e-13 2.92262e-06 -9.55672e-13
34.819 5.74348e-07 -6.60022e-15 -2.26425e-06 3.84781e-13 2.83859e-06 -3.91381e-13
35.2055 3.41862e-07 2.85087e-13 -2.42388e-06 9.81377e-14 2.76574e-06 1.86949e-13
35.592 1.15496e-07 5.6939e-13 -2.5901e-06 -1.9986e-13 2.7056e-06 7.69249e-13
35.9387 -7.91612e-08 8.13996e-13 -2.74271e-06 -4.72763e-13 2.66355e-06 1.28676e-12
36.2854 -2.63113e-07 1.04506e-12 -2.89668e-06 -7.47232e-13 2.63356e-06 1.7923e-12
36.6322 -4.33945e-07 1.25939e-12 -3.05019e-06 -1.01967e-12 2.61625e-06 2.27906e-12
36.9789 -5.89492e-07 1.45396e-12 -3.20151e-06 -1.28662e-12 2.61202e-06 2.74058e-12
37.3256 -7.27858e-07 1.62623e-12 -3.34898e-06 -1.54465e-12 2.62112e-06 3.17088e-12
37.6724 -8.47441e-07 1.77394e-12 -3.49102e-06 -1.79054e-12 2.64358e-06 3.56448e-12
38.0191 -9.46947e-07 1.89526e-12 -3.62621e-06 -2.02126e-12 2.67926e-06 3.91652e-12
38.3658 -1.0254e-06 1.98882e-12 -3.75324e-06 -2.23392e-12 2.72783e-06 4.22274e-12
38.7126 -1.08216e-06 2.05363e-12 -3.87093e-06 -2.426e-12 2.78877e-06 4.47963e-12
39.0593 -1.11689e-06 2.08915e-12 -3.97828e-06 -2.59523e-12 2.86139e-06 4.68438e-12
39.406 -1.1296e-06 2.09529e-12 -4.07443e-06 -2.73965e-12 2.94482e-06 4.83494e-12
39.7528 -1.12061e-06 2.07237e-12 -4.15868e-06 -2.85769e-12 3.03808e-06 4.93006e-12
40.0995 -1.09053e-06 2.02121e-12 -4.23052e-06 -2.94801e-12 3.13999e-06 4.96922e-12
40.4462 -1.04027e-06 1.94294e-12 -4.28958e-06 -3.00978e-12 3.24931e-06 4.95272e-12
40.793 -9.71003e-07 1.83913e-12 -4.33566e-06 -3.04244e-12 3.36466e-06 4.88157e-12
41.1397 -8.84144e-07 1.71165e-12 -4.36871e-06 -3.04587e-12 3.48457e-06 4.75752e-12
41.4864 -7.81328e-07 1.56271e-12 -4.38885e-06 -3.02026e-12 3.60752e-06 4.58297e-12
41.8332 -6.64376e-07 1.39481e-12 -4.39633e-06 -2.96621e-12 3.73196e-06 4.36102e-12
42.1799 -5.3527e-07 1.21067e-12 -4.39155e-06 -2.8846e-12 3.85628e-06 4.09527e-12
42.5266 -3.96119e-07 1.01314e-12 -4.37502e-06 -2.77672e-12 3.9789e-06 3.78986e-12
42.8734 -2.49125e-07 8.05251e-13 -4.34739e-06 -2.64414e-12 4.09826e-06 3.44939e-12
43.2201 -9.65498e-08 5.90083e-13 -4.30939e-06 -2.48875e-12 4.21284e-06 3.07884e-12
43.5668 5.93169e-08 3.70782e-13 -4.26185e-06 -2.31266e-12 4.32116e-06 2.68345e-12
43.9136 2.16192e-07 1.50473e-13 -4.20568e-06 -2.11822e-12 4.42187e-06 2.26869e-12
44.2603 3.71831e-07 -6.77802e-14 -4.14186e-06 -1.90799e-12 4.51369e-06 1.84021e-12
