# t  B_z_sc_0  B_z_sc_1  B_z_sc_2  B_z_sc_3  B_z_sc_4  B_z_sc_5  B_z_sc_6  B_z_sc_7  B_z_sc_8  B_z_sc_9  B_z_sc_10  B_z_sc_11  B_z_sc_12  B_z_sc_13  B_z_sc_14  B_z_sc_15  B_z_sc_16  B_z_sc_17  B_z_sc_18  B_z_sc_19  B_z_sc_20  B_z_sc_21  B_z_sc_22  B_z_sc_23  B_z_sc_24  B_z_sc_25  B_z_sc_26  B_z_sc_27  B_z_sc_28  B_z_sc_29  B_z_sc_30  B_z_sc_31  B_z_sc_32  B_z_sc_33  B_z_sc_34  B_z_sc_35  B_z_sc_36  B_z_sc_37  B_z_sc_38  B_z_sc_39  B_z_sc_40  B_z_sc_41  B_z_sc_42  B_z_sc_43  B_z_sc_44  B_z_sc_45
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.01 -3.41982e-15 -2.34547e-15 -2.98233e-15 -5.39892e-15 -6.82824e-15 -4.99026e-15 -2.17749e-15 -2.7841e-15 -5.61101e-15 -7.89146e-15 -1.46034e-15 -1.85146e-15 -4.87108e-15 -7.66763e-15 -6.41865e-22 -4.97024e-22 -3.05345e-15 -6.52582e-15 3.05345e-15 3.40842e-15 -2.2093e-23 -3.40842e-15 -1.36564e-15 -7.39928e-16 -9.32642e-16 -7.41874e-22 -7.16781e-22 1.46034e-15 1.85146e-15 4.87108e-15 6.52582e-15 -2.67472e-22 7.39927e-16 9.32641e-16 2.17749e-15 2.7841e-15 5.61101e-15 7.66763e-15 1.36564e-15 2.34547e-15 2.98232e-15 5.39892e-15 7.89146e-15 3.41982e-15 4.99026e-15 6.82824e-15
0.055 -1.88028e-14 -1.28958e-14 -1.63975e-14 -2.96844e-14 -3.75432e-14 -2.74374e-14 -1.19724e-14 -1.53077e-14 -3.08508e-14 -4.33892e-14 -8.0293e-15 -1.01798e-14 -2.67825e-14 -4.21587e-14 -3.53477e-21 -2.72961e-21 -1.67886e-14 -3.58806e-14 1.67886e-14 1.87404e-14 -1.15086e-22 -1.87404e-14 -7.50859e-15 -4.06831e-15 -5.12788e-15 -4.07371e-21 -3.94335e-21 8.02929e-15 1.01798e-14 2.67825e-14 3.58806e-14 -1.46194e-21 4.0683e-15 5.12788e-15 1.19724e-14 1.53077e-14 3.08508e-14 4.21587e-14 7.50859e-15 1.28958e-14 1.63975e-14 2.96844e-14 4.33892e-14 1.88028e-14 2.74374e-14 3.75432e-14
0.2575 -8.77813e-14 -6.02075e-14 -7.65646e-14 -1.38607e-13 -1.75304e-13 -1.28105e-13 -5.59093e-14 -7.14863e-14 -1.44079e-13 -2.02625e-13 -3.74951e-14 -4.75406e-14 -1.2508e-13 -1.96892e-13 -1.65538e-20 -1.26624e-20 -7.83991e-14 -1.67565e-13 7.83991e-14 8.75229e-14 -3.82369e-22 -8.75229e-14 -3.50604e-14 -1.89988e-14 -2.39457e-14 -1.89721e-20 -1.84085e-20 3.7495e-14 4.75406e-14 1.2508e-13 1.67565e-13 -6.70054e-21 1.89988e-14 2.39457e-14 5.59094e-14 7.14864e-14 1.44079e-13 1.96892e-13 3.50604e-14 6.02075e-14 7.65646e-14 1.38607e-13 2.02625e-13 8.77813e-14 1.28105e-13 1.75304e-13
0.703516 -2.36479e-13 -1.6225e-13 -2.06492e-13 -3.73843e-13 -4.72862e-13 -3.45348e-13 -1.50912e-13 -1.92984e-13 -3.89075e-13 -5.46987e-13 -1.01195e-13 -1.28365e-13 -3.37786e-13 -5.3176e-13 -4.48814e-20 -3.34657e-20 -2.11592e-13 -4.5242e-13 2.11592e-13 2.36383e-13 -1.22468e-22 -2.36383e-13 -9.45675e-14 -5.12887e-14 -6.46193e-14 -5.09287e-20 -4.96814e-20 1.01195e-13 1.28365e-13 3.37786e-13 4.5242e-13 -1.74088e-20 5.12886e-14 6.46193e-14 1.50912e-13 1.92984e-13 3.89075e-13 5.31759e-13 9.45676e-14 1.6225e-13 2.06492e-13 3.73843e-13 5.46987e-13 2.36479e-13 3.45348e-13 4.72862e-13
1.14953 -3.76885e-13 -2.58754e-13 -3.29818e-13 -5.9719e-13 -7.55492e-13 -5.51135e-13 -2.41435e-13 -3.08829e-13 -6.23006e-13 -8.75269e-13 -1.61859e-13 -2.05496e-13 -5.40929e-13 -8.51681e-13 -7.19373e-20 -5.2086e-20 -3.38436e-13 -7.24187e-13 3.38436e-13 3.78607e-13 1.37129e-21 -3.78607e-13 -1.51082e-13 -8.20768e-14 -1.03333e-13 -8.10501e-20 -7.94847e-20 1.61858e-13 2.05496e-13 5.40929e-13 7.24187e-13 -2.67063e-20 8.20767e-14 1.03333e-13 2.41436e-13 3.08829e-13 6.23006e-13 8.51681e-13 1.51082e-13 2.58753e-13 3.29818e-13 5.9719e-13 8.75269e-13 3.76885e-13 5.51135e-13 7.55492e-13
1.59555 -5.04558e-13 -3.46762e-13 -4.43032e-13 -8.0232e-13 -1.01525e-12 -7.39347e-13 -3.25108e-13 -4.16038e-13 -8.40038e-13 -1.17895e-12 -2.17883e-13 -2.7699e-13 -7.29462e-13 -1.14878e-12 -9.67324e-20 -6.76212e-20 -4.55558e-13 -9.75934e-13 4.55558e-13 5.10688e-13 4.17246e-21 -5.10688e-13 -2.0302e-13 -1.10576e-13 -1.39048e-13 -1.08608e-19 -1.06984e-19 2.17883e-13 2.7699e-13 7.29462e-13 9.75935e-13 -3.43813e-20 1.10576e-13 1.39048e-13 3.25109e-13 4.16038e-13 8.40038e-13 1.14878e-12 2.0302e-13 3.46761e-13 4.43032e-13 8.0232e-13 1.17895e-12 5.04558e-13 7.39347e-13 1.01525e-12
2.04157 -6.15497e-13 -4.23615e-13 -5.4296e-13 -9.83493e-13 -1.2449e-12 -9.04439e-13 -3.99769e-13 -5.11898e-13 -1.03485e-12 -1.45027e-12 -2.67818e-13 -3.41077e-13 -8.98768e-13 -1.41583e-12 -1.18242e-19 -7.92221e-20 -5.59878e-13 -1.20131e-12 5.59878e-13 6.29399e-13 8.41813e-21 -6.29399e-13 -2.48956e-13 -1.36079e-13 -1.70821e-13 -1.32972e-19 -1.31528e-19 2.67818e-13 3.41077e-13 8.98768e-13 1.20131e-12 -4.01997e-20 1.36079e-13 1.70821e-13 3.9977e-13 5.11899e-13 1.03485e-12 1.41583e-12 2.48956e-13 4.23614e-13 5.42959e-13 9.83493e-13 1.45027e-12 6.15497e-13 9.04439e-13 1.2449e-12
2.48758 -7.06277e-13 -4.8704e-13 -6.26865e-13 -1.13574e-12 -1.43817e-12 -1.04162e-12 -4.63532e-13 -5.94051e-13 -1.20277e-12 -1.6824e-12 -3.10411e-13 -3.96218e-13 -1.04479e-12 -1.64649e-12 -1.3559e-19 -8.61789e-20 -6.48696e-13 -1.39473e-12 6.48696e-13 7.31888e-13 1.42428e-20 -7.31888e-13 -2.8767e-13 -1.57982e-13 -1.97834e-13 -1.53549e-19 -1.52399e-19 3.10411e-13 3.96217e-13 1.04479e-12 1.39473e-12 -4.38696e-20 1.57982e-13 1.97834e-13 4.63533e-13 5.94052e-13 1.20277e-12 1.64649e-12 2.8767e-13 4.87039e-13 6.26864e-13 1.13574e-12 1.6824e-12 7.06277e-13 1.04162e-12 1.43817e-12
2.9564 -7.76975e-13 -5.37255e-13 -6.95371e-13 -1.26015e-12 -1.59647e-12 -1.1515e-12 -5.17104e-13 -6.63514e-13 -1.34609e-12 -1.87798e-12 -3.46158e-13 -4.4315e-13 -1.16949e-12 -1.84394e-12 -1.48413e-19 -8.78327e-20 -7.22891e-13 -1.55846e-12 7.22891e-13 8.19499e-13 2.21821e-20 -8.19499e-13 -3.19518e-13 -1.76601e-13 -2.20364e-13 -1.70664e-19 -1.69814e-19 3.46157e-13 4.4315e-13 1.16949e-12 1.55846e-12 -4.52536e-20 1.76601e-13 2.20364e-13 5.17105e-13 6.63514e-13 1.34609e-12 1.84394e-12 3.19518e-13 5.37255e-13 6.95371e-13 1.26015e-12 1.87798e-12 7.76975e-13 1.15149e-12 1.59647e-12
