# t  J_up_x  J_up_y  J_dn_x  J_dn_y  J_spin_x  J_spin_y
0 0 0 0 0 0 0
0.01 -8.13966e-09 5.54027e-17 -8.38921e-09 5.81818e-17 2.49556e-10 -2.77907e-18
0.055 -4.47535e-08 3.87201e-16 -4.61261e-08 2.37633e-16 1.3726e-09 1.49568e-16
0.2575 -2.08963e-07 3.52499e-15 -2.15422e-07 -6.62006e-16 6.45825e-09 4.187e-15
0.703497 -5.63476e-07 1.97447e-14 -5.81799e-07 -1.23025e-14 1.83225e-08 3.20471e-14
1.14949 -8.99748e-07 4.79874e-14 -9.31855e-07 -3.66256e-14 3.2107e-08 8.4613e-14
1.59549 -1.20804e-06 8.67002e-14 -1.25699e-06 -7.23136e-14 4.89581e-08 1.59014e-13
2.04149 -1.47948e-06 1.33762e-13 -1.54936e-06 -1.17558e-13 6.98792e-08 2.51321e-13
2.48749 -1.70637e-06 1.86604e-13 -1.80205e-06 -1.70057e-13 9.56871e-08 3.56661e-13
2.9563 -1.88992e-06 2.4516e-13 -2.01865e-06 -2.30063e-13 1.28731e-07 4.75224e-13
3.42512 -2.01181e-06 3.03115e-13 -2.18003e-06 -2.91661e-13 1.6822e-07 5.94776e-13
3.89393 -2.06866e-06 3.56685e-13 -2.28288e-06 -3.51203e-13 2.1422e-07 7.07887e-13
4.36275 -2.05928e-06 4.02114e-13 -2.32574e-06 -4.05036e-13 2.66465e-07 8.0715e-13
4.83156 -1.98464e-06 4.35843e-13 -2.30901e-06 -4.49766e-13 3.24366e-07 8.85609e-13
5.30038 -1.84788e-06 4.54882e-13 -2.23491e-06 -4.82186e-13 3.87034e-07 9.37068e-13
5.7692 -1.65407e-06 4.56741e-13 -2.10739e-06 -4.99596e-13 4.53315e-07 9.56337e-13
6.23801 -1.41009e-06 4.39624e-13 -1.93193e-06 -4.9996e-13 5.21839e-07 9.39585e-13
6.70683 -1.12429e-06 4.02615e-13 -1.71537e-06 -4.81866e-13 5.91077e-07 8.84481e-13
7.17564 -8.0624e-07 3.45664e-13 -1.46564e-06 -4.4472e-13 6.59401e-07 7.90385e-13
7.64446 -4.66325e-07 2.69685e-13 -1.19148e-06 -3.8874e-13 7.25157e-07 6.58424e-13
8.11327 -1.15415e-07 1.76455e-13 -9.02142e-07 -3.15008e-13 7.86727e-07 4.91464e-13
8.58209 2.35522e-07 6.86088e-14 -6.07076e-07 -2.25473e-13 8.42598e-07 2.94082e-13
9.0509 5.75782e-07 -5.03344e-14 -3.15643e-07 -1.22701e-13 8.91425e-07 7.23661e-14
9.51972 8.95269e-07 -1.76324e-13 -3.68134e-08 -1.00289e-14 9.32083e-07 -1.66295e-13
9.98853 1.18481e-06 -3.04686e-13 2.21097e-07 1.08714e-13 9.63713e-07 -4.13399e-13
10.4573 1.43641e-06 -4.3057e-13 4.50658e-07 2.29197e-13 9.85756e-07 -6.59768e-13
10.9262 1.6435e-06 -5.48909e-13 6.45522e-07 3.46959e-13 9.9798e-07 -8.95868e-13
11.395 1.80106e-06 -6.54806e-13 8.00575e-07 4.57293e-13 1.00048e-06 -1.1121e-12
