# self-consistency convergence trace
# iter  error=max|dn_i|  N_total  S_z
0 0.090584306176 142 4
1 0.0893832775922 142 4
2 0.0882480532103 142 4
3 0.0871271869397 142 4
4 0.0860329476596 142 4
5 0.0853276928801 142 4
6 0.0859163840072 142 4
7 0.0868388639387 142 4
8 0.0848294106537 142 4
9 0.0846868424224 142 4
10 0.08453331458 142 4
11 0.0836018879961 142 4
12 0.0833527016652 142 4
13 0.0827575668984 142 4
14 0.0816280934836 142 4
15 0.0818629025482 142 4
16 0.0811118508555 142 4
17 0.0798810363516 142 4
18 0.0802085605764 142 4
19 0.079386480621 142 4
20 0.0781430729037 142 4
21 0.0785365298328 142 4
22 0.077689798238 142 4
23 0.0764096057449 142 4
24 0.0768331360334 142 4
25 0.0760076203851 142 4
26 0.0746778896499 142 4
27 0.0750187044408 142 4
28 0.0743085210319 142 4
29 0.0729357317867 142 4
30 0.0729314543077 142 4
31 0.0725218480469 142 4
32 0.0711546349851 142 4
33 0.0702877125663 142 4
34 0.0704509014127 142 4
35 0.0692799992466 142 4
36 0.0680140166725 142 4
37 0.0675403019059 142 4
38 0.0673197185774 142 4
39 0.0631780590799 142 4
40 0.0661441416329 142 4
41 0.0628328158503 142 4
42 0.0553829657931 142 4
43 0.0628848765071 142 4
44 0.0542744828586 142 4
45 0.0582911561659 142 4
46 0.0527931724491 142 4
47 0.0563549962376 142 4
48 0.0513726390192 142 4
49 0.0540917331629 142 4
50 0.0499867965147 142 4
51 0.0518036596686 142 4
52 0.0486311457546 142 4
53 0.0495976227552 142 4
54 0.0473055351441 142 4
55 0.047580681034 142 4
56 0.0460122345327 142 4
57 0.0458401780994 142 4
58 0.0447540558343 142 4
59 0.0443801907833 142 4
60 0.0435316867927 142 4
61 0.0431301907683 142 4
62 0.042484971593 142 4
63 0.0420055146192 142 4
64 0.0414541136004 142 4
65 0.0409485226815 142 4
66 0.0404328818763 142 4
67 0.0399316608864 142 4
68 0.0394342733523 142 4
69 0.0389446255535 142 4
70 0.0384610225379 142 4
71 0.037983842138 142 4
72 0.0375127710651 142 4
73 0.0370477357635 142 4
74 0.0365886047312 142 4
75 0.036135274698 142 4
76 0.0356876449515 142 4
77 0.0352456224999 142 4
78 0.0348091196153 142 4
79 0.0343780533739 142 4
80 0.0339523449179 142 4
81 0.0335319189048 142 4
82 0.033116703031 142 4
83 0.0327066276326 142 4
84 0.0323016253489 142 4
85 0.0319016308387 142 4
86 0.0315065805413 142 4
87 0.0311164124744 142 4
88 0.0307310660647 142 4
89 0.0303504820037 142 4
90 0.0299746021269 142 4
91 0.0296033693112 142 4
92 0.0292367273887 142 4
93 0.0288746210734 142 4
94 0.0285169958994 142 4
95 0.0281637981687 142 4
96 0.027814974907 142 4
97 0.0274704738256 142 4
98 0.0271302432901 142 4
99 0.0267942322927 142 4
100 0.0264623904295 142 4
101 0.0261346678805 142 4
102 0.0258110153925 142 4
103 0.025491384265 142 4
104 0.0251757263371 142 4
105 0.0248639939769 142 4
106 0.0245561400717 142 4
107 0.0242521180198 142 4
108 0.023951881723 142 4
109 0.0236553855798 142 4
110 0.0233625844798 142 4
111 0.0230734337978 142 4
112 0.0227878893893 142 4
113 0.0225059075851 142 4
114 0.022227445188 142 4
115 0.0219524594676 142 4
116 0.0216809081573 142 4
117 0.0214127494499 142 4
118 0.0211479419942 142 4
119 0.0208864448915 142 4
120 0.0206282176919 142 4
121 0.0203732203912 142 4
122 0.0201214134269 142 4
123 0.0198727576754 142 4
124 0.0196272144485 142 4
125 0.0193847454895 142 4
126 0.0191453129708 142 4
127 0.0189088794895 142 4
128 0.0186754080649 142 4
129 0.0184448621344 142 4
130 0.0182172055506 142 4
131 0.0179924025777 142 4
132 0.017770417888 142 4
133 0.0175512165586 142 4
134 0.0173347640679 142 4
135 0.0171210262922 142 4
136 0.0169099695021 142 4
137 0.0167015603591 142 4
138 0.0164957659123 142 4
139 0.0163276809719 142 4
140 0.0161655705307 142 4
141 0.0160048079703 142 4
142 0.0158453879585 142 4
143 0.0156873050357 142 4
144 0.0155305536192 142 4
145 0.0153751280076 142 4
146 0.0152210223849 142 4
147 0.0150682308246 142 4
148 0.0149167472938 142 4
149 0.0147665656574 142 4
150 0.0146176796818 142 4
151 0.0144700830389 142 4
152 0.0143237693102 142 4
153 0.01417873199 142 4
154 0.0140349644897 142 4
155 0.0138924601411 142 4
156 0.0137512121998 142 4
157 0.0136112138494 142 4
158 0.0134724582041 142 4
159 0.0133349383127 142 4
160 0.0131986471613 142 4
161 0.0130635776771 142 4
162 0.0129297227314 142 4
163 0.0127970751424 142 4
164 0.0126656276786 142 4
165 0.0125353730614 142 4
166 0.0124063039683 142 4
167 0.0122784130357 142 4
168 0.0121516928615 142 4
169 0.0120261360078 142 4
170 0.0119017350036 142 4
171 0.0117784823474 142 4
172 0.0116563705099 142 4
173 0.0115353919358 142 4
174 0.011415539047 142 4
175 0.0112968042443 142 4
176 0.01117917991 142 4
