# converged UHF spin-resolved spectrum
# index  energy_eV  spin(+1=up,-1=dn)  occupation
0 -7.07409 1 1
1 -7.04106 -1 1
2 -6.92802 1 1
3 -6.90063 1 1
4 -6.84311 -1 1
5 -6.82362 -1 1
6 -6.64972 1 1
7 -6.63255 1 1
8 -6.60335 1 1
9 -6.54022 -1 1
10 -6.49147 -1 1
11 -6.4645 -1 1
12 -6.28293 1 1
13 -6.27901 1 1
14 -6.21629 1 1
15 -6.15742 1 1
16 -6.13607 -1 1
17 -6.12999 -1 1
18 -6.00086 -1 1
19 -5.98187 -1 1
20 -5.84537 1 1
21 -5.82698 1 1
22 -5.8058 1 1
23 -5.68788 -1 1
24 -5.65752 1 1
25 -5.65583 1 1
26 -5.62701 -1 1
27 -5.59374 -1 1
28 -5.42005 -1 1
29 -5.41942 -1 1
30 -5.34325 1 1
31 -5.33764 1 1
32 -5.33167 1 1
33 -5.16662 1 1
34 -5.15123 -1 1
35 -5.14761 -1 1
36 -5.08934 1 1
37 -5.07643 1 1
38 -5.02881 -1 1
39 -5.00017 -1 1
40 -4.83294 1 1
41 -4.82878 1 1
42 -4.79234 -1 1
43 -4.78752 1 1
44 -4.78611 -1 1
45 -4.61654 -1 1
46 -4.60093 1 1
47 -4.58828 1 1
48 -4.57581 -1 1
49 -4.54384 -1 1
50 -4.49322 1 1
51 -4.4559 1 1
52 -4.38733 -1 1
53 -4.37446 -1 1
54 -4.32897 1 1
55 -4.29791 1 1
56 -4.25056 1 1
57 -4.14229 -1 1
58 -4.12447 -1 1
59 -4.0661 -1 1
60 -4.05016 -1 1
61 -4.04812 1 1
62 -4.01242 1 1
63 -4.00177 1 1
64 -3.98859 -1 1
65 -3.92717 -1 1
66 -3.87294 1 1
67 -3.87164 1 1
68 -3.80763 1 1
69 -3.79076 1 1
70 -3.76129 -1 1
71 -3.7462 -1 1
72 -3.74558 1 1
73 -3.56788 -1 1
74 -3.55399 -1 1
75 -3.52402 1 1
76 -3.50867 -1 1
77 -3.50534 1 1
78 -3.50437 1 1
79 -3.48184 -1 1
80 -3.4815 -1 1
81 -3.40119 1 1
82 -3.39258 -1 1
83 -3.38564 -1 1
84 -3.3491 1 1
85 -3.34633 1 1
86 -3.31356 1 1
87 -3.24221 1 1
88 -3.23311 1 1
89 -3.19323 -1 1
90 -3.16677 -1 1
91 -3.14756 -1 1
92 -3.13434 -1 1
93 -3.08176 1 1
94 -3.05496 1 1
95 -3.05409 -1 1
96 -3.05369 1 1
97 -3.03335 -1 1
98 -3.01682 1 1
99 -2.97223 1 1
100 -2.95436 -1 1
101 -2.92623 -1 1
102 -2.90248 1 1
103 -2.89529 1 1
104 -2.88981 1 1
105 -2.87357 -1 1
106 -2.87225 -1 1
107 -2.84841 -1 1
108 -2.82553 -1 1
109 -2.78554 -1 1
110 -2.76455 1 1
111 -2.75982 1 1
112 -2.72237 1 1
113 -2.71475 1 1
114 -2.70153 -1 1
115 -2.68098 -1 1
116 -2.6778 1 1
117 -2.66637 1 1
118 -2.65229 1 1
119 -2.60279 -1 1
120 -2.59963 -1 1
121 -2.57935 1 1
122 -2.55489 1 1
123 -2.50743 1 1
124 -2.48906 -1 1
125 -2.4778 -1 1
126 -2.46131 1 1
127 -2.38414 1 1
128 -2.37871 1 1
129 -2.35301 -1 1
130 -2.34904 -1 1
131 -2.28623 1 1
132 -2.26753 1 1
133 -2.22112 -1 1
134 -2.21864 -1 1
135 -2.16987 1 1
136 -2.13792 1 1
137 -1.96741 1 1
138 -1.95651 -1 1
139 -1.95205 -1 1
140 -1.89957 1 1
141 5.57123 -1 1
142 5.60187 -1 0
143 5.61519 -1 0
144 5.69092 -1 0
145 5.71177 -1 0
146 5.72749 -1 0
147 5.81352 -1 0
148 5.82797 -1 0
149 5.85349 -1 0
150 5.91483 -1 0
151 5.92464 1 0
152 5.92519 -1 0
153 5.92609 1 0
154 6.06579 1 0
155 6.066 1 0
156 6.10316 -1 0
157 6.14682 -1 0
158 6.157 1 0
159 6.17576 1 0
160 6.23277 -1 0
161 6.2578 1 0
162 6.25864 -1 0
163 6.26411 1 0
164 6.27886 -1 0
165 6.2821 -1 0
166 6.3091 1 0
167 6.32181 1 0
168 6.32464 -1 0
169 6.32895 -1 0
170 6.36573 -1 0
171 6.40189 1 0
172 6.40663 -1 0
173 6.42685 -1 0
174 6.44388 1 0
175 6.4651 1 0
176 6.48159 1 0
177 6.48892 1 0
178 6.50034 -1 0
179 6.51362 -1 0
180 6.63006 -1 0
181 6.634 1 0
182 6.6349 1 0
183 6.64766 1 0
184 6.6509 1 0
185 6.65391 -1 0
186 6.69245 -1 0
187 6.72615 -1 0
188 6.74735 -1 0
189 6.74921 -1 0
190 6.75121 1 0
191 6.77567 1 0
192 6.79374 -1 0
193 6.80885 -1 0
194 6.82171 1 0
195 6.82391 1 0
196 6.87542 1 0
197 6.87918 1 0
198 6.97886 -1 0
199 7.00401 -1 0
200 7.04402 1 0
201 7.04923 1 0
202 7.057 -1 0
203 7.07449 -1 0
204 7.14418 1 0
205 7.15969 1 0
206 7.1702 -1 0
207 7.1824 -1 0
208 7.18782 1 0
209 7.2027 1 0
210 7.20476 1 0
211 7.21222 -1 0
212 7.39323 -1 0
213 7.3996 -1 0
214 7.43959 1 0
215 7.43982 1 0
216 7.54481 -1 0
217 7.58215 1 0
218 7.58692 -1 0
219 7.59767 1 0
220 7.6055 -1 0
221 7.66692 1 0
222 7.67292 1 0
223 7.68494 -1 0
224 7.71003 -1 0
225 7.71178 -1 0
226 7.83784 1 0
227 7.84211 1 0
228 8.01966 -1 0
229 8.02743 -1 0
230 8.05665 1 0
231 8.06777 1 0
232 8.14375 -1 0
233 8.17849 1 0
234 8.19486 1 0
235 8.2066 -1 0
236 8.23069 1 0
237 8.23483 -1 0
238 8.23661 -1 0
239 8.30355 -1 0
240 8.49357 1 0
241 8.49766 1 0
242 8.64754 -1 0
243 8.65255 -1 0
244 8.69096 1 0
245 8.69358 1 0
246 8.76226 -1 0
247 8.77633 1 0
248 8.78329 1 0
249 8.80462 -1 0
250 8.83035 -1 0
251 8.84368 -1 0
252 9.12443 1 0
253 9.13842 1 0
254 9.22772 -1 0
255 9.2512 -1 0
256 9.28065 1 0
257 9.30565 1 0
258 9.33625 1 0
259 9.33746 -1 0
260 9.34785 -1 0
261 9.37437 -1 0
262 9.71583 1 0
263 9.71626 1 0
264 9.76667 -1 0
265 9.76746 -1 0
266 9.82899 1 0
267 9.83861 -1 0
268 9.84375 1 0
269 9.84989 -1 0
270 10.2167 -1 0
271 10.2227 1 0
272 10.2256 -1 0
273 10.2357 1 0
274 10.271 -1 0
275 10.307 1 0
276 10.5951 -1 0
277 10.608 -1 0
278 10.654 1 0
279 10.6702 1 0
280 10.9041 -1 0
