# t  J_up_x  J_up_y  J_dn_x  J_dn_y  J_spin_x  J_spin_y
0 0 0 0 0 0 0
0.01 -4.80888e-08 -1.76081e-11 -4.8584e-08 -1.47797e-11 4.95211e-10 -2.8284e-12
0.055 -2.64454e-07 -9.6844e-11 -2.67179e-07 -8.13031e-11 2.72435e-09 -1.55409e-11
0.2575 -1.23593e-06 -4.5384e-10 -1.24876e-06 -3.82527e-10 1.28371e-08 -7.13133e-11
1.16875 -5.43061e-06 -2.10758e-09 -5.49666e-06 -1.91756e-09 6.60474e-08 -1.90029e-10
3.76709 -1.2556e-05 -7.83507e-09 -1.29808e-05 -1.16756e-08 4.24856e-07 3.84057e-09
6.36543 -8.88825e-06 -1.31002e-08 -1.00577e-05 -3.58163e-08 1.16945e-06 2.27162e-08
9.15956 2.46377e-06 -1.03476e-08 4.76416e-07 -7.77192e-08 1.98735e-06 6.73716e-08
11.9537 1.03865e-05 5.08479e-09 8.13665e-06 -1.22563e-07 2.24988e-06 1.27648e-07
14.4627 9.15978e-06 2.24369e-08 7.16756e-06 -1.50148e-07 1.99221e-06 1.72585e-07
16.9716 2.13055e-06 3.14883e-08 4.11221e-07 -1.60011e-07 1.71933e-06 1.91499e-07
19.5806 -5.14861e-06 2.5116e-08 -7.09428e-06 -1.59245e-07 1.94568e-06 1.84361e-07
22.1896 -7.34439e-06 5.92063e-09 -1.01822e-05 -1.62477e-07 2.83777e-06 1.68397e-07
24.7986 -3.83792e-06 -1.38427e-08 -7.84544e-06 -1.79651e-07 4.00752e-06 1.65808e-07
26.9991 1.11324e-06 -2.02167e-08 -3.61744e-06 -2.02574e-07 4.73069e-06 1.82358e-07
29.1996 5.0255e-06 -1.1913e-08 1.11063e-07 -2.24464e-07 4.91444e-06 2.12551e-07
31.5217 6.10699e-06 9.64138e-09 1.5686e-06 -2.37298e-07 4.53839e-06 2.46939e-07
33.8438 4.04859e-06 3.25992e-08 1.2932e-07 -2.37186e-07 3.91927e-06 2.69785e-07
36.1659 5.36301e-07 4.27996e-08 -2.99474e-06 -2.30917e-07 3.53104e-06 2.73716e-07
38.488 -2.26836e-06 3.3192e-08 -5.95983e-06 -2.28888e-07 3.69147e-06 2.6208e-07
40.8102 -2.99389e-06 9.37042e-09 -7.37527e-06 -2.36082e-07 4.38138e-06 2.45453e-07
43.1323 -1.63569e-06 -1.33883e-08 -6.90395e-06 -2.47881e-07 5.26826e-06 2.34492e-07
45.4544 7.06694e-07 -2.02597e-08 -5.20393e-06 -2.54595e-07 5.91063e-06 2.34335e-07
47.7765 2.61882e-06 -7.39909e-09 -3.40054e-06 -2.5014e-07 6.01936e-06 2.42741e-07
50.0986 3.18443e-06 1.50906e-08 -2.43419e-06 -2.3651e-07 5.61862e-06 2.516e-07
52.4207 2.38957e-06 3.07546e-08 -2.62056e-06 -2.20499e-07 5.01013e-06 2.51253e-07
54.7428 9.58676e-07 2.93875e-08 -3.61446e-06 -2.07151e-07 4.57314e-06 2.36538e-07
57.065 -1.90702e-07 1.41901e-08 -4.72746e-06 -1.96967e-07 4.53675e-06 2.11157e-07
59.3871 -4.92711e-07 -2.41719e-09 -5.35704e-06 -1.8865e-07 4.86432e-06 1.86233e-07
61.7092 2.89774e-08 -9.7519e-09 -5.27443e-06 -1.82485e-07 5.3034e-06 1.72733e-07
64.0313 8.95649e-07 -6.2978e-09 -4.65864e-06 -1.79257e-07 5.55429e-06 1.72959e-07
66.3534 1.53249e-06 1.94747e-09 -3.91833e-06 -1.75964e-07 5.45082e-06 1.77911e-07
68.6755 1.61781e-06 8.4286e-09 -3.42966e-06 -1.64645e-07 5.04747e-06 1.73074e-07
70.9976 1.22846e-06 1.06786e-08 -3.33648e-06 -1.37885e-07 4.56494e-06 1.48564e-07
73.3197 7.22911e-07 9.3735e-09 -3.51288e-06 -9.67465e-08 4.23579e-06 1.0612e-07
75.6419 4.68379e-07 4.95954e-09 -3.68701e-06 -5.30566e-08 4.15539e-06 5.80162e-08
77.964 6.04347e-07 -3.17833e-09 -3.62827e-06 -2.25482e-08 4.23261e-06 1.93698e-08
80.2861 9.8431e-07 -1.38693e-08 -3.27851e-06 -1.36736e-08 4.26282e-06 -1.95738e-10
82.6082 1.30432e-06 -2.15987e-08 -2.76453e-06 -2.0814e-08 4.06886e-06 -7.8468e-10
84.9303 1.31637e-06 -1.90608e-08 -2.30348e-06 -2.71428e-08 3.61986e-06 8.08196e-09
87.2524 9.90748e-07 -4.43389e-09 -2.06238e-06 -1.52192e-08 3.05313e-06 1.07853e-08
89.5745 5.31358e-07 1.35869e-08 -2.05218e-06 2.1934e-08 2.58354e-06 -8.34706e-09
91.8967 2.38085e-07 2.00501e-08 -2.12012e-06 7.66807e-08 2.35821e-06 -5.66306e-08
94.2188 3.07716e-07 5.8569e-09 -2.0467e-06 1.3207e-07 2.35442e-06 -1.26213e-07
96.5409 7.05196e-07 -2.27745e-08 -1.68479e-06 1.72445e-07 2.38998e-06 -1.9522e-07
98.863 1.1863e-06 -4.72325e-08 -1.05205e-06 1.91765e-07 2.23835e-06 -2.38998e-07
101.185 1.45081e-06 -5.05405e-08 -3.2164e-07 1.94695e-07 1.77245e-06 -2.45235e-07
103.507 1.326e-06 -3.0684e-08 2.79563e-07 1.91819e-07 1.04644e-06 -2.22503e-07
105.829 8.67554e-07 -1.89694e-09 6.02781e-07 1.94201e-07 2.64773e-07 -1.96098e-07
108.151 3.18034e-07 1.66182e-08 6.59092e-07 2.10549e-07 -3.41058e-07 -1.93931e-07
110.474 -4.5098e-08 1.43975e-08 6.01453e-07 2.45695e-07 -6.46551e-07 -2.31298e-07
112.796 -6.56777e-08 -5.14372e-09 6.26805e-07 2.97856e-07 -6.92483e-07 -3.03e-07
115.118 2.31104e-07 -3.02449e-08 8.75137e-07 3.55926e-07 -6.44033e-07 -3.8617e-07
117.44 6.86422e-07 -4.97379e-08 1.38942e-06 4.01637e-07 -7.02995e-07 -4.51375e-07
119.762 1.09147e-06 -5.73933e-08 2.12775e-06 4.19023e-07 -1.03628e-06 -4.76416e-07
122.084 1.24689e-06 -5.10661e-08 2.97273e-06 4.06225e-07 -1.72584e-06 -4.57291e-07
124.406 1.01743e-06 -3.19682e-08 3.72505e-06 3.80038e-07 -2.70762e-06 -4.12007e-07
