# t  J_up_x  J_up_y  J_dn_x  J_dn_y  J_spin_x  J_spin_y
0 0 0 0 0 0 0
0.01 -8.13966e-09 5.54027e-17 -8.38921e-09 5.81818e-17 2.49556e-10 -2.77907e-18
0.055 -4.47535e-08 3.87201e-16 -4.61261e-08 2.37633e-16 1.3726e-09 1.49568e-16
0.2575 -2.08963e-07 3.52499e-15 -2.15422e-07 -6.62006e-16 6.45825e-09 4.187e-15
1.16875 -9.13704e-07 4.94432e-14 -9.46467e-07 -3.79361e-14 3.27634e-08 8.73793e-14
3.98051 -2.07206e-06 3.66347e-13 -2.29545e-06 -3.62506e-13 2.23386e-07 7.28853e-13
6.79228 -1.06579e-06 3.93663e-13 -1.66996e-06 -4.77756e-13 6.04176e-07 8.71419e-13
9.60404 9.52808e-07 -2.01507e-13 1.3871e-08 1.17203e-14 9.38937e-07 -2.13227e-13
12.4158 1.95742e-06 -8.22988e-13 9.83112e-07 6.52743e-13 9.74309e-07 -1.47573e-12
15.3897 1.09241e-06 -5.68615e-13 3.30145e-07 5.81934e-13 7.62263e-07 -1.15055e-12
18.3636 -5.63716e-07 5.31471e-13 -1.24684e-06 -4.08993e-13 6.83121e-07 9.40464e-13
21.3375 -1.29588e-06 1.24174e-12 -2.31303e-06 -1.32986e-12 1.01715e-06 2.57159e-12
24.3113 -5.84142e-07 6.81477e-13 -2.20353e-06 -1.15865e-12 1.61939e-06 1.84013e-12
26.7212 4.61314e-07 -3.51142e-13 -1.5348e-06 -2.72121e-13 1.99611e-06 -7.90217e-14
29.2471 1.19623e-06 -1.13538e-12 -8.54611e-07 6.85338e-13 2.05084e-06 -1.82072e-12
31.773 1.13546e-06 -1.04385e-12 -6.2684e-07 9.79273e-13 1.7623e-06 -2.02313e-12
34.2989 4.4215e-07 -1.89129e-13 -9.25942e-07 4.07487e-13 1.36809e-06 -5.96617e-13
36.8248 -3.21276e-07 7.61745e-13 -1.49581e-06 -6.28112e-13 1.17453e-06 1.38986e-12
39.3507 -6.34932e-07 1.12898e-12 -1.9758e-06 -1.44373e-12 1.34087e-06 2.5727e-12
41.8766 -3.6146e-07 7.13118e-13 -2.13252e-06 -1.54009e-12 1.77106e-06 2.2532e-12
44.4025 2.26251e-07 -1.19841e-13 -1.95751e-06 -8.9875e-13 2.18376e-06 7.7891e-13
46.9284 6.91057e-07 -7.72123e-13 -1.61695e-06 4.91685e-14 2.30801e-06 -8.21291e-13
49.4543 7.46144e-07 -8.56532e-13 -1.32324e-06 7.19081e-13 2.06938e-06 -1.57561e-12
51.9802 4.23785e-07 -4.0706e-13 -1.21102e-06 7.30418e-13 1.6348e-06 -1.13748e-12
54.5061 3.71978e-09 2.2403e-13 -1.27948e-06 1.10122e-13 1.2832e-06 1.13908e-13
57.032 -2.19488e-07 6.3641e-13 -1.42384e-06 -7.4886e-13 1.20435e-06 1.38527e-12
59.5579 -1.40375e-07 6.20419e-13 -1.52245e-06 -1.32915e-12 1.38208e-06 1.94956e-12
62.0838 1.26204e-07 2.4622e-13 -1.50958e-06 -1.28072e-12 1.63578e-06 1.52694e-12
