# t rho_0 rho_1 rho_2 rho_3 rho_4 rho_5 rho_6 rho_7 rho_8 rho_9 rho_10 rho_11 rho_12 rho_13 rho_14 rho_15 rho_16 rho_17 rho_18 rho_19 rho_20 rho_21 rho_22 rho_23 rho_24 rho_25 rho_26 rho_27 rho_28 rho_29 rho_30 rho_31 rho_32 rho_33 rho_34 rho_35 rho_36 rho_37 rho_38 rho_39 rho_40 rho_41 rho_42 rho_43 rho_44 rho_45 rho_46 rho_47 rho_48 rho_49 rho_50 rho_51 rho_52 rho_53 rho_54 rho_55 rho_56 rho_57 rho_58 rho_59 rho_60 rho_61 rho_62 rho_63 rho_64 rho_65 rho_66 rho_67 rho_68 rho_69 rho_70 rho_71 rho_72 rho_73 rho_74 rho_75 rho_76 rho_77 rho_78 rho_79 rho_80 rho_81 rho_82 rho_83 rho_84 rho_85 rho_86 rho_87 rho_88 rho_89 rho_90 rho_91 rho_92 rho_93 rho_94 rho_95 rho_96 rho_97 rho_98 rho_99 rho_100 rho_101 rho_102 rho_103 rho_104 rho_105 rho_106 rho_107 rho_108 rho_109 rho_110 rho_111 rho_112 rho_113 rho_114 rho_115 rho_116 rho_117 rho_118 rho_119 rho_120 rho_121 rho_122 rho_123 rho_124 rho_125 rho_126 rho_127 rho_128 rho_129 rho_130 rho_131 rho_132 rho_133 rho_134 rho_135 rho_136 rho_137 rho_138 rho_139 rho_140
0 0.509708 0.5 0.50362 0.5 0.509708 0.5 0.5 0.503689 0.5 0.513328 0.5 0.503561 0.5 0.513439 0.5 0.503357 0.5 0.513068 0.5 0.503274 0.5 0.512884 0.5 0.503357 0.5 0.512884 0.5 0.503561 0.5 0.513068 0.5 0.503689 0.5 0.513439 0.5 0.50362 0.5 0.513328 0.5 0.509708 0.5 0.509708 0.513328 0.5 0.503689 0.5 0.502449 0.5 0.502087 0.5 0.501944 0.5 0.501944 0.5 0.502087 0.5 0.502449 0.5 0.503689 0.5 0.513328 0.513439 0.5 0.503561 0.5 0.502087 0.5 0.501652 0.5 0.501544 0.5 0.501652 0.5 0.502087 0.5 0.503561 0.5 0.513439 0.513068 0.5 0.503357 0.5 0.501944 0.5 0.501544 0.5 0.501544 0.5 0.501944 0.5 0.503357 0.5 0.513068 0.512884 0.5 0.503274 0.5 0.501944 0.5 0.501652 0.5 0.501944 0.5 0.503274 0.5 0.512884 0.512884 0.5 0.503357 0.5 0.502087 0.5 0.502087 0.5 0.503357 0.5 0.512884 0.513068 0.5 0.503561 0.5 0.502449 0.5 0.503561 0.5 0.513068 0.513439 0.5 0.503689 0.5 0.503689 0.5 0.513439 0.513328 0.5 0.50362 0.5 0.513328 0.509708 0.5 0.509708
0.01 0.509708 0.5 0.50362 0.5 0.509708 0.5 0.5 0.503689 0.5 0.513328 0.5 0.503561 0.5 0.513439 0.5 0.503357 0.5 0.513068 0.5 0.503274 0.5 0.512884 0.5 0.503357 0.5 0.512884 0.5 0.503561 0.5 0.513068 0.5 0.503689 0.5 0.513439 0.5 0.50362 0.5 0.513328 0.5 0.509708 0.5 0.509708 0.513328 0.5 0.503689 0.5 0.502449 0.5 0.502087 0.5 0.501944 0.5 0.501944 0.5 0.502087 0.5 0.502449 0.5 0.503689 0.5 0.513328 0.513439 0.5 0.503561 0.5 0.502087 0.5 0.501652 0.5 0.501544 0.5 0.501652 0.5 0.502087 0.5 0.503561 0.5 0.513439 0.513068 0.5 0.503357 0.5 0.501944 0.5 0.501544 0.5 0.501544 0.5 0.501944 0.5 0.503357 0.5 0.513068 0.512884 0.5 0.503274 0.5 0.501944 0.5 0.501652 0.5 0.501944 0.5 0.503274 0.5 0.512884 0.512884 0.5 0.503357 0.5 0.502087 0.5 0.502087 0.5 0.503357 0.5 0.512884 0.513068 0.5 0.503561 0.5 0.502449 0.5 0.503561 0.5 0.513068 0.513439 0.5 0.503689 0.5 0.503689 0.5 0.513439 0.513328 0.5 0.50362 0.5 0.513328 0.509708 0.5 0.509708
0.055 0.509708 0.5 0.50362 0.5 0.509707 0.5 0.5 0.503689 0.5 0.513328 0.5 0.503561 0.5 0.513439 0.5 0.503357 0.5 0.513068 0.5 0.503274 0.5 0.512883 0.5 0.503357 0.5 0.512883 0.5 0.503561 0.5 0.513068 0.5 0.503689 0.5 0.513439 0.5 0.50362 0.5 0.513328 0.5 0.509708 0.5 0.509708 0.513328 0.5 0.503689 0.5 0.502449 0.5 0.502087 0.5 0.501944 0.5 0.501944 0.5 0.502087 0.5 0.502449 0.5 0.503689 0.5 0.513328 0.51344 0.5 0.503561 0.5 0.502087 0.5 0.501652 0.5 0.501544 0.5 0.501652 0.5 0.502087 0.5 0.503561 0.5 0.513439 0.513068 0.5 0.503357 0.5 0.501944 0.5 0.501544 0.5 0.501544 0.5 0.501944 0.5 0.503357 0.5 0.513068 0.512884 0.5 0.503274 0.5 0.501944 0.5 0.501652 0.5 0.501944 0.5 0.503274 0.5 0.512883 0.512884 0.5 0.503357 0.5 0.502087 0.5 0.502087 0.5 0.503357 0.5 0.512883 0.513068 0.5 0.503561 0.5 0.502449 0.5 0.503561 0.5 0.513068 0.51344 0.5 0.503689 0.5 0.503689 0.5 0.513439 0.513328 0.5 0.50362 0.5 0.513328 0.509708 0.5 0.509707
0.2575 0.509717 0.499999 0.503621 0.500001 0.509702 0.500005 0.5 0.503689 0.500001 0.513324 0.5 0.50356 0.500001 0.513435 0.5 0.503356 0.500001 0.513063 0.5 0.503273 0.500001 0.512879 0.5 0.503356 0.500001 0.512879 0.5 0.50356 0.500001 0.513063 0.5 0.503689 0.500001 0.513435 0.5 0.50362 0.5 0.513324 0.5 0.509704 0.49999 0.509704 0.513337 0.499999 0.50369 0.5 0.502449 0.5 0.502087 0.5 0.501944 0.5 0.501944 0.5 0.502087 0.5 0.502449 0.5 0.503689 0.500001 0.513324 0.513448 0.499999 0.503561 0.5 0.502087 0.5 0.501652 0.5 0.501544 0.5 0.501652 0.5 0.502087 0.5 0.50356 0.500001 0.513435 0.513077 0.499999 0.503357 0.5 0.501944 0.5 0.501544 0.5 0.501544 0.5 0.501944 0.5 0.503356 0.500001 0.513063 0.512893 0.499999 0.503274 0.5 0.501944 0.5 0.501652 0.5 0.501944 0.5 0.503273 0.500001 0.512879 0.512893 0.499999 0.503357 0.5 0.502087 0.5 0.502087 0.5 0.503356 0.500001 0.512879 0.513077 0.499999 0.503561 0.5 0.502449 0.5 0.50356 0.500001 0.513063 0.513448 0.499999 0.50369 0.5 0.503689 0.500001 0.513435 0.513337 0.499999 0.503621 0.500001 0.513324 0.509717 0.500005 0.509702
0.361669 0.509726 0.499998 0.503621 0.500001 0.509696 0.50001 0.5 0.503689 0.500001 0.513319 0.5 0.50356 0.500001 0.51343 0.5 0.503356 0.500001 0.513059 0.5 0.503273 0.500001 0.512875 0.5 0.503356 0.500001 0.512875 0.5 0.50356 0.500001 0.513059 0.5 0.503688 0.500001 0.51343 0.5 0.50362 0.5 0.513319 0.5 0.509701 0.49998 0.509701 0.513346 0.499997 0.503691 0.499999 0.502449 0.5 0.502087 0.5 0.501944 0.5 0.501944 0.5 0.502086 0.5 0.502448 0.5 0.503688 0.500001 0.513319 0.513457 0.499997 0.503562 0.499999 0.502087 0.5 0.501652 0.5 0.501544 0.5 0.501652 0.5 0.502086 0.5 0.50356 0.500001 0.51343 0.513085 0.499997 0.503358 0.499999 0.501945 0.5 0.501545 0.5 0.501544 0.5 0.501944 0.5 0.503356 0.500001 0.513059 0.512901 0.499997 0.503275 0.499999 0.501945 0.5 0.501652 0.5 0.501944 0.5 0.503273 0.500001 0.512875 0.512901 0.499997 0.503358 0.499999 0.502087 0.5 0.502087 0.5 0.503356 0.500001 0.512875 0.513085 0.499997 0.503562 0.499999 0.502449 0.5 0.50356 0.500001 0.513059 0.513457 0.499997 0.503691 0.5 0.503689 0.500001 0.51343 0.513346 0.499998 0.503621 0.500001 0.513319 0.509726 0.50001 0.509696
0.38042 0.509728 0.499998 0.503621 0.500002 0.509694 0.500011 0.5 0.503689 0.500001 0.513318 0.5 0.50356 0.500002 0.51343 0.5 0.503356 0.500002 0.513058 0.5 0.503273 0.500002 0.512874 0.5 0.503356 0.500002 0.512874 0.5 0.50356 0.500002 0.513058 0.5 0.503688 0.500002 0.513429 0.5 0.50362 0.5 0.513318 0.5 0.5097 0.499977 0.5097 0.513347 0.499997 0.503691 0.499999 0.502449 0.5 0.502087 0.5 0.501944 0.5 0.501944 0.5 0.502086 0.5 0.502448 0.5 0.503688 0.500002 0.513318 0.513458 0.499997 0.503562 0.499999 0.502087 0.5 0.501652 0.5 0.501544 0.5 0.501652 0.5 0.502086 0.5 0.50356 0.500002 0.513429 0.513087 0.499997 0.503358 0.499999 0.501945 0.5 0.501545 0.5 0.501544 0.5 0.501944 0.5 0.503356 0.500002 0.513058 0.512903 0.499997 0.503275 0.499999 0.501945 0.5 0.501652 0.5 0.501944 0.5 0.503273 0.500002 0.512874 0.512903 0.499997 0.503358 0.499999 0.502087 0.5 0.502087 0.5 0.503356 0.500002 0.512874 0.513087 0.499997 0.503562 0.499999 0.502449 0.5 0.50356 0.500002 0.513058 0.513458 0.499997 0.503691 0.5 0.503689 0.500001 0.51343 0.513347 0.499998 0.503621 0.500002 0.513318 0.509728 0.500011 0.509694
0.397295 0.50973 0.499998 0.503621 0.500002 0.509693 0.500012 0.5 0.503689 0.500002 0.513318 0.5 0.50356 0.500002 0.513429 0.5 0.503356 0.500002 0.513057 0.5 0.503273 0.500002 0.512873 0.5 0.503356 0.500002 0.512873 0.5 0.50356 0.500002 0.513057 0.5 0.503688 0.500002 0.513428 0.5 0.50362 0.5 0.513318 0.5 0.5097 0.499975 0.5097 0.513349 0.499997 0.503691 0.499999 0.502449 0.5 0.502087 0.5 0.501944 0.5 0.501944 0.5 0.502086 0.5 0.502448 0.5 0.503688 0.500002 0.513318 0.51346 0.499997 0.503563 0.499999 0.502087 0.5 0.501652 0.5 0.501544 0.5 0.501652 0.5 0.502086 0.5 0.50356 0.500002 0.513428 0.513089 0.499997 0.503359 0.499999 0.501945 0.5 0.501545 0.5 0.501544 0.5 0.501944 0.5 0.503356 0.500002 0.513057 0.512905 0.499997 0.503275 0.499999 0.501945 0.5 0.501652 0.5 0.501944 0.5 0.503273 0.500002 0.512873 0.512905 0.499997 0.503359 0.499999 0.502087 0.5 0.502087 0.5 0.503356 0.500002 0.512873 0.513089 0.499997 0.503563 0.499999 0.502449 0.5 0.50356 0.500002 0.513057 0.51346 0.499997 0.503691 0.5 0.503689 0.500002 0.513429 0.513349 0.499998 0.503621 0.500002 0.513318 0.50973 0.500012 0.509693
0.412483 0.509732 0.499998 0.503621 0.500002 0.509692 0.500013 0.5 0.503689 0.500002 0.513317 0.5 0.50356 0.500002 0.513428 0.5 0.503356 0.500002 0.513056 0.5 0.503272 0.500002 0.512872 0.5 0.503355 0.500002 0.512872 0.500001 0.503559 0.500002 0.513056 0.5 0.503688 0.500002 0.513428 0.5 0.50362 0.5 0.513317 0.5 0.509699 0.499973 0.509699 0.513351 0.499997 0.503691 0.499999 0.502449 0.5 0.502087 0.5 0.501944 0.5 0.501944 0.5 0.502086 0.5 0.502448 0.5 0.503688 0.500002 0.513317 0.513462 0.499996 0.503563 0.499999 0.502087 0.5 0.501652 0.5 0.501544 0.5 0.501652 0.5 0.502086 0.500001 0.503559 0.500002 0.513428 0.51309 0.499996 0.503359 0.499999 0.501945 0.5 0.501545 0.5 0.501544 0.5 0.501944 0.5 0.503355 0.500002 0.513056 0.512906 0.499996 0.503276 0.499999 0.501945 0.5 0.501652 0.5 0.501944 0.5 0.503272 0.500002 0.512872 0.512906 0.499996 0.503359 0.499999 0.502087 0.5 0.502087 0.5 0.503356 0.500002 0.512872 0.51309 0.499996 0.503563 0.499999 0.502449 0.5 0.50356 0.500002 0.513056 0.513462 0.499997 0.503691 0.5 0.503689 0.500002 0.513428 0.513351 0.499998 0.503621 0.500002 0.513317 0.509732 0.500013 0.509692
0.413236 0.509732 0.499998 0.503621 0.500002 0.509692 0.500013 0.5 0.503689 0.500002 0.513317 0.5 0.50356 0.500002 0.513428 0.5 0.503356 0.500002 0.513056 0.5 0.503272 0.500002 0.512872 0.5 0.503355 0.500002 0.512872 0.500001 0.503559 0.500002 0.513056 0.5 0.503688 0.500002 0.513428 0.5 0.50362 0.5 0.513317 0.5 0.509699 0.499973 0.509699 0.513351 0.499997 0.503691 0.499999 0.502449 0.5 0.502087 0.5 0.501944 0.5 0.501944 0.5 0.502086 0.5 0.502448 0.5 0.503688 0.500002 0.513317 0.513462 0.499996 0.503563 0.499999 0.502087 0.5 0.501652 0.5 0.501544 0.5 0.501652 0.5 0.502086 0.500001 0.503559 0.500002 0.513428 0.513091 0.499996 0.503359 0.499999 0.501945 0.5 0.501545 0.5 0.501544 0.5 0.501944 0.5 0.503355 0.500002 0.513056 0.512907 0.499996 0.503276 0.499999 0.501945 0.5 0.501652 0.5 0.501944 0.5 0.503272 0.500002 0.512872 0.512907 0.499996 0.503359 0.499999 0.502087 0.5 0.502087 0.5 0.503356 0.500002 0.512872 0.513091 0.499996 0.503563 0.499999 0.502449 0.5 0.50356 0.500002 0.513056 0.513462 0.499997 0.503691 0.5 0.503689 0.500002 0.513428 0.513351 0.499998 0.503621 0.500002 0.513317 0.509732 0.500013 0.509692
0.413316 0.509732 0.499998 0.503621 0.500002 0.509692 0.500013 0.5 0.503689 0.500002 0.513317 0.5 0.50356 0.500002 0.513428 0.5 0.503356 0.500002 0.513056 0.5 0.503272 0.500002 0.512872 0.5 0.503355 0.500002 0.512872 0.500001 0.503559 0.500002 0.513056 0.5 0.503688 0.500002 0.513428 0.5 0.50362 0.5 0.513317 0.5 0.509699 0.499973 0.509699 0.513351 0.499997 0.503691 0.499999 0.502449 0.5 0.502087 0.5 0.501944 0.5 0.501944 0.5 0.502086 0.5 0.502448 0.5 0.503688 0.500002 0.513317 0.513462 0.499996 0.503563 0.499999 0.502087 0.5 0.501652 0.5 0.501544 0.5 0.501652 0.5 0.502086 0.500001 0.503559 0.500002 0.513428 0.513091 0.499996 0.503359 0.499999 0.501945 0.5 0.501545 0.5 0.501544 0.5 0.501944 0.5 0.503355 0.500002 0.513056 0.512907 0.499996 0.503276 0.499999 0.501945 0.5 0.501652 0.5 0.501944 0.5 0.503272 0.500002 0.512872 0.512907 0.499996 0.503359 0.499999 0.502087 0.5 0.502087 0.5 0.503356 0.500002 0.512872 0.513091 0.499996 0.503563 0.499999 0.502449 0.5 0.50356 0.500002 0.513056 0.513462 0.499997 0.503691 0.5 0.503689 0.500002 0.513428 0.513351 0.499998 0.503621 0.500002 0.513317 0.509732 0.500013 0.509692
