# t  B_z_curl_0  B_z_curl_1  B_z_curl_2  B_z_curl_3  B_z_curl_4  B_z_curl_5  B_z_curl_6  B_z_curl_7  B_z_curl_8  B_z_curl_9  B_z_curl_10  B_z_curl_11  B_z_curl_12  B_z_curl_13  B_z_curl_14  B_z_curl_15  B_z_curl_16  B_z_curl_17  B_z_curl_18  B_z_curl_19  B_z_curl_20  B_z_curl_21  B_z_curl_22  B_z_curl_23  B_z_curl_24  B_z_curl_25  B_z_curl_26  B_z_curl_27  B_z_curl_28  B_z_curl_29  B_z_curl_30  B_z_curl_31  B_z_curl_32  B_z_curl_33  B_z_curl_34  B_z_curl_35  B_z_curl_36  B_z_curl_37  B_z_curl_38  B_z_curl_39  B_z_curl_40  B_z_curl_41  B_z_curl_42  B_z_curl_43  B_z_curl_44  B_z_curl_45
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.01 -3.51267e-15 2.61248e-15 -2.86447e-15 -2.28187e-15 4.27469e-15 0 3.16595e-16 -2.5783e-15 -2.02505e-15 0 -5.09825e-17 -1.65108e-15 -1.56141e-15 0 -5.74022e-17 -4.01601e-22 -6.54831e-16 0 6.5483e-16 -3.26497e-15 3.26497e-15 0 -7.33228e-15 3.21864e-15 -1.91681e-15 9.58404e-16 2.46834e-16 8.13533e-16 3.41696e-15 1.56141e-15 0 -6.40499e-15 3.64999e-15 -2.59193e-16 1.6086e-15 3.38467e-15 2.02505e-15 0 -4.78098e-15 3.79554e-15 2.13775e-15 2.28187e-15 0 -1.00972e-15 -4.27469e-15 0
0.055 -1.93133e-14 1.4364e-14 -1.57495e-14 -1.25463e-14 2.35034e-14 0 1.74091e-15 -1.41763e-14 -1.11343e-14 0 -2.80161e-16 -9.07798e-15 -8.58511e-15 0 -3.1563e-16 -2.19714e-21 -3.60051e-15 0 3.6005e-15 -1.79517e-14 1.79517e-14 0 -4.03146e-14 1.76969e-14 -1.05391e-14 5.26956e-15 1.3567e-15 4.47318e-15 1.87872e-14 8.58512e-15 0 -3.52163e-14 2.00686e-14 -1.42528e-15 8.84458e-15 1.86098e-14 1.11343e-14 0 -2.62868e-14 2.08685e-14 1.17534e-14 1.25463e-14 0 -5.55176e-15 -2.35034e-14 0
0.2575 -9.01672e-14 6.70732e-14 -7.35486e-14 -5.85899e-14 1.09771e-13 0 8.14932e-15 -6.62136e-14 -5.20002e-14 0 -1.29279e-15 -4.23875e-14 -4.01029e-14 0 -1.47587e-15 -1.00485e-20 -1.68224e-14 0 1.68224e-14 -8.38362e-14 8.38362e-14 0 -1.88259e-13 8.26402e-14 -4.92207e-14 2.46104e-14 6.28937e-15 2.09065e-14 8.77266e-14 4.01029e-14 0 -1.64464e-13 9.37211e-14 -6.67347e-15 4.13163e-14 8.69104e-14 5.20002e-14 0 -1.22734e-13 9.74281e-14 5.48394e-14 5.85899e-14 0 -2.59344e-14 -1.09771e-13 0
0.703497 -2.42948e-13 1.80951e-13 -1.98525e-13 -1.58152e-13 2.96521e-13 0 2.23556e-14 -1.78948e-13 -1.4044e-13 0 -3.20433e-15 -1.14309e-13 -1.08456e-13 0 -4.01928e-15 -2.55937e-20 -4.55637e-14 0 4.55636e-14 -2.26366e-13 2.26366e-13 0 -5.08042e-13 2.23026e-13 -1.32934e-13 6.64672e-14 1.61257e-14 5.67501e-14 2.36656e-13 1.08456e-13 0 -4.44075e-13 2.53032e-13 -1.83364e-14 1.11763e-13 2.3468e-13 1.4044e-13 0 -3.30873e-13 2.6251e-13 1.47149e-13 1.58152e-13 0 -7.01545e-14 -2.96521e-13 0
1.14949 -3.87339e-13 2.89209e-13 -3.17627e-13 -2.53049e-13 4.75113e-13 0 3.68938e-14 -2.87006e-13 -2.24939e-13 0 -4.23699e-15 -1.82556e-13 -1.74174e-13 0 -6.54482e-15 -3.83253e-20 -7.33858e-14 0 7.33857e-14 -3.62399e-13 3.62399e-13 0 -8.12478e-13 3.56697e-13 -2.1292e-13 1.0646e-13 2.3137e-14 9.17966e-14 3.78202e-13 1.74174e-13 0 -7.10948e-13 4.05016e-13 -3.03491e-14 1.79563e-13 3.75757e-13 2.24939e-13 0 -5.28066e-13 4.1852e-13 2.32691e-13 2.53049e-13 0 -1.12714e-13 -4.75113e-13 0
1.59549 -5.18846e-13 3.88845e-13 -4.27756e-13 -3.40817e-13 6.41258e-13 0 5.19968e-14 -3.87957e-13 -3.03418e-13 0 -3.89978e-15 -2.45168e-13 -2.3588e-13 0 -9.05708e-15 -4.73761e-20 -9.98188e-14 0 9.98186e-14 -4.88513e-13 4.88513e-13 0 -1.09343e-12 4.80082e-13 -2.87197e-13 1.43598e-13 2.57221e-14 1.25676e-13 5.08451e-13 2.3588e-13 0 -9.58354e-13 5.45809e-13 -4.29399e-14 2.43339e-13 5.06641e-13 3.03418e-13 0 -7.08441e-13 5.60594e-13 3.07782e-13 3.40817e-13 0 -1.52746e-13 -6.41258e-13 0
2.04149 -6.33406e-13 4.77115e-13 -5.26097e-13 -4.19224e-13 7.91029e-13 0 6.7866e-14 -4.79595e-13 -3.73966e-13 0 -1.78116e-15 -3.0036e-13 -2.92296e-13 0 -1.15716e-14 -5.20059e-20 -1.24418e-13 0 1.24418e-13 -6.01593e-13 6.01593e-13 0 -1.34348e-12 5.89911e-13 -3.53934e-13 1.76967e-13 2.24877e-14 1.58041e-13 6.23863e-13 2.92296e-13 0 -1.18014e-12 6.719e-13 -5.62946e-14 3.01806e-13 6.24182e-13 3.73966e-13 0 -8.66636e-13 6.84327e-13 3.69144e-13 4.19224e-13 0 -1.89436e-13 -7.91029e-13 0
2.48749 -7.2752e-13 5.51606e-13 -6.10207e-13 -4.86332e-13 9.20974e-13 0 8.46612e-14 -5.60003e-13 -4.349e-13 0 2.42671e-15 -3.46575e-13 -3.42268e-13 0 -1.41183e-14 -5.14076e-20 -1.46773e-13 0 1.46772e-13 -6.98929e-13 6.98929e-13 0 -1.55618e-12 6.8331e-13 -4.11489e-13 2.05744e-13 1.23109e-14 1.8858e-13 7.21385e-13 3.42268e-13 0 -1.37092e-12 7.80238e-13 -7.0543e-14 3.53802e-13 7.25682e-13 4.349e-13 0 -9.97966e-13 7.85919e-13 4.1403e-13 4.86332e-13 0 -2.22046e-13 -9.20975e-13 0
2.9563 -8.01324e-13 6.12856e-13 -6.81098e-13 -5.42968e-13 1.03305e-12 0 1.03432e-13 -6.30704e-13 -4.87038e-13 0 9.30305e-15 -3.84075e-13 -3.86754e-13 0 -1.6883e-14 -4.45619e-20 -1.67447e-13 0 1.67446e-13 -7.81838e-13 7.81838e-13 0 -1.73368e-12 7.61151e-13 -4.60543e-13 2.30271e-13 -6.74405e-15 2.18409e-13 8.01916e-13 3.86754e-13 0 -1.53312e-12 8.72247e-13 -8.65493e-14 4.00371e-13 8.12729e-13 4.87038e-13 0 -1.10282e-12 8.65482e-13 4.4114e-13 5.42968e-13 0 -2.51212e-13 -1.03305e-12 0
