# t  B_z_sc_0  B_z_sc_1  B_z_sc_2  B_z_sc_3  B_z_sc_4  B_z_sc_5  B_z_sc_6  B_z_sc_7  B_z_sc_8  B_z_sc_9  B_z_sc_10  B_z_sc_11  B_z_sc_12  B_z_sc_13  B_z_sc_14  B_z_sc_15  B_z_sc_16  B_z_sc_17  B_z_sc_18  B_z_sc_19  B_z_sc_20  B_z_sc_21  B_z_sc_22  B_z_sc_23  B_z_sc_24  B_z_sc_25  B_z_sc_26  B_z_sc_27  B_z_sc_28  B_z_sc_29  B_z_sc_30  B_z_sc_31  B_z_sc_32  B_z_sc_33  B_z_sc_34  B_z_sc_35  B_z_sc_36  B_z_sc_37  B_z_sc_38  B_z_sc_39  B_z_sc_40  B_z_sc_41  B_z_sc_42  B_z_sc_43  B_z_sc_44  B_z_sc_45
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.01 -3.41982e-15 -2.34547e-15 -2.98233e-15 -5.39892e-15 -6.82824e-15 -4.99026e-15 -2.17749e-15 -2.7841e-15 -5.61101e-15 -7.89146e-15 -1.46034e-15 -1.85146e-15 -4.87108e-15 -7.66763e-15 -6.42049e-22 -4.97273e-22 -3.05345e-15 -6.52582e-15 3.05345e-15 3.40842e-15 -2.65049e-23 -3.40842e-15 -1.36564e-15 -7.39928e-16 -9.32642e-16 -7.44375e-22 -7.23538e-22 1.46034e-15 1.85146e-15 4.87108e-15 6.52582e-15 -2.68006e-22 7.39927e-16 9.32641e-16 2.17749e-15 2.7841e-15 5.61101e-15 7.66763e-15 1.36564e-15 2.34547e-15 2.98232e-15 5.39892e-15 7.89146e-15 3.41982e-15 4.99026e-15 6.82824e-15
0.055 -1.88028e-14 -1.28958e-14 -1.63975e-14 -2.96844e-14 -3.75432e-14 -2.74374e-14 -1.19724e-14 -1.53077e-14 -3.08508e-14 -4.33892e-14 -8.0293e-15 -1.01798e-14 -2.67825e-14 -4.21587e-14 -3.53205e-21 -2.72913e-21 -1.67886e-14 -3.58806e-14 1.67886e-14 1.87404e-14 -1.38153e-22 -1.87404e-14 -7.50859e-15 -4.06831e-15 -5.12788e-15 -4.09004e-21 -3.9787e-21 8.02929e-15 1.01798e-14 2.67825e-14 3.58806e-14 -1.46857e-21 4.0683e-15 5.12788e-15 1.19724e-14 1.53077e-14 3.08508e-14 4.21587e-14 7.50859e-15 1.28958e-14 1.63975e-14 2.96844e-14 4.33892e-14 1.88028e-14 2.74374e-14 3.75432e-14
0.2575 -8.77813e-14 -6.02075e-14 -7.65646e-14 -1.38607e-13 -1.75304e-13 -1.28105e-13 -5.59093e-14 -7.14863e-14 -1.44079e-13 -2.02625e-13 -3.74951e-14 -4.75406e-14 -1.2508e-13 -1.96892e-13 -1.655e-20 -1.26702e-20 -7.83991e-14 -1.67565e-13 7.83991e-14 8.75229e-14 -4.95355e-22 -8.75229e-14 -3.50604e-14 -1.89988e-14 -2.39457e-14 -1.9041e-20 -1.85755e-20 3.7495e-14 4.75406e-14 1.2508e-13 1.67565e-13 -6.72725e-21 1.89988e-14 2.39457e-14 5.59094e-14 7.14864e-14 1.44079e-13 1.96892e-13 3.50604e-14 6.02075e-14 7.65646e-14 1.38607e-13 2.02625e-13 8.77813e-14 1.28105e-13 1.75304e-13
0.703497 -2.36473e-13 -1.62246e-13 -2.06487e-13 -3.73833e-13 -4.7285e-13 -3.45339e-13 -1.50908e-13 -1.92979e-13 -3.89065e-13 -5.46973e-13 -1.01192e-13 -1.28361e-13 -3.37777e-13 -5.31746e-13 -4.48706e-20 -3.34656e-20 -2.11587e-13 -4.52408e-13 2.11587e-13 2.36377e-13 -4.1864e-22 -2.36377e-13 -9.4565e-14 -5.12873e-14 -6.46177e-14 -5.11404e-20 -5.01812e-20 1.01192e-13 1.28361e-13 3.37777e-13 4.52408e-13 -1.74574e-20 5.12873e-14 6.46176e-14 1.50908e-13 1.92979e-13 3.89065e-13 5.31746e-13 9.45651e-14 1.62246e-13 2.06487e-13 3.73833e-13 5.46973e-13 2.36473e-13 3.45339e-13 4.7285e-13
1.14949 -3.76873e-13 -2.58746e-13 -3.29808e-13 -5.97171e-13 -7.55469e-13 -5.51119e-13 -2.41428e-13 -3.0882e-13 -6.22987e-13 -8.75242e-13 -1.61854e-13 -2.0549e-13 -5.40912e-13 -8.51655e-13 -7.18752e-20 -5.20939e-20 -3.38426e-13 -7.24164e-13 3.38426e-13 3.78596e-13 8.54069e-22 -3.78596e-13 -1.51078e-13 -8.20743e-14 -1.0333e-13 -8.13725e-20 -8.0254e-20 1.61853e-13 2.0549e-13 5.40912e-13 7.24164e-13 -2.67461e-20 8.20742e-14 1.0333e-13 2.41428e-13 3.0882e-13 6.22987e-13 8.51655e-13 1.51078e-13 2.58746e-13 3.29808e-13 5.97171e-13 8.75242e-13 3.76873e-13 5.51118e-13 7.55469e-13
1.59549 -5.04543e-13 -3.46751e-13 -4.43018e-13 -8.02295e-13 -1.01521e-12 -7.39324e-13 -3.25098e-13 -4.16025e-13 -8.40012e-13 -1.17892e-12 -2.17876e-13 -2.76981e-13 -7.29439e-13 -1.14874e-12 -9.66574e-20 -6.76639e-20 -4.55544e-13 -9.75904e-13 4.55544e-13 5.10672e-13 3.437e-21 -5.10672e-13 -2.03014e-13 -1.10573e-13 -1.39044e-13 -1.0905e-19 -1.08055e-19 2.17876e-13 2.76981e-13 7.29439e-13 9.75904e-13 -3.44268e-20 1.10573e-13 1.39043e-13 3.25099e-13 4.16025e-13 8.40012e-13 1.14874e-12 2.03014e-13 3.46751e-13 4.43018e-13 8.02295e-13 1.17892e-12 5.04543e-13 7.39324e-13 1.01521e-12
2.04149 -6.1548e-13 -4.23603e-13 -5.42944e-13 -9.83465e-13 -1.24486e-12 -9.04413e-13 -3.99758e-13 -5.11883e-13 -1.03482e-12 -1.45023e-12 -2.6781e-13 -3.41067e-13 -8.98741e-13 -1.41578e-12 -1.1817e-19 -7.93112e-20 -5.59862e-13 -1.20128e-12 5.59862e-13 6.29381e-13 7.49056e-21 -6.29381e-13 -2.48949e-13 -1.36075e-13 -1.70816e-13 -1.33468e-19 -1.3281e-19 2.6781e-13 3.41067e-13 8.98741e-13 1.20128e-12 -4.02103e-20 1.36075e-13 1.70816e-13 3.99758e-13 5.11884e-13 1.03482e-12 1.41578e-12 2.48949e-13 4.23602e-13 5.42944e-13 9.83464e-13 1.45022e-12 6.1548e-13 9.04413e-13 1.24486e-12
2.48749 -7.0626e-13 -4.87028e-13 -6.26849e-13 -1.13571e-12 -1.43813e-12 -1.0416e-12 -4.6352e-13 -5.94036e-13 -1.20274e-12 -1.68235e-12 -3.10403e-13 -3.96207e-13 -1.04476e-12 -1.64645e-12 -1.35551e-19 -8.62949e-20 -6.48679e-13 -1.39469e-12 6.48679e-13 7.31868e-13 1.31735e-20 -7.31868e-13 -2.87663e-13 -1.57978e-13 -1.97829e-13 -1.54148e-19 -1.53949e-19 3.10403e-13 3.96207e-13 1.04476e-12 1.39469e-12 -4.38917e-20 1.57978e-13 1.97829e-13 4.6352e-13 5.94036e-13 1.20274e-12 1.64645e-12 2.87663e-13 4.87028e-13 6.26849e-13 1.13571e-12 1.68235e-12 7.0626e-13 1.0416e-12 1.43813e-12
2.9563 -7.76964e-13 -5.37247e-13 -6.95359e-13 -1.26013e-12 -1.59645e-12 -1.15148e-12 -5.17095e-13 -6.63501e-13 -1.34606e-12 -1.87795e-12 -3.46151e-13 -4.43142e-13 -1.16947e-12 -1.8439e-12 -1.48418e-19 -8.80052e-20 -7.22878e-13 -1.55844e-12 7.22878e-13 8.19483e-13 2.10186e-20 -8.19483e-13 -3.19512e-13 -1.76598e-13 -2.2036e-13 -1.71403e-19 -1.71647e-19 3.46151e-13 4.43142e-13 1.16947e-12 1.55844e-12 -4.53022e-20 1.76597e-13 2.2036e-13 5.17095e-13 6.63502e-13 1.34606e-12 1.8439e-12 3.19513e-13 5.37247e-13 6.95359e-13 1.26013e-12 1.87795e-12 7.76963e-13 1.15148e-12 1.59645e-12
3.42512 -8.20127e-13 -5.69158e-13 -7.41869e-13 -1.34465e-12 -1.70447e-12 -1.22296e-12 -5.55551e-13 -7.14016e-13 -1.45203e-12 -2.01905e-12 -3.71809e-13 -4.77699e-13 -1.26171e-12 -1.9906e-12 -1.54901e-19 -8.33923e-20 -7.75495e-13 -1.67753e-12 7.75495e-13 8.8434e-13 3.0952e-20 -8.8434e-13 -3.41518e-13 -1.90322e-13 -2.36317e-13 -1.83637e-19 -1.8419e-19 3.71809e-13 4.77699e-13 1.26171e-12 1.67753e-12 -4.39414e-20 1.90322e-13 2.36317e-13 5.55552e-13 7.14017e-13 1.45203e-12 1.9906e-12 3.41518e-13 5.69158e-13 7.41869e-13 1.34465e-12 2.01905e-12 8.20127e-13 1.22296e-12 1.70447e-12
