# time   dipole_moment
0 -0
0.01 -5.79497e-11
0.055 -1.75526e-09
0.2575 -3.866e-08
1.16875 -8.10281e-07
5.26937 -1.63734e-05
8.95602 -4.25483e-05
12.8536 -7.29185e-05
17.1487 -0.000101772
21.4438 -0.000125471
25.7388 -0.000147955
30.0339 -0.000171751
34.329 -0.000196022
38.6241 -0.000218402
43.0749 -0.00023795
47.5258 -0.000253964
51.9766 -0.000268182
56.4275 -0.000282789
60.8783 -0.000299208
65.3292 -0.000317571
69.3262 -0.00033496
73.3233 -0.000352116
77.3204 -0.000368067
81.3175 -0.000382232
85.3146 -0.00039446
89.3116 -0.000405085
93.3087 -0.000414994
97.3058 -0.000425305
101.303 -0.0004368
105.3 -0.000449622
108.802 -0.000461726
112.305 -0.000474522
116.001 -0.000488872
119.697 -0.000504071
123.393 -0.000519559
127.089 -0.000534468
130.785 -0.000548328
134.063 -0.000559815
137.341 -0.000570679
140.55 -0.000580706
143.76 -0.000590067
147.307 -0.000599618
150.855 -0.00060842
154.402 -0.000616734
157.949 -0.000624975
161.497 -0.000633522
165.044 -0.000642469
168.592 -0.000651507
171.774 -0.000659215
174.956 -0.000666131
178.255 -0.000672284
181.555 -0.000677554
184.854 -0.0006824
188.153 -0.000687388
191.453 -0.000692867
194.752 -0.000698734
198.051 -0.000704517
201.35 -0.000709609
204.65 -0.000713496
207.949 -0.00071601
210.833 -0.000717317
213.717 -0.00071817
216.842 -0.000718891
219.967 -0.000719467
223.092 -0.000719773
226.218 -0.000719653
229.343 -0.000719114
232.468 -0.000718394
235.594 -0.000717796
238.339 -0.000717504
241.084 -0.000717465
243.817 -0.000717684
246.55 -0.000718114
249.207 -0.00071859
251.969 -0.000718946
254.553 -0.000719001
257.284 -0.000718681
259.863 -0.000717984
262.595 -0.000716807
265.269 -0.000715172
268.043 -0.000712862
270.8 -0.000709799
273.557 -0.000705914
276.25 -0.000701439
279.044 -0.00069633
281.766 -0.000691132
284.488 -0.000685862
287.199 -0.000680588
290.01 -0.00067508
292.667 -0.000669826
295.46 -0.000664307
298.02 -0.000659284
300.803 -0.00065377
303.359 -0.000648454
306.128 -0.00064218
308.693 -0.000635725
311.465 -0.000627933
314.05 -0.000619825
316.841 -0.00061013
319.462 -0.00060019
322.27 -0.000588766
324.903 -0.000577467
327.738 -0.000564847
330.457 -0.000552525
333.336 -0.000539497
336.166 -0.000526878
339.099 -0.000514021
342.267 -0.000500293
345.434 -0.000486711
348.602 -0.000473499
351.77 -0.000460947
354.937 -0.000449105
358.105 -0.000437797
361.273 -0.000426833
364.44 -0.000415947
367.608 -0.000404672
370.776 -0.000392583
373.943 -0.00037958
376.734 -0.000367391
379.524 -0.000354432
382.223 -0.000341062
385.026 -0.000326321
387.647 -0.000311852
390.421 -0.000295929
393.007 -0.000280588
395.755 -0.000263863
398.393 -0.000247538
401.152 -0.000230331
403.856 -0.000213414
406.56 -0.000196472
409.294 -0.000179303
412.028 -0.000162005
414.79 -0.000144206
417.552 -0.000125862
420.675 -0.00010427
423.798 -8.17595e-05
426.921 -5.86293e-05
430.044 -3.54867e-05
433.167 -1.29777e-05
436.29 8.53819e-06
439.413 2.89978e-05
442.536 4.84958e-05
445.659 6.73064e-05
448.782 8.58501e-05
451.905 0.000104434
455.028 0.000123127
458.151 0.000141899
461.274 0.000160664
464.397 0.000179272
467.52 0.000197713
470.643 0.000216246
473.766 0.000235217
476.568 0.000252842
479.37 0.00027118
482.122 0.000289859
484.875 0.000308969
487.63 0.000328289
490.482 0.000348458
493.236 0.000368258
495.99 0.000388501
498.729 0.000409125
501.467 0.000430271
504.576 0.000454735
507.685 0.000479123
510.794 0.000502827
513.511 0.000522824
516.228 0.000542221
518.953 0.000561132
521.679 0.000579529
524.356 0.000597146
527.033 0.000614345
529.615 0.000630544
532.356 0.000647406
534.95 0.000663229
537.675 0.000679852
540.292 0.000695805
543.011 0.00071225
545.648 0.000727975
548.284 0.000743438
550.929 0.000758683
553.575 0.000773738
556.273 0.000789076
558.971 0.000804552
561.995 0.000822067
565.02 0.000839595
568.044 0.000856911
571.068 0.000873794
574.093 0.000890077
577.117 0.000905735
580.141 0.000920858
583.166 0.000935569
586.19 0.000950022
589.214 0.00096437
592.239 0.000978687
595.263 0.000992979
598.287 0.00100725
601.311 0.00102147
603.991 0.00103398
606.67 0.00104639
609.463 0.00105919
612.255 0.00107173
615.048 0.00108375
617.84 0.00109504
620.633 0.00110553
