# self-consistent UHF magnetization
# U_eV=11.2 S_total=1.5 sum_abs_m=15.4377 gap_eV=0.127573 converged=1 iters=2171
# site  x  y  sublattice  n_up  n_dn  m_i=0.5*(n_up-n_dn)
0 -8.0559 9.30215 1 0.88096 0.192547 0.344206
1 -6.71325 6.97662 -1 0.166909 0.817524 -0.325308
2 -4.02795 6.97662 1 0.837812 0.166959 0.335426
3 -2.6853 9.30215 -1 0.166909 0.817524 -0.325308
4 -4.02795 11.6277 1 0.88096 0.192547 0.344206
5 -6.71325 11.6277 -1 0.128714 0.865896 -0.368591
6 -2.6853 4.65108 -1 0.165941 0.818296 -0.326178
7 5e-07 4.65108 1 0.829685 0.240523 0.294581
8 1.34265 6.97662 -1 0.167231 0.818852 -0.325811
9 5e-07 9.30215 1 0.887202 0.175348 0.355927
10 1.34265 2.32554 -1 0.165805 0.817689 -0.325942
11 4.02795 2.32554 1 0.829685 0.240523 0.294581
12 5.3706 4.65108 -1 0.167231 0.818852 -0.325811
13 4.02795 6.97662 1 0.892301 0.118606 0.386847
14 5.3706 -1.08696e-07 -1 0.165941 0.818296 -0.326178
15 8.0559 -1.08696e-07 1 0.837812 0.166959 0.335426
16 9.39855 2.32554 -1 0.166909 0.817524 -0.325308
17 8.0559 4.65108 1 0.887202 0.175348 0.355927
18 9.39855 -2.32554 -1 0.166909 0.817524 -0.325308
19 12.0839 -2.32554 1 0.88096 0.192547 0.344206
20 13.4265 -1.08696e-07 -1 0.128714 0.865896 -0.368591
21 12.0839 2.32554 1 0.88096 0.192547 0.344206
22 -8.0559 4.65108 1 0.887202 0.175348 0.355927
23 -6.71325 2.32554 -1 0.167231 0.818852 -0.325811
24 -4.02795 2.32554 1 0.829685 0.240523 0.294581
25 -2.6853 -1.08696e-07 -1 0.165805 0.817689 -0.325942
26 5e-07 -1.08696e-07 1 0.836358 0.168887 0.333735
27 1.34265 -2.32554 -1 0.165805 0.817689 -0.325942
28 4.02795 -2.32554 1 0.829685 0.240523 0.294581
29 5.3706 -4.65108 -1 0.167231 0.818852 -0.325811
30 8.0559 -4.65108 1 0.887202 0.175348 0.355927
31 -8.0559 -1.08696e-07 1 0.892301 0.118606 0.386847
32 -6.71325 -2.32554 -1 0.167231 0.818852 -0.325811
33 -4.02795 -2.32554 1 0.829685 0.240523 0.294581
34 -2.6853 -4.65108 -1 0.165941 0.818296 -0.326178
35 5e-07 -4.65108 1 0.829685 0.240523 0.294581
36 1.34265 -6.97662 -1 0.167231 0.818852 -0.325811
37 4.02795 -6.97662 1 0.892301 0.118606 0.386847
38 -8.0559 -4.65108 1 0.887202 0.175348 0.355927
39 -6.71325 -6.97662 -1 0.166909 0.817524 -0.325308
40 -4.02795 -6.97662 1 0.837812 0.166959 0.335426
41 -2.6853 -9.30216 -1 0.166909 0.817524 -0.325308
42 5e-07 -9.30216 1 0.887202 0.175348 0.355927
43 -8.0559 -9.30216 1 0.88096 0.192547 0.344206
44 -6.71325 -11.6277 -1 0.128714 0.865896 -0.368591
45 -4.02795 -11.6277 1 0.88096 0.192547 0.344206
