# time   dipole_moment
0 -0
0.01 -5.79722e-11
0.055 -1.75526e-09
0.2575 -3.866e-08
1.16875 -8.10281e-07
5.26937 -1.63734e-05
8.95577 -4.25463e-05
12.8531 -7.29148e-05
17.1479 -0.000101767
21.4426 -0.000125465
25.7374 -0.000147947
30.0322 -0.000171741
34.3269 -0.000196011
38.6217 -0.00021839
43.0721 -0.000237939
47.5225 -0.000253953
51.9729 -0.00026817
56.4233 -0.000282775
60.8737 -0.00029919
65.3241 -0.00031755
69.3225 -0.000334944
73.3209 -0.000352105
77.3192 -0.000368063
81.3176 -0.000382233
85.316 -0.000394464
89.3143 -0.000405091
93.3127 -0.000415004
97.3111 -0.000425319
101.309 -0.00043682
105.308 -0.000449648
108.809 -0.000461751
112.311 -0.000474545
116.005 -0.000488891
119.7 -0.000504083
123.394 -0.000519565
127.089 -0.000534467
130.783 -0.000548321
134.062 -0.000559813
137.341 -0.000570681
140.551 -0.000580707
143.76 -0.000590068
147.307 -0.000599618
150.855 -0.00060842
154.402 -0.000616733
157.949 -0.000624974
161.496 -0.000633521
165.043 -0.000642467
168.591 -0.000651505
171.773 -0.000659213
174.955 -0.000666129
178.255 -0.000672282
181.554 -0.000677553
184.853 -0.000682399
188.153 -0.000687388
191.452 -0.000692866
194.752 -0.000698734
198.051 -0.000704518
201.351 -0.000709609
204.65 -0.000713497
207.949 -0.000716011
210.833 -0.000717317
213.716 -0.00071817
216.842 -0.000718891
219.967 -0.000719467
223.092 -0.000719773
226.217 -0.000719653
229.342 -0.000719114
232.468 -0.000718394
235.593 -0.000717797
238.338 -0.000717504
241.083 -0.000717465
243.816 -0.000717684
246.549 -0.000718114
249.207 -0.00071859
251.968 -0.000718946
254.552 -0.000719002
257.283 -0.000718681
259.862 -0.000717984
262.594 -0.000716807
265.268 -0.000715173
268.042 -0.000712863
270.8 -0.0007098
273.557 -0.000705914
276.25 -0.000701439
279.044 -0.00069633
281.766 -0.000691132
284.488 -0.000685863
287.199 -0.000680589
290.009 -0.000675081
292.667 -0.000669827
295.459 -0.000664309
298.019 -0.000659286
300.802 -0.000653771
303.359 -0.000648456
306.127 -0.000642182
308.692 -0.000635726
311.464 -0.000627935
314.049 -0.000619827
316.84 -0.000610133
319.461 -0.000600192
322.27 -0.000588769
324.903 -0.00057747
327.737 -0.000564851
330.456 -0.000552529
333.335 -0.000539501
336.165 -0.000526883
339.098 -0.000514027
342.265 -0.000500299
345.433 -0.000486717
348.601 -0.000473505
351.768 -0.000460952
354.936 -0.00044911
358.104 -0.000437801
361.271 -0.000426837
364.439 -0.000415952
367.607 -0.000404676
370.774 -0.000392588
373.942 -0.000379585
376.732 -0.000367397
379.522 -0.000354439
382.222 -0.000341068
385.025 -0.000326328
387.646 -0.000311861
390.42 -0.000295938
393.005 -0.000280599
395.753 -0.000263876
398.39 -0.000247553
401.149 -0.000230347
403.853 -0.000213432
406.556 -0.000196493
409.29 -0.000179328
412.023 -0.000162034
414.785 -0.000144242
417.546 -0.000125905
420.67 -0.000104306
423.794 -8.17881e-05
426.918 -5.86492e-05
430.043 -3.54974e-05
433.167 -1.29794e-05
436.291 8.54473e-06
439.415 2.90118e-05
442.539 4.85166e-05
445.664 6.73339e-05
448.788 8.58847e-05
451.912 0.000104476
455.036 0.000123177
458.16 0.000141956
461.284 0.000160728
464.409 0.000179343
467.533 0.000197791
470.657 0.000216331
473.781 0.000235313
476.582 0.000252935
479.384 0.000271271
482.132 0.000289923
484.879 0.000309003
487.636 0.000328335
490.488 0.000348504
493.242 0.000368303
495.996 0.000388545
498.737 0.000409186
501.477 0.00043035
504.582 0.000454781
507.687 0.000479134
510.791 0.000502805
513.511 0.000522823
516.23 0.000542239
518.956 0.000561149
521.681 0.000579543
