# t  J_up_x  J_up_y  J_dn_x  J_dn_y  J_spin_x  J_spin_y
0 0 0 0 0 0 0
0.01 -5.79676e-09 4.30456e-17 -5.79676e-09 4.06643e-17 1.76093e-17 2.38132e-18
0.055 -3.19362e-08 2.62945e-16 -3.19362e-08 1.9943e-16 7.75986e-16 6.3515e-17
0.2575 -1.50596e-07 1.81062e-15 -1.50596e-07 3.70749e-16 4.63148e-14 1.43987e-15
1.16875 -6.99724e-07 1.97789e-14 -6.99728e-07 -9.89054e-15 3.70984e-12 2.96695e-14
5.26937 -2.9748e-06 2.34815e-13 -2.9751e-06 -2.07713e-13 3.01393e-10 4.42529e-13
8.95577 -3.93641e-06 2.56961e-13 -3.93758e-06 -2.44749e-13 1.17423e-09 5.01709e-13
12.8531 -3.75341e-06 -9.00284e-14 -3.75574e-06 9.37313e-14 2.33609e-09 -1.8376e-13
17.1479 -3.04472e-06 -2.40535e-13 -3.04776e-06 2.54463e-13 3.04096e-09 -4.94998e-13
21.4426 -2.66476e-06 4.07715e-13 -2.66757e-06 -3.95045e-13 2.8121e-09 8.0276e-13
25.7374 -2.7459e-06 1.06582e-12 -2.74804e-06 -1.05489e-12 2.14031e-09 2.1207e-12
30.0322 -2.91783e-06 6.87282e-13 -2.91956e-06 -6.62225e-13 1.73012e-09 1.34951e-12
34.3269 -2.84901e-06 -7.07479e-13 -2.85087e-06 7.22742e-13 1.86338e-09 -1.43022e-12
38.6217 -2.51854e-06 -2.27906e-12 -2.52082e-06 2.27657e-12 2.27645e-09 -4.55563e-12
43.0721 -2.08505e-06 -3.26871e-12 -2.08757e-06 3.27783e-12 2.5144e-09 -6.54654e-12
47.5225 -1.77189e-06 -3.47669e-12 -1.77418e-06 3.49559e-12 2.29063e-09 -6.97229e-12
51.9729 -1.70401e-06 -3.04811e-12 -1.70573e-06 3.06599e-12 1.72769e-09 -6.11411e-12
56.4233 -1.85686e-06 -2.07582e-12 -1.85805e-06 2.09257e-12 1.18388e-09 -4.16839e-12
60.8737 -2.09969e-06 -8.19974e-13 -2.10065e-06 8.1606e-13 9.54395e-10 -1.63603e-12
65.3241 -2.28929e-06 5.31333e-13 -2.29037e-06 -5.36437e-13 1.08497e-09 1.06777e-12
69.3225 -2.33671e-06 1.57433e-12 -2.33807e-06 -1.55128e-12 1.36052e-09 3.12561e-12
