# time   dipole_moment
0 -0
0.01 -8.2637e-11
0.055 -2.49949e-09
0.2575 -5.47028e-08
0.703497 -4.0558e-07
1.14949 -1.07076e-06
1.59549 -2.03057e-06
2.04149 -3.25749e-06
2.48749 -4.71703e-06
2.9563 -6.45762e-06
3.42512 -8.35795e-06
3.89393 -1.03615e-05
4.36275 -1.24094e-05
4.83156 -1.44428e-05
5.30038 -1.64041e-05
5.7692 -1.82395e-05
6.23801 -1.98999e-05
6.70683 -2.1343e-05
7.17564 -2.25339e-05
7.64446 -2.34466e-05
8.11327 -2.40641e-05
8.58209 -2.43791e-05
9.0509 -2.43937e-05
9.51972 -2.41194e-05
9.98853 -2.3576e-05
10.4573 -2.27913e-05
10.9262 -2.17995e-05
11.395 -2.06403e-05
11.8638 -1.93574e-05
12.3326 -1.79973e-05
12.8014 -1.66072e-05
13.2702 -1.52345e-05
13.7391 -1.39244e-05
14.2079 -1.27195e-05
14.6767 -1.16582e-05
15.1455 -1.07739e-05
15.6143 -1.00942e-05
16.0831 -9.64045e-06
16.552 -9.42725e-06
17.0208 -9.4624e-06
17.4896 -9.74692e-06
17.9584 -1.02753e-05
18.4272 -1.1036e-05
18.896 -1.20119e-05
19.3648 -1.31809e-05
19.8337 -1.4517e-05
20.3025 -1.59909e-05
20.7713 -1.7571e-05
21.2401 -1.92242e-05
21.7089 -2.09171e-05
22.1257 -2.24285e-05
22.5425 -2.39227e-05
22.9592 -2.53783e-05
23.376 -2.67757e-05
23.7928 -2.80972e-05
24.2096 -2.93273e-05
24.6263 -3.04529e-05
25.0431 -3.14636e-05
25.4599 -3.23519e-05
25.8767 -3.31128e-05
26.2934 -3.37443e-05
26.7102 -3.42472e-05
27.127 -3.46249e-05
27.5438 -3.48833e-05
27.9605 -3.50306e-05
28.3773 -3.5077e-05
28.7941 -3.50345e-05
29.2109 -3.49167e-05
29.6276 -3.47381e-05
30.0444 -3.45142e-05
30.4612 -3.4261e-05
30.878 -3.39945e-05
31.2947 -3.37306e-05
31.7115 -3.34847e-05
32.1283 -3.32714e-05
32.5451 -3.31041e-05
32.9618 -3.2995e-05
33.3786 -3.29549e-05
