# time   dipole_moment
0 -0
0.2 1.06517e-09
1.1 3.22e-08
5.15 7.02504e-07
23.375 1.3801e-05
39.1302 3.61386e-05
47.0628 5.11027e-05
60.9246 7.84772e-05
67.5973 9.57351e-05
78.4136 0.000124366
84.3599 0.000128605
92.5173 0.000168762
99.5726 0.000162665
106.628 0.000198934
112.853 0.000209197
119.079 0.00020603
125.305 0.000248232
131.53 0.000232998
137.756 0.000254369
143.982 0.000275107
150.207 0.000253317
155.559 0.000288128
160.911 0.000285538
166.638 0.000267676
172.365 0.000298888
178.091 0.000278584
183.818 0.00027079
189.544 0.000291027
195.271 0.000254958
200.415 0.000255812
205.558 0.000263253
210.702 0.000225619
215.845 0.000218195
220.989 0.000218941
226.133 0.000177573
231.276 0.000162288
236.42 0.000155677
241.563 0.000109645
246.707 8.68089e-05
251.851 7.25421e-05
256.994 2.12801e-05
262.138 -8.61839e-06
267.281 -3.02907e-05
272.425 -8.66819e-05
277.569 -0.000122626
282.712 -0.000150749
287.856 -0.000211486
292.999 -0.000252087
298.143 -0.000285447
303.287 -0.000349634
308.43 -0.000393638
313.574 -0.000431123
318.717 -0.000497827
323.861 -0.000543908
329.005 -0.00058422
333.598 -0.000645006
338.191 -0.000691536
342.784 -0.000724521
347.377 -0.000779365
351.97 -0.000834069
356.563 -0.000867789
361.156 -0.000913611
365.749 -0.0009713
370.342 -0.00100917
374.935 -0.00104626
379.529 -0.00110113
384.122 -0.001144
388.715 -0.00117465
393.308 -0.00122148
397.901 -0.00126744
402.494 -0.00129549
407.087 -0.00133176
411.68 -0.00137601
416.273 -0.00140315
420.866 -0.00142924
425.459 -0.00146831
430.052 -0.00149494
434.645 -0.00151047
439.239 -0.0015397
443.832 -0.00156676
448.425 -0.00157566
453.018 -0.00158968
457.611 -0.00161124
462.204 -0.00161851
466.797 -0.00162086
471.39 -0.00163
475.983 -0.00163079
480.576 -0.00162547
485.169 -0.00162583
489.762 -0.00161653
494.355 -0.00159678
498.949 -0.00158872
503.542 -0.00157775
508.135 -0.00154308
512.728 -0.00151364
517.321 -0.00150128
521.914 -0.00146789
526.507 -0.00141471
531.1 -0.00138185
535.693 -0.00135562
540.286 -0.0013003
544.879 -0.00123802
549.472 -0.00119749
554.066 -0.00115383
558.659 -0.00108426
562.754 -0.00101945
566.85 -0.00097052
570.946 -0.000925652
575.042 -0.000861137
579.138 -0.000780382
583.234 -0.00071357
587.329 -0.000666763
591.425 -0.000603724
595.521 -0.000508638
599.617 -0.000423628
603.713 -0.00037474
607.808 -0.000314806
611.904 -0.000207867
616 -0.000105726
620.096 -5.43042e-05
624.192 1.73337e-06
628.288 0.000117548
632.383 0.000234797
636.479 0.000289275
640.575 0.000341135
644.671 0.000462698
648.767 0.000592446
652.863 0.000650133
656.958 0.000697485
661.054 0.000821772
665.15 0.000961365
669.246 0.001022
673.342 0.0010642
677.437 0.00118846
681.533 0.00133537
685.629 0.001398
689.725 0.00143392
693.821 0.00155593
697.917 0.00170802
702.012 0.001771
706.108 0.00179887
710.204 0.0019168
714.3 0.00207219
718.396 0.0021333
722.492 0.00215123
726.587 0.00226388
730.683 0.00242057
734.779 0.00247665
738.875 0.0024828
742.971 0.00258995
747.067 0.00274604
751.162 0.00279325
755.258 0.00278579
759.354 0.00288786
763.45 0.00304154
767.546 0.00307612
771.641 0.00305411
775.737 0.00315195
779.833 0.00330089
783.929 0.00331928
788.025 0.00328331
792.121 0.00337854
796.216 0.00351954
800.312 0.0035178
804.408 0.00346938
808.504 0.00356418
812.6 0.00369361
816.696 0.00366752
820.791 0.00360816
824.887 0.00370422
828.983 0.0038184
833.079 0.00376479
837.175 0.00369626
841.27 0.00379393
845.366 0.00388875
849.462 0.00380622
853.558 0.00373132
857.654 0.00382945
861.75 0.00389982
865.845 0.0037885
869.941 0.00371132
874.037 0.0038078
878.133 0.00384775
882.229 0.0037087
886.325 0.00363418
890.42 0.00372664
894.516 0.0037301
898.612 0.00356465
902.708 0.00349743
906.804 0.0035835
910.899 0.00354583
914.995 0.00335598
919.091 0.0032991
923.187 0.00337571
927.283 0.00329465
931.379 0.00308406
935.474 0.00303847
939.57 0.00310084
943.666 0.00297644
947.762 0.00275122
951.858 0.00271644
955.954 0.00275776
960.049 0.00259151
964.145 0.0023599
968.241 0.00233483
972.337 0.00234724
976.433 0.00214161
980.529 0.00191278
984.624 0.00189575
988.72 0.00187147
992.816 0.00163002
996.912 0.00141291
1001.01 0.0014013
1005.1 0.00133362
1009.2 0.00106132
1013.3 0.00086354
1017.39 0.000853218
1021.03 0.000762366
1024.66 0.000508498
1028.3 0.000299229
1031.93 0.000258833
1035.57 0.000209334
1039.21 -1.56303e-05
1042.84 -0.00027681
1046.48 -0.000374093
1050.11 -0.000400088
1053.75 -0.000578384
1057.38 -0.000868846
1061.02 -0.00103583
1064.66 -0.00106279
1068.29 -0.00118394
1071.93 -0.00147335
1075.56 -0.0017123
1079.2 -0.00177127
1082.83 -0.00183857
1086.47 -0.00209225
1090.11 -0.00238763
1093.74 -0.00250862
1097.38 -0.00254481
1101.01 -0.0027354
1104.65 -0.00305244
1108.28 -0.0032505
1111.92 -0.00329367
1115.56 -0.00341505
1119.19 -0.00370983
1122.83 -0.00397368
1126.46 -0.00406136
1130.1 -0.00413462
1133.74 -0.00437422
1137.37 -0.00466872
1141.01 -0.00481737
1144.64 -0.00487858
1148.28 -0.00505676
1151.91 -0.00534282
1155.55 -0.00554127
1159.19 -0.00561857
1162.82 -0.00575157
