# mu corr_flux alpha_flux mean_rel_peak max_rel_peak mean_ratio_peak rms_flux_peak dynamic_range mean_rel_curl_peak
2.30 5.529779e-01 8.043838e-01 1.056000e+00 1.056001e+00 2.056000e+00 1.368393e-08 1.236678e+01 1.056000e+00
2.31 5.526967e-01 8.028331e-01 1.056000e+00 1.056001e+00 2.056000e+00 1.368393e-08 1.230386e+01 1.056000e+00
2.32 5.549274e-01 8.125178e-01 1.056000e+00 1.056001e+00 2.056000e+00 1.368393e-08 1.266691e+01 1.056000e+00
2.33 5.549990e-01 8.131789e-01 1.056000e+00 1.056001e+00 2.056000e+00 1.368393e-08 1.289877e+01 1.056000e+00
2.34 5.533789e-01 8.057962e-01 1.056000e+00 1.056001e+00 2.056000e+00 1.368393e-08 1.302450e+01 1.056000e+00
2.35 5.539935e-01 8.086884e-01 1.056000e+00 1.056001e+00 2.056000e+00 1.368393e-08 1.267421e+01 1.056000e+00
2.36 5.540054e-01 8.087349e-01 1.056000e+00 1.056001e+00 2.056000e+00 1.368393e-08 1.254232e+01 1.056000e+00
2.37 5.529070e-01 8.037653e-01 1.055998e+00 1.056000e+00 2.055998e+00 1.368391e-08 1.237803e+01 1.055998e+00
2.38 5.533148e-01 8.060414e-01 1.055998e+00 1.056000e+00 2.055998e+00 1.368391e-08 1.256120e+01 1.055998e+00
2.39 5.542357e-01 8.101490e-01 1.055999e+00 1.056001e+00 2.055999e+00 1.368392e-08 1.280638e+01 1.055999e+00
2.40 5.542463e-01 8.110240e-01 1.055999e+00 1.055999e+00 2.055999e+00 1.368392e-08 1.286924e+01 1.055999e+00
2.41 5.521365e-01 8.000872e-01 1.055998e+00 1.056000e+00 2.055998e+00 1.368391e-08 1.267590e+01 1.055998e+00
2.42 5.539007e-01 8.085083e-01 1.055998e+00 1.056000e+00 2.055998e+00 1.368391e-08 1.286384e+01 1.055998e+00
2.43 5.539006e-01 8.084193e-01 1.056000e+00 1.056001e+00 2.056000e+00 1.368393e-08 1.304144e+01 1.056000e+00
2.44 5.532669e-01 8.060434e-01 1.055998e+00 1.056002e+00 2.055998e+00 1.368392e-08 1.258221e+01 1.055998e+00
2.45 5.524634e-01 8.028011e-01 1.055985e+00 1.055986e+00 2.055985e+00 1.368377e-08 1.287623e+01 1.055985e+00
2.46 5.524234e-01 8.026360e-01 1.055987e+00 1.055988e+00 2.055987e+00 1.368378e-08 1.262440e+01 1.055987e+00
2.47 5.546637e-01 8.121781e-01 1.055993e+00 1.055994e+00 2.055993e+00 1.368383e-08 1.266304e+01 1.055993e+00
2.48 5.525084e-01 8.025876e-01 1.056008e+00 1.056009e+00 2.056008e+00 1.368404e-08 1.256822e+01 1.056008e+00
2.49 5.511949e-01 8.009161e-01 1.056013e+00 1.056014e+00 2.056013e+00 1.368410e-08 1.284532e+01 1.056013e+00
2.50 5.534787e-01 8.104460e-01 1.056017e+00 1.056017e+00 2.056017e+00 1.368416e-08 1.278154e+01 1.056017e+00
2.51 5.530773e-01 8.091558e-01 1.056032e+00 1.056034e+00 2.056032e+00 1.368433e-08 1.292672e+01 1.056032e+00
2.52 5.487351e-01 7.897989e-01 1.056038e+00 1.056040e+00 2.056038e+00 1.368438e-08 1.236616e+01 1.056038e+00
2.53 5.498571e-01 8.000842e-01 1.056074e+00 1.056075e+00 2.056074e+00 1.368483e-08 1.247617e+01 1.056074e+00
2.54 5.528833e-01 8.035556e-01 1.056102e+00 1.056102e+00 2.056102e+00 1.368513e-08 1.222280e+01 1.056102e+00
2.55 5.537093e-01 8.090483e-01 1.056165e+00 1.056173e+00 2.056165e+00 1.368589e-08 1.269309e+01 1.056165e+00
2.56 5.522516e-01 8.024432e-01 1.056250e+00 1.056251e+00 2.056250e+00 1.368693e-08 1.271995e+01 1.056250e+00
2.57 5.502892e-01 8.011472e-01 1.056369e+00 1.056369e+00 2.056369e+00 1.368835e-08 1.280006e+01 1.056369e+00
2.58 5.507903e-01 8.036261e-01 1.056569e+00 1.056569e+00 2.056569e+00 1.369078e-08 1.236645e+01 1.056569e+00
2.59 5.499901e-01 7.987852e-01 1.056833e+00 1.056833e+00 2.056833e+00 1.369393e-08 1.240692e+01 1.056833e+00
2.60 5.521980e-01 7.961285e-01 1.057236e+00 1.057236e+00 2.057236e+00 1.369875e-08 1.267886e+01 1.057236e+00
2.61 5.540098e-01 8.089811e-01 1.057825e+00 1.057825e+00 2.057825e+00 1.370583e-08 1.246121e+01 1.057825e+00
2.62 5.480071e-01 7.922100e-01 1.059754e+00 1.059755e+00 2.059754e+00 1.373080e-08 1.257569e+01 1.059754e+00
2.63 5.537597e-01 8.061725e-01 1.072577e+00 1.072577e+00 2.072577e+00 1.389793e-08 1.272635e+01 1.072577e+00
2.64 5.504967e-01 7.944640e-01 1.092366e+00 1.092366e+00 2.092366e+00 1.413007e-08 1.260723e+01 1.092366e+00
2.65 5.538874e-01 8.043727e-01 1.123644e+00 1.123644e+00 2.123644e+00 1.444007e-08 1.225099e+01 1.123644e+00
2.66 5.493213e-01 7.870176e-01 1.112926e+00 1.112927e+00 2.112926e+00 1.433322e-08 1.264296e+01 1.112926e+00
2.67 5.486081e-01 7.867703e-01 5.857577e-01 5.857578e-01 4.142423e-01 7.256961e-09 1.149505e+01 5.857577e-01
2.68 5.462222e-01 7.742993e-01 1.121913e+00 1.121913e+00 2.121913e+00 1.440029e-08 1.192206e+01 1.121913e+00
2.69 5.421362e-01 7.560217e-01 5.840343e-01 5.840344e-01 4.159657e-01 7.221793e-09 1.116692e+01 5.840343e-01
2.70 5.409277e-01 7.496176e-01 5.825135e-01 5.825136e-01 4.174865e-01 7.191078e-09 1.089872e+01 5.825135e-01
2.71 5.327916e-01 7.068831e-01 5.803291e-01 5.803292e-01 4.196709e-01 7.146921e-09 1.039058e+01 5.803291e-01
2.72 5.252222e-01 6.597521e-01 1.049397e+00 1.049398e+00 2.049397e+00 1.331306e-08 9.686171e+00 1.049397e+00
2.73 5.223321e-01 6.284093e-01 1.195035e+00 1.195035e+00 2.195035e+00 1.474220e-08 8.893123e+00 1.195035e+00
