# mu omega_base omega_full
2.300000 2.470001 2.470001
2.310000 2.490001 2.490001
2.320000 2.510001 2.510001
2.330000 2.520001 2.520001
2.340000 2.530002 2.530002
2.350000 2.540002 2.540002
2.360000 2.540002 2.540002
2.370000 2.550002 2.550002
2.380000 2.550002 2.550002
2.390000 2.560002 2.560002
2.400000 2.570002 2.570002
2.410000 2.580003 2.580003
2.420000 2.590003 2.590003
2.430000 2.610000 2.610000
2.440000 2.670002 2.670002
2.450000 2.690002 2.690002
2.460000 2.710002 2.710002
2.470000 2.730011 2.730011
2.480000 2.750011 2.750011
2.490000 2.759998 2.759998
2.500000 2.770012 2.770012
2.510000 2.779998 2.779998
2.520000 2.779998 2.779998
2.530000 2.790012 2.790012
2.540000 2.790012 2.790012
2.550000 2.790012 2.790012
2.560000 2.790012 2.790012
2.570000 2.790012 2.790012
2.580000 2.790012 2.790012
2.590000 2.799999 2.799999
2.600000 2.799999 2.799999
2.610000 2.799999 2.799999
2.620000 2.799999 2.799999
2.630000 2.799999 2.799999
2.640000 2.799999 2.799999
2.650000 2.860000 2.860000
2.660000 2.860000 2.860000
2.670000 2.870014 2.870014
2.680000 2.870014 2.870014
2.690000 2.870014 2.870014
2.700000 2.880000 2.880000
2.710000 2.880000 2.880000
2.720000 2.890014 2.890014
2.730000 2.890014 2.890014
2.740000 2.890014 2.890014
2.750000 2.890014 2.890014
2.760000 2.890014 2.890014
2.770000 2.890014 2.890014
2.780000 2.900001 2.900001
2.790000 2.900001 2.900001
2.800000 2.900001 2.900001
2.810000 2.900001 2.900001
2.820000 2.900001 2.900001
2.830000 2.900001 2.900001
2.840000 2.900001 2.900001
2.850000 2.900001 2.900001
2.860000 2.900001 2.900001
2.870000 2.900001 2.900001
2.880000 2.900001 2.900001
2.890000 2.900001 2.900001
2.900000 2.900001 2.900001
2.910000 2.900001 2.900001
2.920000 2.900001 2.900001
2.930000 2.900001 2.900001
2.940000 2.900001 2.900001
2.950000 2.900001 2.900001
2.960000 2.900001 2.900001
2.970000 2.900001 2.900001
2.980000 2.900001 2.900001
2.990000 2.900001 2.900001
3.000000 2.900001 2.900001
3.010000 2.900001 2.900001
3.020000 2.900001 2.900001
3.030000 2.900001 2.900001
3.040000 2.900001 2.900001
3.050000 2.900001 2.900001
3.060000 2.900001 2.900001
3.070000 2.900001 2.900001
3.080000 2.900001 2.900001
3.090000 2.900001 2.900001
3.100000 2.900001 2.900001
3.110000 2.910014 2.910014
3.120000 2.910014 2.910014
3.130000 2.910014 2.910014
3.140000 2.920001 2.920001
3.150000 2.920001 2.920001
3.160000 2.920001 2.920001
3.170000 2.930015 2.930015
3.180000 2.930015 2.930015
3.190000 2.930015 2.930015
3.200000 2.930015 2.930015
3.210000 2.940001 2.940001
3.220000 2.940001 2.940001
3.230000 2.940001 2.940001
3.240000 2.940001 2.940001
3.250000 2.940001 2.940001
3.260000 2.950015 2.950015
3.270000 2.950015 2.950015
3.280000 2.960002 2.960002
3.290000 2.960002 2.960002
3.300000 2.969988 2.969988
3.310000 2.969988 2.969988
3.320000 2.980002 2.980002
3.330000 2.980002 2.980002
3.340000 2.980002 2.980002
3.350000 2.989989 2.989989
3.360000 2.989989 2.989989
3.370000 2.989989 2.989989
3.380000 2.989989 2.989989
3.390000 2.989989 2.989989
3.400000 2.989989 2.989989
3.410000 2.989989 2.989989
3.420000 2.989989 2.989989
3.430000 3.000002 3.000002
3.440000 3.000002 3.000002
3.450000 3.000002 3.000002
3.460000 3.000002 3.000002
3.470000 3.000002 3.000002
3.480000 3.000002 3.000002
3.490000 3.000002 3.000002
3.500000 3.000002 3.000002
