# mu freq sigma_base sigma_full diff
2.30 0 0 0 0
2.30 0.000367493 -1.87594e-05 4.1163e-05 -5.99224e-05
2.30 0.000734987 -1.07976e-05 0.000168992 -0.00017979
2.30 0.00110248 -0.000101348 4.38172e-05 -0.000145165
2.30 0.00146997 -0.000184222 -0.000149091 -3.5131e-05
2.30 0.00183747 -0.000109263 -0.000220737 0.000111474
2.30 0.00220496 7.39559e-06 -0.00018543 0.000192826
2.30 0.00257245 0.000399139 0.000582419 -0.00018328
2.30 0.00293995 0.000565238 0.000804345 -0.000239107
2.30 0.00330744 0.000157217 0.000152183 5.034e-06
2.30 0.00367493 -0.000220004 0.000321308 -0.000541312
2.30 0.00404243 -0.000757065 0.00039252 -0.00114959
2.30 0.00440992 -0.00117503 0.000702895 -0.00187793
2.30 0.00477741 -0.00125082 0.00167807 -0.00292889
2.30 0.00514491 -0.00169519 0.00140598 -0.00310117
2.30 0.0055124 -0.00186535 0.00187165 -0.003737
2.30 0.00587989 -0.00193257 0.00298817 -0.00492074
2.30 0.00624739 -0.00226728 0.00223901 -0.00450629
2.30 0.00661488 -0.0016229 0.00240105 -0.00402395
2.30 0.00698237 -0.00125506 0.00321927 -0.00447433
2.30 0.00734987 -0.00174094 0.0032164 -0.00495734
2.30 0.00771736 -0.00146285 0.00429445 -0.0057573
2.30 0.00808485 -0.00138784 0.00462084 -0.00600868
2.30 0.00845234 -0.00125875 0.00479445 -0.0060532
2.30 0.00881984 -0.000794582 0.00593001 -0.00672459
2.30 0.00918733 -0.0020012 0.00487133 -0.00687253
2.30 0.00955482 -0.00323344 0.00441631 -0.00764975
2.30 0.00992232 -0.00399133 0.00583238 -0.00982371
2.30 0.0102898 -0.00587723 0.0062731 -0.0121503
2.30 0.0106573 -0.00663827 0.00702336 -0.0136616
2.30 0.0110248 -0.00625992 0.00583978 -0.0120997
2.30 0.0113923 -0.00571739 0.0032026 -0.00891999
2.30 0.0117598 -0.00418257 0.0024396 -0.00662217
2.30 0.0121273 -0.00371013 -0.000652115 -0.00305801
2.30 0.0124948 -0.00327393 -0.00325605 -1.788e-05
2.30 0.0128623 -0.00112796 -0.00223951 0.00111155
2.30 0.0132298 -9.64546e-06 -0.00346228 0.00345263
2.30 0.0135973 0.000831048 -0.00405261 0.00488366
2.30 0.0139647 0.0017376 -0.00288426 0.00462186
2.30 0.0143322 0.00196002 -0.00231477 0.00427479
2.30 0.0146997 0.00416698 0.0021064 0.00206058
2.30 0.0150672 0.00525279 0.00466313 0.00058966
2.30 0.0154347 0.00329587 0.00344887 -0.000153
2.30 0.0158022 0.00279894 0.00602634 -0.0032274
2.30 0.0161697 0.00228789 0.005464 -0.00317611
2.30 0.0165372 0.000836078 4.36789e-05 0.000792399
2.30 0.0169047 -0.000322499 -0.00402558 0.00370308
2.30 0.0172722 -0.00377155 -0.00855582 0.00478427
2.30 0.0176397 -0.00693401 -0.00884734 0.00191333
2.30 0.0180072 -0.00843384 -0.00675185 -0.00168199
2.30 0.0183747 -0.0100781 -0.00869822 -0.00137988
2.30 0.0187422 -0.00834851 -0.00711166 -0.00123685
2.30 0.0191096 -0.00602957 -0.00494006 -0.00108951
2.30 0.0194771 -0.00710317 -0.00625701 -0.00084616
2.30 0.0198446 -0.00725936 -0.00437189 -0.00288747
2.30 0.0202121 -0.00639784 -0.00391607 -0.00248177
2.30 0.0205796 -0.00473527 -0.00291719 -0.00181808
2.30 0.0209471 -0.00231601 0.00196904 -0.00428505
2.30 0.0213146 -0.00309159 0.00131805 -0.00440964
2.30 0.0216821 -0.00322698 0.000223711 -0.00345069
2.30 0.0220496 -0.00130887 0.000457875 -0.00176674
2.30 0.0224171 -0.00138256 -0.00277424 0.00139168
2.30 0.0227846 0.00023207 -0.000336717 0.000568787
2.30 0.0231521 0.00203548 0.001396 0.00063948
2.30 0.0235196 0.000776781 -0.00228731 0.00306409
2.30 0.0238871 0.000406301 -0.000851038 0.00125734
2.30 0.0242546 -0.00146838 -0.00231759 0.00084921
2.30 0.024622 -0.0039216 -0.00492358 0.00100198
2.30 0.0249895 -0.0031592 -0.000641972 -0.00251723
2.30 0.025357 -0.00490364 -0.00149075 -0.00341289
2.30 0.0257245 -0.00757644 -0.00227133 -0.00530511
2.30 0.026092 -0.0072365 0.000321551 -0.00755805
2.30 0.0264595 -0.00721701 -0.00232136 -0.00489565
2.30 0.026827 -0.00628264 0.00106146 -0.0073441
2.30 0.0271945 -0.00595944 0.00507027 -0.0110297
2.30 0.027562 -0.00611482 0.00167969 -0.00779451
2.30 0.0279295 -0.00200431 0.00489848 -0.00690279
2.30 0.028297 6.20164e-05 0.00462741 -0.00456539
2.30 0.0286645 -0.000349398 -0.00252191 0.00217251
2.30 0.029032 0.00237237 -0.00121842 0.00359079
2.30 0.0293995 0.00274073 -0.000217596 0.00295833
2.30 0.029767 0.00226763 -8.11157e-05 0.00234875
2.30 0.0301344 0.00302102 0.00207308 0.00094794
2.30 0.0305019 0.000673716 -3.64126e-05 0.000710129
2.30 0.0308694 0.00205774 0.00848566 -0.00642792
2.30 0.0312369 0.00697852 0.023293 -0.0163145
2.30 0.0316044 0.0090941 0.0267524 -0.0176583
2.30 0.0319719 0.0125674 0.0286784 -0.016111
2.30 0.0323394 0.0138349 0.0303559 -0.016521
2.30 0.0327069 0.0107355 0.032336 -0.0216005
2.30 0.0330744 0.00948819 0.0365971 -0.0271089
2.30 0.0334419 0.00888971 0.0292957 -0.020406
2.30 0.0338094 0.011613 0.0221914 -0.0105784
2.30 0.0341769 0.01586 0.0226948 -0.0068348
2.30 0.0345444 0.0126484 0.016809 -0.0041606
2.30 0.0349119 0.00893915 0.0165616 -0.00762245
2.30 0.0352794 0.00805116 0.0190896 -0.0110384
2.30 0.0356468 0.00568976 0.0125175 -0.00682774
2.30 0.0360143 0.0061374 0.0126243 -0.0064869
2.30 0.0363818 0.00621564 0.0135972 -0.00738156
2.30 0.0367493 0.00567733 0.0125889 -0.00691157
2.30 0.0371168 0.00956808 0.020134 -0.0105659
2.30 0.0374843 0.0109708 0.0182467 -0.0072759
2.30 0.0378518 0.0117354 0.00991249 0.00182291
2.30 0.0382193 0.0152603 0.00773178 0.00752852
2.30 0.0385868 0.0153173 0.00189248 0.0134248
2.30 0.0389543 0.0170458 0.00327572 0.0137701
2.30 0.0393218 0.0191411 0.0106214 0.0085197
2.30 0.0396893 0.0159451 0.0105713 0.0053738
2.30 0.0400568 0.0156355 0.0122026 0.0034329
2.30 0.0404243 0.0143914 0.00666625 0.00772515
2.30 0.0407918 0.00844815 -0.00385508 0.0123032
2.30 0.0411592 0.00553768 -0.00418926 0.00972694
2.30 0.0415267 0.00213025 -0.0101904 0.0123207
2.30 0.0418942 0.000634568 -0.0150608 0.0156954
2.30 0.0422617 0.0046917 -0.0117698 0.0164615
2.30 0.0426292 0.00536651 -0.0174807 0.0228472
2.30 0.0429967 0.00504638 -0.0145584 0.0196048
2.30 0.0433642 0.00445069 -0.00565955 0.0101102
2.30 0.0437317 0.000276104 -0.00995331 0.0102294
