# mu freq sigma_base sigma_full diff
2.30 0 0 0 0
2.30 0.000367493 6.77005e-05 6.76047e-05 9.58e-08
2.30 0.000734987 0.00025705 0.000256797 2.53e-07
2.30 0.00110248 0.000671018 0.000670199 8.19e-07
2.30 0.00146997 0.0012497 0.0012485 1.2e-06
2.30 0.00183747 0.00234566 0.0023431 2.56e-06
2.30 0.00220496 0.00399687 0.00399293 3.94e-06
2.30 0.00257245 0.00688873 0.0068817 7.03e-06
2.30 0.00293995 0.0112907 0.0112793 1.14e-05
2.30 0.00330744 0.0159053 0.0158894 1.59e-05
2.30 0.00367493 0.0173846 0.0173671 1.75e-05
2.30 0.00404243 0.0150895 0.0150753 1.42e-05
2.30 0.00440992 0.0128628 0.0128503 1.25e-05
2.30 0.00477741 0.0112594 0.0112493 1.01e-05
2.30 0.00514491 0.0110151 0.0110045 1.06e-05
2.30 0.0055124 0.0114117 0.0114009 1.08e-05
2.30 0.00587989 0.0126129 0.0126008 1.21e-05
2.30 0.00624739 0.014838 0.0148229 1.51e-05
2.30 0.00661488 0.0177537 0.0177362 1.75e-05
2.30 0.00698237 0.0227019 0.0226781 2.38e-05
2.30 0.00734987 0.0293686 0.0293391 2.95e-05
2.30 0.00771736 0.0403498 0.0403078 4.2e-05
2.30 0.00808485 0.0572067 0.0571483 5.84e-05
2.30 0.00845234 0.08479 0.084703 8.7e-05
2.30 0.00881984 0.127291 0.12716 0.000131
2.30 0.00918733 0.177321 0.177139 0.000182
2.30 0.00955482 0.198463 0.198257 0.000206
2.30 0.00992232 0.170947 0.17077 0.000177
2.30 0.0102898 0.132647 0.132507 0.00014
2.30 0.0106573 0.107146 0.107034 0.000112
2.30 0.0110248 0.0978113 0.0977075 0.0001038
2.30 0.0113923 0.10371 0.1036 0.00011
2.30 0.0117598 0.122053 0.121924 0.000129
2.30 0.0121273 0.141248 0.141098 0.00015
2.30 0.0124948 0.134026 0.133884 0.000142
2.30 0.0128623 0.107247 0.10713 0.000117
2.30 0.0132298 0.0810004 0.0809116 8.88e-05
2.30 0.0135973 0.0636088 0.0635354 7.34e-05
2.30 0.0139647 0.0525505 0.0524888 6.17e-05
2.30 0.0143322 0.04521 0.0451556 5.44e-05
2.30 0.0146997 0.0415078 0.0414562 5.16e-05
2.30 0.0150672 0.0381258 0.0380791 4.67e-05
2.30 0.0154347 0.0376509 0.0376019 4.9e-05
2.30 0.0158022 0.03657 0.0365245 4.55e-05
2.30 0.0161697 0.0376205 0.0375716 4.89e-05
2.30 0.0165372 0.0388674 0.0388189 4.85e-05
2.30 0.0169047 0.0410425 0.0409908 5.17e-05
2.30 0.0172722 0.0453275 0.0452706 5.69e-05
2.30 0.0176397 0.0498584 0.0497976 6.08e-05
2.30 0.0180072 0.0590871 0.0590137 7.34e-05
2.30 0.0183747 0.0704624 0.0703798 8.26e-05
2.30 0.0187422 0.0903689 0.0902627 0.0001062
2.30 0.0191096 0.116547 0.116416 0.000131
2.30 0.0194771 0.142477 0.142317 0.00016
2.30 0.0198446 0.153605 0.153432 0.000173
2.30 0.0202121 0.156773 0.156595 0.000178
2.30 0.0205796 0.177667 0.177464 0.000203
2.30 0.0209471 0.220909 0.220663 0.000246
2.30 0.0213146 0.285404 0.285089 0.000315
2.30 0.0216821 0.315314 0.314977 0.000337
2.30 0.0220496 0.275696 0.275401 0.000295
2.30 0.0224171 0.208794 0.208571 0.000223
2.30 0.0227846 0.156941 0.156773 0.000168
2.30 0.0231521 0.125117 0.12498 0.000137
2.30 0.0235196 0.103801 0.103689 0.000112
2.30 0.0238871 0.0931354 0.0930294 0.000106
2.30 0.0242546 0.0846354 0.0845412 9.42e-05
2.30 0.024622 0.081733 0.0816376 9.54e-05
2.30 0.0249895 0.0797809 0.0796899 9.1e-05
2.30 0.025357 0.0794057 0.0793132 9.25e-05
2.30 0.0257245 0.0813862 0.0812902 9.6e-05
2.30 0.026092 0.0821446 0.0820488 9.58e-05
