# mu freq sigma_L0 sigma_L1 sigma_L2 diff_L1 diff_L2
2.3 0 0 0 0 0 0
2.3 0.000367493 3.51821e-06 1.8081e-06 1.78803e-06 1.71011e-06 1.73018e-06
2.3 0.000734987 8.52471e-06 6.50227e-06 6.56943e-06 2.02244e-06 1.95528e-06
2.3 0.00110248 8.96512e-06 6.74556e-06 6.69546e-06 2.21956e-06 2.26966e-06
2.3 0.00146997 7.24901e-06 5.85167e-06 5.88128e-06 1.39734e-06 1.36773e-06
2.3 0.00183747 1.36482e-05 1.29315e-05 1.30314e-05 7.167e-07 6.168e-07
2.3 0.00220496 1.90793e-05 1.32945e-05 1.31896e-05 5.7848e-06 5.8897e-06
2.3 0.00257245 2.26633e-05 1.8735e-06 1.89137e-06 2.07898e-05 2.07719e-05
2.3 0.00293995 2.36358e-05 -2.96624e-06 -2.93044e-06 2.6602e-05 2.65662e-05
2.3 0.00330744 2.32629e-05 5.38908e-06 5.17206e-06 1.78738e-05 1.80908e-05
2.3 0.00367493 2.97596e-05 9.17013e-06 9.18551e-06 2.05895e-05 2.05741e-05
2.3 0.00404243 4.10242e-05 2.612e-05 2.62287e-05 1.49042e-05 1.47955e-05
2.3 0.00440992 5.54924e-05 5.47383e-05 5.44292e-05 7.541e-07 1.0632e-06
2.3 0.00477741 4.32441e-05 5.60071e-05 5.63874e-05 -1.2763e-05 -1.31433e-05
2.3 0.00514491 3.28531e-05 6.57136e-05 6.56776e-05 -3.28605e-05 -3.28245e-05
2.3 0.0055124 4.26873e-05 6.57039e-05 6.55668e-05 -2.30166e-05 -2.28795e-05
2.3 0.00587989 6.0849e-05 5.13214e-05 5.18808e-05 9.5276e-06 8.9682e-06
2.3 0.00624739 7.68125e-05 5.17972e-05 5.13184e-05 2.50153e-05 2.54941e-05
2.3 0.00661488 9.84438e-05 4.71211e-05 4.7287e-05 5.13227e-05 5.11568e-05
2.3 0.00698237 0.000124345 6.01143e-05 6.0245e-05 6.42307e-05 6.41e-05
2.3 0.00734987 0.000109506 6.67445e-05 6.61958e-05 4.27615e-05 4.33102e-05
2.3 0.00771736 0.000114923 7.71486e-05 7.73975e-05 3.77744e-05 3.75255e-05
2.3 0.00808485 0.000114054 0.000101307 0.000101274 1.2747e-05 1.278e-05
2.3 0.00845234 9.95403e-05 0.000152229 0.000151837 -5.26887e-05 -5.22967e-05
2.3 0.00881984 0.000107781 0.0002088 0.000209122 -0.000101019 -0.000101341
2.3 0.00918733 0.000129994 0.000200509 0.000200692 -7.0515e-05 -7.0698e-05
2.3 0.00955482 0.000173276 0.00018139 0.000181012 -8.114e-06 -7.736e-06
