# mu freq sigma_base sigma_full diff
2.33 0 0 0 0
2.33 0.000367493 6.21728e-06 6.23279e-06 -1.551e-08
2.33 0.000734987 2.29856e-05 2.28924e-05 9.32e-08
2.33 0.00110248 5.58154e-05 5.57904e-05 2.5e-08
2.33 0.00146997 9.3476e-05 9.29612e-05 5.148e-07
2.33 0.00183747 0.000154264 0.000153759 5.05e-07
2.33 0.00220496 0.000214953 0.000213615 1.338e-06
2.33 0.00257245 0.000301002 0.000299227 1.775e-06
2.33 0.00293995 0.000390845 0.000388242 2.603e-06
2.33 0.00330744 0.000497302 0.000493574 3.728e-06
2.33 0.00367493 0.000622982 0.000618782 4.2e-06
2.33 0.00404243 0.000747484 0.000741397 6.087e-06
2.33 0.00440992 0.000911846 0.000905546 6.3e-06
2.33 0.00477741 0.00105869 0.00105034 8.35e-06
2.33 0.00514491 0.0012585 0.00124968 8.82e-06
2.33 0.0055124 0.0014398 0.00142924 1.056e-05
2.33 0.00587989 0.00166786 0.00165566 1.22e-05
2.33 0.00624739 0.00189938 0.00188611 1.327e-05
2.33 0.00661488 0.00215022 0.00213387 1.635e-05
2.33 0.00698237 0.00244488 0.00242769 1.719e-05
2.33 0.00734987 0.00272273 0.00270139 2.134e-05
2.33 0.00771736 0.00308536 0.00306269 2.267e-05
2.33 0.00808485 0.00340901 0.00338264 2.637e-05
2.33 0.00845234 0.00383697 0.00380822 2.875e-05
2.33 0.00881984 0.00424112 0.00420999 3.113e-05
2.33 0.00918733 0.00473504 0.00469968 3.536e-05
2.33 0.00955482 0.00526931 0.00523246 3.685e-05
2.33 0.00992232 0.00585586 0.00581314 4.272e-05
2.33 0.0102898 0.00659457 0.00654987 4.47e-05
2.33 0.0106573 0.00737757 0.00732617 5.14e-05
2.33 0.0110248 0.00848147 0.00842486 5.661e-05
2.33 0.0113923 0.00973727 0.00967257 6.47e-05
2.33 0.0117598 0.0113861 0.0113106 7.55e-05
2.33 0.0121273 0.0127306 0.0126483 8.23e-05
2.33 0.0124948 0.0134621 0.0133721 9e-05
2.33 0.0128623 0.0139528 0.0138616 9.12e-05
2.33 0.0132298 0.0146723 0.0145724 9.99e-05
2.33 0.0135973 0.0159235 0.0158174 0.0001061
2.33 0.0139647 0.0173681 0.0172506 0.0001175
2.33 0.0143322 0.0194602 0.0193293 0.0001309
2.33 0.0146997 0.0217576 0.0216135 0.0001441
2.33 0.0150672 0.0248626 0.0246969 0.0001657
2.33 0.0154347 0.0285384 0.0283535 0.0001849
2.33 0.0158022 0.0332754 0.0330581 0.0002173
2.33 0.0161697 0.0394828 0.0392323 0.0002505
2.33 0.0165372 0.0474325 0.0471325 0.0003
2.33 0.0169047 0.0587761 0.0584108 0.0003653
2.33 0.0172722 0.0740927 0.0736375 0.0004552
2.33 0.0176397 0.0974496 0.0968554 0.0005942
2.33 0.0180072 0.132179 0.131385 0.000794
2.33 0.0183747 0.188323 0.187196 0.001127
2.33 0.0187422 0.277377 0.275735 0.001642
2.33 0.0191096 0.408353 0.405948 0.002405
2.33 0.0194771 0.535136 0.532006 0.00313
2.33 0.0198446 0.539325 0.536183 0.003142
2.33 0.0202121 0.421422 0.418968 0.002454
2.33 0.0205796 0.297675 0.295938 0.001737
2.33 0.0209471 0.21217 0.210918 0.001252
2.33 0.0213146 0.157777 0.156838 0.000939
2.33 0.0216821 0.124172 0.123417 0.000755
2.33 0.0220496 0.101709 0.101083 0.000626
2.33 0.0224171 0.0876353 0.087085 0.0005503
2.33 0.0227846 0.0775766 0.077083 0.0004936
2.33 0.0231521 0.0713165 0.0708587 0.0004578
2.33 0.0235196 0.0670804 0.0666418 0.0004386
2.33 0.0238871 0.0645089 0.0640884 0.0004205
2.33 0.0242546 0.0635999 0.0631766 0.0004233
2.33 0.024622 0.0632976 0.0628795 0.0004181
2.33 0.0249895 0.0646101 0.0641784 0.0004317
2.33 0.025357 0.0663183 0.0658772 0.0004411
2.33 0.0257245 0.0694324 0.0689708 0.0004616
2.33 0.026092 0.0735039 0.0730141 0.0004898
2.33 0.0264595 0.0787128 0.0781949 0.0005179
2.33 0.026827 0.0860711 0.0855016 0.0005695
2.33 0.0271945 0.0949111 0.0942936 0.0006175
2.33 0.027562 0.107595 0.106896 0.000699
2.33 0.0279295 0.122712 0.121927 0.000785
2.33 0.028297 0.139441 0.138554 0.000887
2.33 0.0286645 0.154425 0.153448 0.000977
